"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"26059046";"4C_on-Chip";"(4C AND on-chip)";"American journal of medical genetics. Part A";0;2015;"A de novo 1.58 Mb deletion, including MAP2K6 and mapping 1.28 Mb upstream to SOX9, identified in a patient with Pierre Robin sequence and osteopenia with multiple fractures.";"Defects of long-range regulatory elements of dosage-sensitive genes represent an under-recognized mechanism underlying genetic diseases. Haploinsufficiency of SOX9, the gene essential for development of testes and differentiation of chondrocytes, results in campomelic dysplasia, a skeletal malformation syndrome often associated with sex reversal. Chromosomal rearrangements with breakpoints mapping up to 1.6 Mb up- and downstream to SOX9, and disrupting its distant cis-regulatory elements, have been described in patients with milder forms of campomelic dysplasia, Pierre Robin sequence, and sex reversal. We present an ∼1.58 Mb deletion mapping ∼1.28 Mb upstream to SOX9 that encompasses its putative long-range cis-regulatory element(s) and MAP2K6 in a patient with Pierre Robin sequence and osteopenia with multiple fractures. Low bone mass panel testing using massively parallel sequencing of 23 nuclear genes, including COL1A1 and COL1A2 was negative. Based on the previous mouse model of Map2k6, suggesting that Sox9 is likely a downstream target of the p38 MAPK pathway, and our previous chromosome conformation capture-on-chip (4C) data showing potential interactions between SOX9 promoter and MAP2K6, we hypothesize that deletion of MAP2K6 might have affected SOX9 expression and contributed to our patient's phenotype. © 2015 Wiley Periodicals, Inc."
"24254229";"4C_on-Chip";"(4C AND on-chip)";"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology";2;2013;"Chromosome conformation capture-on-chip analysis of long-range cis-interactions of the SOX9 promoter.";"Evolutionarily conserved transcription factor SOX9 is essential for the differentiation of chondrocytes and the development of testes. Heterozygous point mutations and genomic deletions involving SOX9 lead to campomelic dysplasia (CD), a skeletal malformation syndrome often associated with sex reversal. Chromosomal rearrangements with breakpoints mapping up to 1.6 Mb up- and downstream to SOX9, and likely disrupting its distant cis-regulatory elements, have been described in patients with milder forms of CD. Based on the location of these aberration breakpoints, four clusters upstream of SOX9 have been defined. Interestingly, we found that each of these intervals overlaps a gene encoding long noncoding RNA (lncRNA), suggesting that lncRNAs may contribute to long-range regulation of SOX9 expression. One of the four upstream regions, RevSex (517-595 kb 5' to SOX9), is associated with sex reversal, and was suggested to harbor a testis-specific and sex-determining enhancer. Another sex-determining interval was mapped to a gene desert &gt;1.3 Mb downstream of SOX9. We have performed chromosome conformation capture-on-chip (4C) analysis in Sertoli cells and lymphoblasts to verify the proposed long-range interactions of the SOX9 promoter and to identify potential novel regulatory elements that might be responsible for sex reversal in patients with CD. We identified several novel potentially cis-interacting regions both up- and downstream to SOX9, with some of them overlapping lncRNA genes. Our data point to lncRNAs as likely mediators of some of these regulatory interactions."
"22215806";"4C_on-Chip";"(4C AND on-chip)";"Genes &amp; development";109;2012;"A decade of 3C technologies: insights into nuclear organization.";"Over the past 10 years, the development of chromosome conformation capture (3C) technology and the subsequent genomic variants thereof have enabled the analysis of nuclear organization at an unprecedented resolution and throughput. The technology relies on the original and, in hindsight, remarkably simple idea that digestion and religation of fixed chromatin in cells, followed by the quantification of ligation junctions, allows for the determination of DNA contact frequencies and insight into chromosome topology. Here we evaluate and compare the current 3C-based methods (including 4C [chromosome conformation capture-on-chip], 5C [chromosome conformation capture carbon copy], HiC, and ChIA-PET), summarize their contribution to our current understanding of genome structure, and discuss how shape influences genome function."
"22722369";"4C_on-Chip";"(4C AND on-chip)";"Nature protocols";5;2012;"Sensitive detection of chromatin coassociations using enhanced chromosome conformation capture on chip.";"Chromosome conformation capture (3C) is a powerful technique for analyzing spatial chromatin organization in vivo. Technical variants of the assay ('4C') allow the systematic detection of genome-wide coassociations with bait sequences of interest, enabling the nuclear environments of specific genes to be probed. We describe enhanced 4C (e4C, enhanced chromosome conformation capture on chip), a technique incorporating additional enrichment steps for bait-specific sequences, and thus improving sensitivity in the detection of weaker, distal chromatin coassociations. In brief, e4C entails the fixation, restriction digestion and ligation steps of conventional 3C, with an optional chromatin immunoprecipitation (ChIP) step to select for subsets of chromatin coassociations, followed by bait enrichment by biotinylated primer extension and pull-down, adapter ligation and PCR amplification. Chromatin coassociations with the bait sequence can then be assessed by hybridizing e4C products to microarrays or sequencing. The e4C procedure takes approximately 1 week to go from tissue to DNA ready for microarray hybridization."
"22776363";"4C_on-Chip";"(4C AND on-chip)";"Methods (San Diego, Calif.)";4;2012;"A genome-wide 3C-method for characterizing the three-dimensional architectures of genomes.";"Accumulating evidence demonstrates that the three-dimensional (3D) organization of chromosomes within the eukaryotic nucleus reflects and influences genomic activities, including transcription, DNA replication, recombination and DNA repair. In order to uncover structure-function relationships, it is necessary first to understand the principles underlying the folding and the 3D arrangement of chromosomes. Chromosome conformation capture (3C) provides a powerful tool for detecting interactions within and between chromosomes. A high throughput derivative of 3C, chromosome conformation capture on chip (4C), executes a genome-wide interrogation of interaction partners for a given locus. We recently developed a new method, a derivative of 3C and 4C, which, similar to Hi-C, is capable of comprehensively identifying long-range chromosome interactions throughout a genome in an unbiased fashion. Hence, our method can be applied to decipher the 3D architectures of genomes. Here, we provide a detailed protocol for this method."
"22525789";"4C_on-Chip";"(4C AND on-chip)";"Methods (San Diego, Calif.)";0;2012;"Chromosome conformation capture on chip in single Drosophila melanogaster tissues.";"Chromosomes are protein-DNA complexes that encode life. In a cell nucleus, chromosomes are folded in a highly specific manner, which connects strongly to some of their paramount functions, such as DNA replication and gene transcription. Chromosome conformation capture methodologies allow researchers to detect chromosome folding, by quantitatively measuring which genomic sequences are in close proximity in nuclear space. Here, we describe a modified chromosome conformation capture on chip (4C) protocol, which is specifically designed for detection of chromosome folding in a single Drosophila melanogaster tissue. Our protocol enables 4C analyses on a limited number of cells, which is crucial for fly tissues, because these contain relatively low numbers of cells. We used this protocol to demonstrate that target genes of Polycomb group proteins interact with each other in nuclear space of third instar larval brain cells. Major benefits of using D. melanogaster in 4C studies are: (1) powerful and tractable genetic approaches can be incorporated; (2) short generation time allows use of complex genotypes; and (3) compact and well annotated genome. We anticipate that our sensitized 4C method will be generally applicable to detect chromosome folding in other fly tissues."
"21690198";"4C_on-Chip";"(4C AND on-chip)";"Genes &amp; development";66;2011;"The inactive X chromosome adopts a unique three-dimensional conformation that is dependent on Xist RNA.";"Three-dimensional topology of DNA in the cell nucleus provides a level of transcription regulation beyond the sequence of the linear DNA. To study the relationship between the transcriptional activity and the spatial environment of a gene, we used allele-specific chromosome conformation capture-on-chip (4C) technology to produce high-resolution topology maps of the active and inactive X chromosomes in female cells. We found that loci on the active X form multiple long-range interactions, with spatial segregation of active and inactive chromatin. On the inactive X, silenced loci lack preferred interactions, suggesting a unique random organization inside the inactive territory. However, escapees, among which is Xist, are engaged in long-range contacts with each other, enabling identification of novel escapees. Deletion of Xist results in partial refolding of the inactive X into a conformation resembling the active X without affecting gene silencing or DNA methylation. Our data point to a role for Xist RNA in shaping the conformation of the inactive X chromosome at least partially independent of transcription."
"21481790";"4C_on-Chip";"(4C AND on-chip)";"Cancer cell";43;2011;"Integrated transcript and genome analyses reveal NKX2-1 and MEF2C as potential oncogenes in T cell acute lymphoblastic leukemia.";"To identify oncogenic pathways in T cell acute lymphoblastic leukemia (T-ALL), we combined expression profiling of 117 pediatric patient samples and detailed molecular-cytogenetic analyses including the Chromosome Conformation Capture on Chip (4C) method. Two T-ALL subtypes were identified that lacked rearrangements of known oncogenes. One subtype associated with cortical arrest, expression of cell cycle genes, and ectopic NKX2-1 or NKX2-2 expression for which rearrangements were identified. The second subtype associated with immature T cell development and high expression of the MEF2C transcription factor as consequence of rearrangements of MEF2C, transcription factors that target MEF2C, or MEF2C-associated cofactors. We propose NKX2-1, NKX2-2, and MEF2C as T-ALL oncogenes that are activated by various rearrangements."
"21471403";"4C_on-Chip";"(4C AND on-chip)";"Genome research";36;2011;"Diverse gene reprogramming events occur in the same spatial clusters of distal regulatory elements.";"The spatial organization of genes in the interphase nucleus plays an important role in establishment and regulation of gene expression. Contradicting results have been reported to date, with little consensus about the dynamics of nuclear organization and the features of the contact loci. In this study, we investigated the properties and dynamics of genomic loci that are in contact with glucocorticoid receptor (GR)-responsive loci. We took a systematic approach, combining genome-wide interaction profiling by the chromosome conformation capture on chip (4C) technology with expression, protein occupancy, and chromatin accessibility profiles. This approach allowed a comprehensive analysis of how distinct features of the linear genome are organized in the three-dimensional nuclear space in the context of rapid gene regulation. We found that the transcriptional response to GR occurs without dramatic nuclear reorganization. Moreover, contrary to the view of transcription-driven organization, even genes with opposite transcriptional responses colocalize. Regions contacting GR-regulated genes are not particularly enriched for GR-regulated loci or for any functional group of genes, suggesting that these subnuclear environments are not organized to respond to a specific factor. The contact regions are, however, highly enriched for DNase I-hypersensitive sites that comprehensively mark cell-type-specific regulatory sites. These findings indicate that the nucleus is pre-organized in a conformation allowing rapid transcriptional reprogramming, and this organization is significantly correlated with cell-type-specific chromatin sites accessible to regulatory factors. Numerous open chromatin loci may be arranged in nuclear domains that are poised to respond to diverse signals in general and to permit efficient gene regulation."
"21455484";"4C_on-Chip";"(4C AND on-chip)";"PLoS genetics";34;2011;"Interactions among Polycomb domains are guided by chromosome architecture.";"Polycomb group (PcG) proteins bind and regulate hundreds of genes. Previous evidence has suggested that long-range chromatin interactions may contribute to the regulation of PcG target genes. Here, we adapted the Chromosome Conformation Capture on Chip (4C) assay to systematically map chromosomal interactions in Drosophila melanogaster larval brain tissue. Our results demonstrate that PcG target genes interact extensively with each other in nuclear space. These interactions are highly specific for PcG target genes, because non-target genes with either low or high expression show distinct interactions. Notably, interactions are mostly limited to genes on the same chromosome arm, and we demonstrate that a topological rather than a sequence-based mechanism is responsible for this constraint. Our results demonstrate that many interactions among PcG target genes exist and that these interactions are guided by overall chromosome architecture."
