"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"25719671";"PAR-CLIP";"PAR-CLIP";"Nature";3;2015;"N(6)-methyladenosine-dependent RNA structural switches regulate RNA-protein interactions.";"RNA-binding proteins control many aspects of cellular biology through binding single-stranded RNA binding motifs (RBMs). However, RBMs can be buried within their local RNA structures, thus inhibiting RNA-protein interactions. N(6)-methyladenosine (m(6)A), the most abundant and dynamic internal modification in eukaryotic messenger RNA, can be selectively recognized by the YTHDF2 protein to affect the stability of cytoplasmic mRNAs, but how m(6)A achieves its wide-ranging physiological role needs further exploration. Here we show in human cells that m(6)A controls the RNA-structure-dependent accessibility of RBMs to affect RNA-protein interactions for biological regulation; we term this mechanism 'the m(6)A-switch'. We found that m(6)A alters the local structure in mRNA and long non-coding RNA (lncRNA) to facilitate binding of heterogeneous nuclear ribonucleoprotein C (HNRNPC), an abundant nuclear RNA-binding protein responsible for pre-mRNA processing. Combining photoactivatable-ribonucleoside-enhanced crosslinking and immunoprecipitation (PAR-CLIP) and anti-m(6)A immunoprecipitation (MeRIP) approaches enabled us to identify 39,060 m(6)A-switches among HNRNPC-binding sites; and global m(6)A reduction decreased HNRNPC binding at 2,798 high-confidence m(6)A-switches. We determined that these m(6)A-switch-regulated HNRNPC-binding activities affect the abundance as well as alternative splicing of target mRNAs, demonstrating the regulatory role of m(6)A-switches on gene expression and RNA maturation. Our results illustrate how RNA-binding proteins gain regulated access to their RBMs through m(6)A-dependent RNA structural remodelling, and provide a new direction for investigating RNA-modification-coded cellular biology."
"25652745";"PAR-CLIP";"PAR-CLIP";"BMC genomics";2;2015;"CLIPdb: a CLIP-seq database for protein-RNA interactions.";"BACKGROUND: RNA-binding proteins (RBPs) play essential roles in gene expression regulation through their interactions with RNA transcripts, including coding, canonical non-coding and long non-coding RNAs. Large amounts of crosslinking immunoprecipitation (CLIP)-seq data (including HITS-CLIP, PAR-CLIP, and iCLIP) have been recently produced to reveal transcriptome-wide binding sites of RBPs at the single-nucleotide level.DESCRIPTION: Here, we constructed a database, CLIPdb, to describe RBP-RNA interactions based on 395 publicly available CLIP-seq data sets for 111 RBPs from four organisms: human, mouse, worm and yeast. We consistently annotated the CLIP-seq data sets and RBPs, and developed a user-friendly interface for rapid navigation of the CLIP-seq data. We applied a unified computational method to identify transcriptome-wide binding sites, making the binding sites directly comparable and the data available for integration across different CLIP-seq studies. The high-resolution binding sites of the RBPs can be visualized on the whole-genome scale using a browser. In addition, users can browse and download the identified binding sites of all profiled RBPs by querying genes of interest, including both protein coding genes and non-coding RNAs.CONCLUSION: Manually curated metadata and uniformly identified binding sites of publicly available CLIP-seq data sets will be a foundation for further integrative and comparative analyses. With maintained up-to-date data sets and improved functionality, CLIPdb ( http://clipdb.ncrnalab.org ) will be a valuable resource for improving the understanding of post-transcriptional regulatory networks."
"25614300";"PAR-CLIP";"PAR-CLIP";"Scientific reports";1;2015;"MBSTAR: multiple instance learning for predicting specific functional binding sites in microRNA targets.";"MicroRNA (miRNA) regulates gene expression by binding to specific sites in the 3'untranslated regions of its target genes. Machine learning based miRNA target prediction algorithms first extract a set of features from potential binding sites (PBSs) in the mRNA and then train a classifier to distinguish targets from non-targets. However, they do not consider whether the PBSs are functional or not, and consequently result in high false positive rates. This substantially affects the follow up functional validation by experiments. We present a novel machine learning based approach, MBSTAR (Multiple instance learning of Binding Sites of miRNA TARgets), for accurate prediction of true or functional miRNA binding sites. Multiple instance learning framework is adopted to handle the lack of information about the actual binding sites in the target mRNAs. Biologically validated 9531 interacting and 973 non-interacting miRNA-mRNA pairs are identified from Tarbase 6.0 and confirmed with PAR-CLIP dataset. It is found that MBSTAR achieves the highest number of binding sites overlapping with PAR-CLIP with maximum F-Score of 0.337. Compared to the other methods, MBSTAR also predicts target mRNAs with highest accuracy. The tool and genome wide predictions are available at http://www.isical.ac.in/~bioinfo_miu/MBStar30.htm."
"26227145";"PAR-CLIP";"PAR-CLIP";"Bioinformatics (Oxford, England)";0;2015;"BackCLIP: a tool to identify common background presence in PAR-CLIP datasets.";"MOTIVATION: PAR-CLIP, a CLIP-seq protocol, derives a transcriptome wide set of binding sites for RNA-binding proteins. Even though the protocol uses stringent washing to remove experimental noise, some of it remains. A recent study measured three sets of non-specific RNA backgrounds which are present in several PAR-CLIP datasets. However, a tool to identify the presence of common background in PAR-CLIP datasets is not yet available.RESULTS: We used the measured sets of non-specific RNA backgrounds to build a common background set. Each element from the common background set has a score that reflects its presence in several PAR-CLIP datasets. We present a tool that uses this score to identify the amount of common backgrounds present in a PAR-CLIP dataset, and we provide the user the option to use or remove it. We used the proposed strategy in 30 PAR-CLIP datasets from 9 proteins. It is possible to identify the presence of common backgrounds in a dataset and identify differences in datasets for the same protein. This method is the first step in the process of completely removing such backgrounds.AVAILABILITY: The tool was implemented in python. The common background set and the supplementary data are available at https://github.com/phrh/BackCLIP CONTACT: phreyes@gmail.com."
"26226348";"PAR-CLIP";"PAR-CLIP";"PloS one";0;2015;"HIV-1 RNAs are Not Part of the Argonaute 2 Associated RNA Interference Pathway in Macrophages.";"BACKGROUND: MiRNAs and other small noncoding RNAs (sncRNAs) are key players in post-transcriptional gene regulation. HIV-1 derived small noncoding RNAs (sncRNAs) have been described in HIV-1 infected cells, but their biological functions still remain to be elucidated. Here, we approached the question whether viral sncRNAs may play a role in the RNA interference (RNAi) pathway or whether viral mRNAs are targeted by cellular miRNAs in human monocyte derived macrophages (MDM).METHODS: The incorporation of viral sncRNAs and/or their target RNAs into RNA-induced silencing complex was investigated using photoactivatable ribonucleoside-induced cross-linking and immunoprecipitation (PAR-CLIP) as well as high-throughput sequencing of RNA isolated by cross-linking immunoprecipitation (HITS-CLIP), which capture Argonaute2-bound miRNAs and their target RNAs. HIV-1 infected monocyte-derived macrophages (MDM) were chosen as target cells, as they have previously been shown to express HIV-1 sncRNAs. In addition, we applied small RNA deep sequencing to study differential cellular miRNA expression in HIV-1 infected versus non-infected MDMs.RESULTS AND CONCLUSION: PAR-CLIP and HITS-CLIP data demonstrated the absence of HIV-1 RNAs in Ago2-RISC, although the presence of a multitude of HIV-1 sncRNAs in HIV-1 infected MDMs was confirmed by small RNA sequencing. Small RNA sequencing revealed that 1.4% of all sncRNAs were of HIV-1 origin. However, neither HIV-1 derived sncRNAs nor putative HIV-1 target sequences incorporated into Ago2-RISC were identified suggesting that HIV-1 sncRNAs are not involved in the canonical RNAi pathway nor is HIV-1 targeted by this pathway in HIV-1 infected macrophages."
"26170170";"PAR-CLIP";"PAR-CLIP";"Nature communications";0;2015;"RC3H1 post-transcriptionally regulates A20 mRNA and modulates the activity of the IKK/NF-κB pathway.";"The RNA-binding protein RC3H1 (also known as ROQUIN) promotes TNFα mRNA decay via a 3'UTR constitutive decay element (CDE). Here we applied PAR-CLIP to human RC3H1 to identify ∼3,800 mRNA targets with &gt;16,000 binding sites. A large number of sites are distinct from the consensus CDE and revealed a structure-sequence motif with U-rich sequences embedded in hairpins. RC3H1 binds preferentially short-lived and DNA damage-induced mRNAs, indicating a role of this RNA-binding protein in the post-transcriptional regulation of the DNA damage response. Intriguingly, RC3H1 affects expression of the NF-κB pathway regulators such as IκBα and A20. RC3H1 uses ROQ and Zn-finger domains to contact a binding site in the A20 3'UTR, demonstrating a not yet recognized mode of RC3H1 binding. Knockdown of RC3H1 resulted in increased A20 protein expression, thereby interfering with IκB kinase and NF-κB activities, demonstrating that RC3H1 can modulate the activity of the IKK/NF-κB pathway."
"26070070";"PAR-CLIP";"PAR-CLIP";"PLoS pathogens";0;2015;"EBV BART MicroRNAs Target Multiple Pro-apoptotic Cellular Genes to Promote Epithelial Cell Survival.";"Epstein-Barr virus (EBV) is a ubiquitous human γ-herpesvirus that can give rise to cancers of both B-cell and epithelial cell origin. In EBV-induced cancers of epithelial origin, including nasopharyngeal carcinomas (NPCs) and gastric carcinomas, the latent EBV genome expresses very high levels of a cluster of 22 viral pre-miRNAs, called the miR-BARTs, and these have previously been shown to confer a degree of resistance to pro-apoptotic drugs. Here, we present an analysis of the ability of individual miR-BART pre-miRNAs to confer an anti-apoptotic phenotype and report that five of the 22 miR-BARTs demonstrate this ability. We next used photoactivatable ribonucleoside-enhanced crosslinking and immunoprecipitation (PAR-CLIP) to globally identify the mRNA targets bound by these miR-BARTs in latently infected epithelial cells. This led to the identification of ten mRNAs encoding pro-apoptotic mRNA targets, all of which could be confirmed as valid targets for the five anti-apoptotic miR-BARTs by indicator assays and by demonstrating that ectopic expression of physiological levels of the relevant miR-BART in the epithelial cell line AGS resulted in a significant repression of the target mRNA as well as the encoded protein product. Using RNA interference, we further demonstrated that knockdown of at least seven of these cellular miR-BART target transcripts phenocopies the anti-apoptotic activity seen upon expression of the relevant EBV miR-BART miRNA. Together, these observations validate previously published reports arguing that the miR-BARTs can exert an anti-apoptotic effect in EBV-infected epithelial cells and provide a mechanistic explanation for this activity. Moreover, these results identify and validate a substantial number of novel mRNA targets for the anti-apoptotic miR-BARTs."
"26001795";"PAR-CLIP";"PAR-CLIP";"RNA (New York, N.Y.)";0;2015;"LARP4B is an AU-rich sequence associated factor that promotes mRNA accumulation and translation.";"mRNAs are key molecules in gene expression and subject to diverse regulatory events. Regulation is accomplished by distinct sets of trans-acting factors that interact with mRNAs and form defined mRNA-protein complexes (mRNPs). The resulting &quot;mRNP code&quot; determines the fate of any given mRNA and thus controlling gene expression at the post-transcriptional level. The La-related protein 4B (LARP4B) belongs to an evolutionarily conserved family of RNA-binding proteins characterized by the presence of a La-module implicated in direct RNA binding. Biochemical experiments have shown previously direct interactions of LARP4B with factors of the translation machinery. This finding along with the observation of an association with actively translating ribosomes suggested that LARP4B is a factor contributing to the mRNP code. To gain insight into the function of LARP4B in vivo we tested its mRNA association at the transcriptome level and its impact on the proteome. PAR-CLIP analyses allowed us to identify the in vivo RNA targets of LARP4B. We show that LARP4B binds to a distinct set of cellular mRNAs by contacting their 3' UTRs. Biocomputational analysis combined with in vitro binding assays identified the LARP4B-binding motif on mRNA targets. The reduction of cellular LARP4B levels leads to a marked destabilization of its mRNA targets and consequently their reduced translation. Our data identify LARP4B as a component of the mRNP code that influences the expression of its mRNA targets by affecting their stability."
"25958398";"PAR-CLIP";"PAR-CLIP";"Nucleic acids research";0;2015;"Design and bioinformatics analysis of genome-wide CLIP experiments.";"The past decades have witnessed a surge of discoveries revealing RNA regulation as a central player in cellular processes. RNAs are regulated by RNA-binding proteins (RBPs) at all post-transcriptional stages, including splicing, transportation, stabilization and translation. Defects in the functions of these RBPs underlie a broad spectrum of human pathologies. Systematic identification of RBP functional targets is among the key biomedical research questions and provides a new direction for drug discovery. The advent of cross-linking immunoprecipitation coupled with high-throughput sequencing (genome-wide CLIP) technology has recently enabled the investigation of genome-wide RBP-RNA binding at single base-pair resolution. This technology has evolved through the development of three distinct versions: HITS-CLIP, PAR-CLIP and iCLIP. Meanwhile, numerous bioinformatics pipelines for handling the genome-wide CLIP data have also been developed. In this review, we discuss the genome-wide CLIP technology and focus on bioinformatics analysis. Specifically, we compare the strengths and weaknesses, as well as the scopes, of various bioinformatics tools. To assist readers in choosing optimal procedures for their analysis, we also review experimental design and procedures that affect bioinformatics analyses."
"25849773";"PAR-CLIP";"PAR-CLIP";"Nature";0;2015;"eIF3 targets cell-proliferation messenger RNAs for translational activation or repression.";"Regulation of protein synthesis is fundamental for all aspects of eukaryotic biology by controlling development, homeostasis and stress responses. The 13-subunit, 800-kilodalton eukaryotic initiation factor 3 (eIF3) organizes initiation factor and ribosome interactions required for productive translation. However, current understanding of eIF3 function does not explain genetic evidence correlating eIF3 deregulation with tissue-specific cancers and developmental defects. Here we report the genome-wide discovery of human transcripts that interact with eIF3 using photoactivatable ribonucleoside-enhanced crosslinking and immunoprecipitation (PAR-CLIP). eIF3 binds to a highly specific program of messenger RNAs involved in cell growth control processes, including cell cycling, differentiation and apoptosis, via the mRNA 5' untranslated region. Surprisingly, functional analysis of the interaction between eIF3 and two mRNAs encoding the cell proliferation regulators c-JUN and BTG1 reveals that eIF3 uses different modes of RNA stem-loop binding to exert either translational activation or repression. Our findings illuminate a new role for eIF3 in governing a specialized repertoire of gene expression and suggest that binding of eIF3 to specific mRNAs could be targeted to control carcinogenesis."
