"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"25685740";"PARS";"PARS AND RNA";"Cell journal";1;2015;"Enrichment of A Rare Subpopulation of miR-302-Expressing Glioma Cells by Serum Deprivation.";"OBJECTIVE: MiR-302-367 is a cluster of polycistronic microRNAs that are exclusively expressed in embryonic stem (ES) cells. The miR-302-367 promoter is functional during embryonic development but is turned off in later stages. Motivated by the cancer stem cell hypothesis, we explored the potential expression of miR-302 in brain tumor cell lines.MATERIALS AND METHODS: In the present experimental study, we have tried to expand our knowledge on the expression pattern and functionality of miR302 cluster by quantifying its expression in a series of glioma (A-172, 1321N1, U87MG) and medulloblastoma (DAOY) cell lines. To further assess the functionality of miR-302 in these cell lines, we cloned its promoter core region upstream of the enhanced green fluorescent protein (EGFP) or luciferase encoding genes.RESULTS: Our data demonstrated a very low expression of miR-302 in glioma cell lines, compared with that of embryonal carcinoma cell line NT2 being used as a positive control. The expression of miR-302 promoter-EGFP construct in the aforementioned cell lines demonstrated GFP expression in a rare subpopulation of the cells. Serum deprivation led to the generation of tumorospheres, enrichment of miR-302 positive cells and upregulation of a number of pluripotency genes.CONCLUSION: Taken together, our data suggest that miR-302 could potentially be used as a novel putative cancer stem cell marker to identify and target cancer stem cells within tumor tissues."
"26254958";"PARS";"PARS AND RNA";"Auris, nasus, larynx";0;2015;"Role of TLRs in the production of chemical mediators in nasal polyp fibroblasts by fungi.";"OBJECTIVE: Fibroblasts are major supporting cells in nasal mucosa and can induce inflammatory process with recruitment of inflammatory cells. Airborne fungi have been suggested as an etiologic factor of chronic rhinosinusitis (CRS). The aim of this study was to investigate the interaction between airborne fungi and pattern recognition receptors (PRRs) in nasal fibroblasts.METHODS: Primary nasal polyp fibroblasts were cultured with Alternaria and Aspergillus for 48h. To determine the production of chemical mediators interleukine-6 (IL-6), IL-8, granulocyte-macrophage colony stimulating factor (GM-CSF), eotaxin, and regulated on activation normal T expressed and secreted (RANTES) were measured with enzyme immunoassay methods. PRRs for toll-like receptors (TLRs) and protease-activated receptors (PARs) mRNA were determined with reverse transcription polymerase chain reaction (RT-PCR). To determine the role of PRRs, fibroblasts were treated with small interfering RNA (siRNA).RESULTS: IL-6 and IL-8 productions were significantly increased by 50 and 100μg/ml of Alternaria. However, GM-CSF, eotaxin, and RANTES productions did not change. Aspergillus did not influence the production of chemical mediators from nasal polyp fibroblasts. TLR2 and TLR5 mRNA expressions were significantly increased by fungi and these two TLRs were associated with the production of IL-6 and IL-8.CONCLUSION: Alternaria interacts as a pathogen-associated molecular pattern with the PRRs, such as TLR2 and TLR5, which induce the production of inflammatory chemical mediators from nasal polyp fibroblasts. Airborne fungi enhance the innate immune defense mechanism and may be associated with the pathogenesis of nasal inflammatory diseases."
"26209390";"PARS";"PARS AND RNA";"Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology";0;2015;"Genomic characterization of a persistent rubella virus from a case of Fuch' uveitis syndrome in a 73 year old man.";"BACKGROUND: Many cases of Fuchs' uveitis have been associated with persistent rubella virus infection. A 73-year-old male patient with typical Fuchs' Uveitis Syndrome (FUS) first experienced heterochromia of the left eye at the age fourteen, when rubella was endemic in the US.OBJECTIVES: The purposes of this report are to describe the patient's FUS clinical presentations and to characterize the virus detected in the vitreous fluid.STUDY DESIGN: The patient underwent a therapeutic pars plana vitrectomy in May 2013. A real-time RT-PCR assay for rubella virus was performed on the vitreous fluid by Focus Diagnostics. Additional real-time RT-PCR assays for rubella virus detection and RT-PCR assays for generation of templates for sequencing were performed at the Centers for Disease Control and Prevention (CDC).RESULTS: The results from Focus Diagnostics were positive for rubella virus RNA. Real-time RT-PCR assays at CDC were also positive for rubella virus. A rubella virus sequence of 739 nucleotides was determined and phylogenetic analysis showed that the virus was the sole member of a new phylogenetic group when compared to reference virus sequences.CONCLUSIONS: While FUS remains a clinical diagnosis, findings in this case support the association between rubella virus and the disease. Phylogenetic analysis provided evidence that this rubella virus was likely a previously undetected genotype which is no longer circulating. Since the patient had rubella prior to 1955, this sequence is from the earliest rubella virus yet characterized."
"26194183";"PARS";"PARS AND RNA";"Molecular psychiatry";0;2015;"Elevated peripheral cytokines characterize a subgroup of people with schizophrenia displaying poor verbal fluency and reduced Broca's area volume.";"Previous studies on schizophrenia have detected elevated cytokines in both brain and blood, suggesting neuroinflammation may contribute to the pathophysiology in some cases. We aimed to determine the extent to which elevated peripheral cytokine messenger RNA (mRNA) expression: (1) characterizes a subgroup of people with schizophrenia and (2) shows a relationship to cognition, brain volume and/or symptoms. Forty-three outpatients with schizophrenia or schizoaffective disorder and matched healthy controls were assessed for peripheral cytokine mRNAs (interleukin (IL)-1β, IL-2, IL-6, IL-8 and IL-18), intelligence quotient, memory and verbal fluency, symptom severity and cortical brain volumes integral to language (that is, Broca's and Wernicke's areas). IL-1β mRNA levels were 28% increased in schizophrenia compared with controls (t(82)=2.64, P&lt;0.01). Using a two-step clustering procedure, we identified a subgroup of people displaying relatively elevated cytokine mRNA levels (17/43 people with schizophrenia and 9/42 controls). Individuals with schizophrenia in the elevated cytokine subgroup performed significantly worse than the low-cytokine subgroup on verbal fluency (F(1,40)=15.7, P&lt;0.001). There was a 17% volume reduction of the left pars opercularis (POp) (Broca's area) in patients with elevated cytokines compared with patients with lower cytokines (F(1,29)=9.41, P=0.005). Negative linear relationships between IL-1β mRNA levels and both verbal fluency and left POp volume were found in schizophrenia. This study is among the first to link blood biomarkers of inflammation with both cognitive deficits and brain volume reductions in people with schizophrenia, supporting that those with elevated cytokines represent a neurobiologically meaningful subgroup. These findings raise the possibility that targeted anti-inflammatory treatments may ameliorate cognitive and brain morphological abnormalities in some people with schizophrenia.Molecular Psychiatry advance online publication, 21 July 2015; doi:10.1038/mp.2015.90."
"26170232";"PARS";"PARS AND RNA";"Nucleic acids research";0;2015;"Improved prediction of RNA secondary structure by integrating the free energy model with restraints derived from experimental probing data.";"Recently, several experimental techniques have emerged for probing RNA structures based on high-throughput sequencing. However, most secondary structure prediction tools that incorporate probing data are designed and optimized for particular types of experiments. For example, RNAstructure-Fold is optimized for SHAPE data, while SeqFold is optimized for PARS data. Here, we report a new RNA secondary structure prediction method, restrained MaxExpect (RME), which can incorporate multiple types of experimental probing data and is based on a free energy model and an MEA (maximizing expected accuracy) algorithm. We first demonstrated that RME substantially improved secondary structure prediction with perfect restraints (base pair information of known structures). Next, we collected structure-probing data from diverse experiments (e.g. SHAPE, PARS and DMS-seq) and transformed them into a unified set of pairing probabilities with a posterior probabilistic model. By using the probability scores as restraints in RME, we compared its secondary structure prediction performance with two other well-known tools, RNAstructure-Fold (based on a free energy minimization algorithm) and SeqFold (based on a sampling algorithm). For SHAPE data, RME and RNAstructure-Fold performed better than SeqFold, because they markedly altered the energy model with the experimental restraints. For high-throughput data (e.g. PARS and DMS-seq) with lower probing efficiency, the secondary structure prediction performances of the tested tools were comparable, with performance improvements for only a portion of the tested RNAs. However, when the effects of tertiary structure and protein interactions were removed, RME showed the highest prediction accuracy in the DMS-accessible regions by incorporating in vivo DMS-seq data."
"26125041";"PARS";"PARS AND RNA";"Annals of clinical and translational neurology";0;2015;"Differential involvement of Ras-GRF1 and Ras-GRF2 in L-DOPA-induced dyskinesia.";"OBJECTIVE: Recent findings have shown that pharmacogenetic manipulations of the Ras-ERK pathway provide a therapeutic means to tackle l-3,4-dihydroxyphenylalanine (l-DOPA)-induced dyskinesia (LID). First, we investigated whether a prolonged l-DOPA treatment differentially affected ERK signaling in medium spiny neurons of the direct pathway (dMSNs) and in cholinergic aspiny interneurons (ChIs) and assessed the role of Ras-GRF1 in both subpopulations. Second, using viral-assisted technology, we probed Ras-GRF1 and Ras-GRF2 as potential targets in this pathway. We investigated how selective blockade of striatal Ras-GRF1 or Ras-GRF2 expression impacted on LID (induction, maintenance, and reversion) and its neurochemical correlates.METHODS: We used both Ras-GRF1 knockout mice and lentiviral vectors (LVs) delivering short-hairpin RNA sequences (shRNAs) to obtain striatum-specific gene knockdown of Ras-GRF1 and Ras-GRF2. The consequences of these genetic manipulations were evaluated in the 6-hydroxydopamine mouse model of Parkinson's disease. Escalating doses of l-DOPA were administered and then behavioral analysis with immunohistochemical assays and in vivo microdialysis were performed.RESULTS: Ras-GRF1 was found essential in controlling ERK signaling in dMSNs, but its ablation did not prevent ERK activation in ChIs. Moreover, striatal injection of LV-shRNA/Ras-GRF1 attenuated dyskinesia development and ERK-dependent signaling, whereas LV-shRNA/Ras-GRF2 was without effect, ruling out the involvement of Ras-GRF2 in LID expression. Accordingly, Ras-GRF1 but not Ras-GRF2 striatal gene-knockdown reduced l-DOPA-induced GABA and glutamate release in the substantia nigra pars reticulata, a neurochemical correlate of dyskinesia. Finally, inactivation of Ras-GRF1 provided a prolonged anti-dyskinetic effect for up to 7 weeks and significantly attenuated symptoms in animals with established LID.INTERPRETATION: Our results suggest that Ras-GRF1 is a promising target for LID therapy based on Ras-ERK signaling inhibition in the striatum."
"25884295";"PARS";"PARS AND RNA";"BMC genomics";0;2015;"Incomplete meiotic sex chromosome inactivation in the domestic dog.";"BACKGROUND: In mammalian meiotic prophase, homologous chromosome recognition is aided by formation and repair of programmed DNA double-strand breaks (DSBs). Subsequently, stable associations form through homologous chromosome synapsis. In male mouse meiosis, the largely heterologous X and Y chromosomes synapse only in their short pseudoautosomal regions (PARs), and DSBs persist along the unsynapsed non-homologous arms of these sex chromosomes. Asynapsis of these arms and the persistent DSBs then trigger transcriptional silencing through meiotic sex chromosome inactivation (MSCI), resulting in formation of the XY body. This inactive state is partially maintained in post-meiotic haploid spermatids (postmeiotic sex chromatin repression, PSCR). For the human, establishment of MSCI and PSCR have also been reported, but X-linked gene silencing appears to be more variable compared to mouse. To gain more insight into the regulation and significance of MSCI and PSCR among different eutherian species, we have performed a global analysis of XY pairing dynamics, DSB repair, MSCI and PSCR in the domestic dog (Canis lupus familiaris), for which the complete genome sequence has recently become available, allowing a thorough comparative analyses.RESULTS: In addition to PAR synapsis between X and Y, we observed extensive self-synapsis of part of the dog X chromosome, and rapid loss of known markers of DSB repair from that part of the X. Sequencing of RNA from purified spermatocytes and spermatids revealed establishment of MSCI. However, the self-synapsing region of the X displayed higher X-linked gene expression compared to the unsynapsed area in spermatocytes, and was post-meiotically reactivated in spermatids. In contrast, genes in the PAR, which are expected to escape MSCI, were expressed at very low levels in both spermatocytes and spermatids. Our comparative analysis was then used to identify two X-linked genes that may escape MSCI in spermatocytes, and 21 that are specifically re-activated in spermatids of human, mouse and dog.CONCLUSIONS: Our data indicate that MSCI is incomplete in the dog. This may be partially explained by extensive, but transient, self-synapsis of the X chromosome, in association with rapid completion of meiotic DSB repair. In addition, our comparative analysis identifies novel candidate male fertility genes."
"25804738";"PARS";"PARS AND RNA";"Development (Cambridge, England)";0;2015;"Genome-wide characterisation of Foxa1 binding sites reveals several mechanisms for regulating neuronal differentiation in midbrain dopamine cells.";"Midbrain dopamine neuronal progenitors develop into heterogeneous subgroups of neurons, such as substantia nigra pars compacta, ventral tegmental area and retrorubal field, that regulate motor control, motivated and addictive behaviours. The development of midbrain dopamine neurons has been extensively studied, and these studies indicate that complex cross-regulatory interactions between extrinsic and intrinsic molecules regulate a precise temporal and spatial programme of neurogenesis in midbrain dopamine progenitors. To elucidate direct molecular interactions between multiple regulatory factors during neuronal differentiation in mice, we characterised genome-wide binding sites of the forkhead/winged helix transcription factor Foxa1, which functions redundantly with Foxa2 to regulate the differentiation of mDA neurons. Interestingly, our studies identified a rostral brain floor plate Neurog2 enhancer that requires direct input from Otx2, Foxa1, Foxa2 and an E-box transcription factor for its transcriptional activity. Furthermore, the chromatin remodelling factor Smarca1 was shown to function downstream of Foxa1 and Foxa2 to regulate differentiation from immature to mature midbrain dopaminergic neurons. Our genome-wide Foxa1-bound cis-regulatory sequences from ChIP-Seq and Foxa1/2 candidate target genes from RNA-Seq analyses of embryonic midbrain dopamine cells also provide an excellent resource for probing mechanistic insights into gene regulatory networks involved in the differentiation of midbrain dopamine neurons."
"25618847";"PARS";"PARS AND RNA";"Nucleic acids research";0;2015;"Detecting riboSNitches with RNA folding algorithms: a genome-wide benchmark.";"Ribonucleic acid (RNA) secondary structure prediction continues to be a significant challenge, in particular when attempting to model sequences with less rigidly defined structures, such as messenger and non-coding RNAs. Crucial to interpreting RNA structures as they pertain to individual phenotypes is the ability to detect RNAs with large structural disparities caused by a single nucleotide variant (SNV) or riboSNitches. A recently published human genome-wide parallel analysis of RNA structure (PARS) study identified a large number of riboSNitches as well as non-riboSNitches, providing an unprecedented set of RNA sequences against which to benchmark structure prediction algorithms. Here we evaluate 11 different RNA folding algorithms' riboSNitch prediction performance on these data. We find that recent algorithms designed specifically to predict the effects of SNVs on RNA structure, in particular remuRNA, RNAsnp and SNPfold, perform best on the most rigorously validated subsets of the benchmark data. In addition, our benchmark indicates that general structure prediction algorithms (e.g. RNAfold and RNAstructure) have overall better performance if base pairing probabilities are considered rather than minimum free energy calculations. Although overall aggregate algorithmic performance on the full set of riboSNitches is relatively low, significant improvement is possible if the highest confidence predictions are evaluated independently."
"25617152";"PARS";"PARS AND RNA";"Journal of neuroinflammation";0;2015;"CCAAT/enhancer binding protein β directly regulates the expression of the complement component 3 gene in neural cells: implications for the pro-inflammatory effects of this transcription factor.";"BACKGROUND: The CCAAT/enhancer-binding protein β (C/EBPβ) is a transcription factor, which was first identified as a regulator of differentiation and inflammatory processes mainly in adipose tissue and liver; however, its function in the brain was largely unknown for many years. Previous studies from our laboratory indicated that C/EBPβ is implicated in inflammatory process and brain injury, since mice lacking this gene were less susceptible to kainic acid-induced injury.METHODS: We first performed cDNA microarrays analysis using hippocampal RNA isolated from C/EBPβ (+/+) and C/EBPβ (-/-) mice. Immunocytochemical and immunohistochemical studies were done to evaluate C/EBPβ and C3 levels. Transient transfection experiments were made to analyze transcriptional regulation of C3 by C/EBPβ. To knockdown C/EBPβ and C3 expression, mouse astrocytes were infected with lentiviral particles expressing an shRNA specific for C/EBPβ or an siRNA specific for C3.RESULTS: Among the genes displaying significant changes in expression was complement component 3 (C3), which showed a dramatic decrease in mRNA content in the hippocampus of C/EBPβ (-/-) mice. C3 is the central component of the complement and is implicated in different brain disorders. In this work we have found that C/EBPβ regulates C3 levels in rodents glial in vitro and in the rat Substantia nigra pars compacta (SNpc) in vivo following an inflammatory insult. Analysis of the mouse C3 promoter showed that it is directly regulated by C/EBPβ through a C/EBPβ consensus site located at position -616/-599 of the gene. In addition, we show that depletion of C/EBPβ by a specific shRNA results in a significant decrease in the levels of C3 together with a reduction in the increased levels of pro-inflammatory agents elicited by lipopolysaccharide treatment.CONCLUSIONS: Altogether, these results indicate that C3 is a downstream target of C/EBPβ, and it could be a mediator of the pro-inflammatory effects of this transcription factor in neural cells."
