"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"25992639";"UMI";"UMI";"PloS one";1;2015;"Modeling of In-Utero and Intra-Partum Transmissions to Evaluate the Efficacy of Interventions for the Prevention of Perinatal HIV.";"BACKGROUND: Antiretroviral treatments decrease HIV mother-to-child transmission through pre/post exposure prophylaxis and reduction of maternal viral load. We modeled in-utero and intra-partum HIV transmissions to investigate the preventive role of various antiretroviral treatments interventions.METHODS: We analysed data from 3,759 women-infant pairs enrolled in 3 randomized clinical trials evaluating (1) zidovudine monotherapy, (2) zidovudine plus perinatal single-dose nevirapine or (3) zidovudine plus lopinavir/ritonavir for the prevention of mother-to-child transmission of HIV in Thailand. All infants were formula-fed. Non-linear mixed effect modeling was used to express the viral load evolution under antiretroviral treatments and the probability of transmission.RESULTS: Median viral load was 4 log10 copies/mL (Interquartile range: 3.36-4.56) before antiretroviral treatments initiation. An Emax model described the viral load time-course during pregnancy. Half of the maximum effect of zidovudine (28% decrease) and lopinavir/ritonavir (72% decrease) were achieved after 98 and 12 days, respectively. Adjusted on viral load at baseline (Odds ratio = 1.50 [95% confidence interval: 1.34, 1.68] per log10 copies/mL increment), antiretroviral treatments duration (OR = 0.80 [0.75, 0.84] per week increment) but not the nature of antiretroviral treatments were associated with in-utero transmission. Adjusted on gestational age at delivery (&lt;37 weeks, OR = 2.37 [1.37, 4.10]), baseline CD4 (Odds ratio = 0.79 [0.72, 0.88] per 100 cells/mm3 increment) and predicted viral load at delivery (OR = 1.47 [1.25, 1.64] per log10 copies/mL increment), single-dose nevirapine considerably reduced intra-partum transmission (OR = 0.32 [0.2, 0.51]).CONCLUSION: These models determined the respective contributions of various antiretroviral strategies on prevention of mother-to-child transmission. This can help predict the efficacy of new antiretroviral treatments and/or prevention of mother-to-child transmission strategies particularly for women with no or late antenatal care who are at high risk of transmitting HIV to their offspring.TRIAL REGISTRATION: This analysis is based on secondary data obtained from three clinical trials. ClinicalTrials.gov. NCT00386230, NCT00398684, NCT00409591."
"25936818";"UMI";"UMI";"Seminars in cancer biology";1;2015;"Broad targeting of resistance to apoptosis in cancer.";"Apoptosis or programmed cell death is natural way of removing aged cells from the body. Most of the anti-cancer therapies trigger apoptosis induction and related cell death networks to eliminate malignant cells. However, in cancer, de-regulated apoptotic signaling, particularly the activation of an anti-apoptotic systems, allows cancer cells to escape this program leading to uncontrolled proliferation resulting in tumor survival, therapeutic resistance and recurrence of cancer. This resistance is a complicated phenomenon that emanates from the interactions of various molecules and signaling pathways. In this comprehensive review we discuss the various factors contributing to apoptosis resistance in cancers. The key resistance targets that are discussed include (1) Bcl-2 and Mcl-1 proteins; (2) autophagy processes; (3) necrosis and necroptosis; (4) heat shock protein signaling; (5) the proteasome pathway; (6) epigenetic mechanisms; and (7) aberrant nuclear export signaling. The shortcomings of current therapeutic modalities are highlighted and a broad spectrum strategy using approaches including (a) gossypol; (b) epigallocatechin-3-gallate; (c) UMI-77 (d) triptolide and (e) selinexor that can be used to overcome cell death resistance is presented. This review provides a roadmap for the design of successful anti-cancer strategies that overcome resistance to apoptosis for better therapeutic outcome in patients with cancer."
"25657241";"UMI";"UMI";"Science (New York, N.Y.)";1;2015;"Evolution. Response to Comment on &quot;A promiscuous intermediate underlies the evolution of LEAFY DNA binding specificity&quot;.";"Brunkard et al. propose that the identification of novel LEAFY sequences contradicts our model of evolution through promiscuous intermediates. Based on the debate surrounding land plant phylogeny and on our analysis of these interesting novel sequences, we explain why there is no solid evidence to disprove our model."
"26282756";"UMI";"UMI";"The Science of the total environment";0;2015;"Getting water right: A case study in water yield modelling based on precipitation data.";"Water yield is a key ecosystem service in river basins and especially in dry regions around the World. In this study we carry out a modelling analysis of water yields in the Chubut River basin, located in one of the driest districts of Patagonia, Argentina. We focus on the uncertainty around precipitation data, a driver of paramount importance for water yield. The objectives of this study are to: i) explore the spatial and numeric differences among six widely used global precipitation datasets for this region, ii) test them against data from independent ground stations, and iii) explore the effects of precipitation data uncertainty on simulations of water yield. The simulations were performed using the ecosystem services model InVEST (Integrated Valuation of Ecosystem Services and Tradeoffs) with each of the six different precipitation datasets as input. Our results show marked differences among datasets for the Chubut watershed region, both in the magnitude of precipitations and their spatial arrangement. Five of the precipitation databases overestimate the precipitation over the basin by 50% or more, particularly over the more humid western range. Meanwhile, the remaining dataset (Tropical Rainfall Measuring Mission - TRMM), based on satellite measurements, adjusts well to the observed rainfall in different stations throughout the watershed and provides a better representation of the precipitation gradient characteristic of the rain shadow of the Andes. The observed differences among datasets in the representation of the rainfall gradient translate into large differences in water yield simulations. Errors in precipitation of +30% (-30%) amplify to water yield errors ranging from 50 to 150% (-45 to -60%) in some sub-basins. These results highlight the importance of assessing uncertainties in main input data when quantifying and mapping ecosystem services with biophysical models and cautions about the undisputed use of global environmental datasets."
"26274128";"UMI";"UMI";"Physical review. E, Statistical, nonlinear, and soft matter physics";0;2015;"Quantum statistics and the performance of engine cycles.";"We study the role of quantum statistics in the performance of Otto cycles. First, we show analytically that the work distributions for bosonic and fermionic working fluids are identical for cycles driven by harmonic trapping potentials. Subsequently, in the case of nonharmonic potentials, we find that the interplay between different energy level spacings and particle statistics strongly affects the performances of the engine cycle. To demonstrate this, we examine three trapping potentials which induce different (single-particle) energy level spacings: monotonically decreasing with the level number, monotonically increasing, and the case in which the level spacing does not vary monotonically."
"26258660";"UMI";"UMI";"Journal of the American Chemical Society";0;2015;"Dendron-Mediated Engineering of Interparticle Separation and Self-Assembly in Dendronized Gold Nanoparticles Superlattices.";"Self-assembly of nanoparticles into designed structures with controlled interparticle separations is of crucial importance for the engineering of new materials with tunable functions and for the subsequent bottom-up fabrication of functional devices. In this study, a series of lipophilic, highly flexible, disulfide dendritic wedges (generations 0-4), based on 2,2-bis(hydroxymethyl)propionic acid, was designed to bind Au nanoparticles with a thiolate bond. By controlling the solvent evaporation rate, the corresponding dendron-capped Au hybrids were found to self-organize into hexagonal close-packed (hcp) superlattices. The interparticular spacing was progressively varied from 2.2 to 6.3 nm with increasing dendritic generation, covering a range that is intermediate between commercial ligands and DNA-based ligand shells. Dual mixtures made from some of these dendronized hybrids (i.e., same inner core size but different dendritic covering) yielded binary superlattice structures of unprecedented single inorganic components, which are isostructural with NaZn13 and CaCu5 crystals."
"26248564";"UMI";"UMI";"Molecular biology and evolution";0;2015;"The pseudoautosomal regions of the U/V sex chromosomes of the brown alga Ectocarpus exhibit unusual features.";"The recombining regions of sex chromosomes (pseudoautosomal regions, PAR) are predicted to exhibit unusual features due to their being genetically linked to the non-recombining, sex-determining region. This phenomenon is expected to occur in both diploid (XY, ZW) and haploid (UV) sexual systems, with slightly different consequences for UV sexual systems because of the absence of masking during the haploid phase (when sex is expressed) and because there is no homozygous sex in these systems. Despite a considerable amount of theoretical work on PAR genetics and evolution, these genomic regions have remained poorly characterized empirically. We show here that although the pseudoautosomal regions of the U/V sex chromosomes of the brown alga Ectocarpus recombine at a similar rate to autosomal regions of the genome, they exhibit many genomic features typical of non-recombining regions. The pseudoautosomal regions were enriched in clusters of genes that are preferentially, and often exclusively, expressed during the sporophyte generation of the life cycle, and many of these genes appear to have evolved since the Ectocarpales diverged from other brown algal lineages. A modelling-based approach was used to investigate possible evolutionary mechanisms underlying this enrichment in sporophyte-biased genes. Our results are consistent with the evolution of the PAR in haploid systems being influenced by differential selection pressures in males and females acting on alleles that are advantageous during the sporophyte generation of the life cycle."
"26247831";"UMI";"UMI";"PLoS pathogens";0;2015;"Interdisciplinarity and Infectious Diseases: An Ebola Case Study.";""
"26245848";"UMI";"UMI";"Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA";0;2015;"Evidence of a link between resting energy expenditure and bone remodelling, glucose homeostasis and adipokine variations in adolescent girls with anorexia nervosa.";"Low bone mass is a consequence of anorexia nervosa (AN). This study assessed the effects of energy deficiency on various bone and hormonal parameters. The interrelationships between energy deficiency and bone remodelling, glucose homeostasis and adipokines underscore the importance of preventing energy deficiency to limit demineralisation and hormonal alterations in AN patients.INTRODUCTION: Low areal bone mineral density (aBMD) is a well-known consequence of AN. However, the impact of reduced energy expenditure on bone metabolism is unknown. This study assessed the effects of energy deficiency on bone remodelling and its potential interactions with glucose homeostasis and adipose tissue-derived hormones in AN, a clinical model for reduced energy expenditure.METHODS: Fifty women with AN and 50 age-matched controls (mean age 18.1 ± 2.7 and 18.0 ± 2.1 years, respectively) were enrolled. aBMD was determined with DXA. Resting energy expenditure (REEm), a marker of energy status, was indirectly assessed by calorimetry. Bone turnover markers, undercarboxylated osteocalcin (ucOC), parameters of glucose homeostasis, adipokines and growth factors were concomitantly evaluated.RESULTS: AN patients presented low aBMD at all bone sites. REEm, bone formation markers, ucOC, glucose, insulin, HOMA-IR, leptin and IGF-1 were significantly reduced, whereas the bone resorption marker, leptin receptor (sOB-R) and adiponectin were elevated in AN compared with CON. In AN patients, REEm was positively correlated with weight, BMI, whole body (WB) fat mass, WB fat-free soft tissue, markers of bone formation, glucose, insulin, HOMA-IR, leptin and IGF-1 and negatively correlated with the bone resorption marker and sOB-R. Biological parameters, aBMD excepted, appeared more affected by the weight variation in the last 6 months than by the disease duration.CONCLUSIONS: The strong interrelationships between REEm and bone remodelling, glucose homeostasis and adipokines underscore the importance of preventing energy deficiency to limit short- and long-term bone demineralisation and hormonal alterations in AN patients."
"26244386";"UMI";"UMI";"AIDS (London, England)";0;2015;"Resistance detected by pyrosequencing following zidovudine monotherapy for prevention of HIV-1 mother-to-child-transmission.";"To prevent mother-to-child-transmission of HIV-1, the 2010 WHO guidelines recommended prenatal zidovudine (ZDV) monotherapy (option A). To determine if ZDV monotherapy selects for HIV resistance in antiretroviral-naive women during pregnancy, specimens from 50 individuals were examined using pyrosequencing. ZDV-resistance mutations were detected at delivery in seven women (14%, 95% confidence interval 6.6-26.5%). These data raise the question whether women administered ZDV monotherapy for prevention of mother-to-child-transmission could have higher risk of virologic failure when later started on combination antiretroviral therapy, as has been demonstrated following single-dose nevirapine prophylaxis."
