Rank,Full Journal Title,Total Cites,,Journal Impact Factor,Eigenfactor Score,,
1,CA-A CANCER JOURNAL FOR CLINICIANS,"18,594",,115.840,0.062770,,
2,NEW ENGLAND JOURNAL OF MEDICINE,"268,652",,55.873,0.677240,,
3,CHEMICAL REVIEWS,"137,600",,46.568,0.224630,,
4,LANCET,"185,361",,45.217,0.395960,,
5,NATURE REVIEWS DRUG DISCOVERY,"23,811",,41.908,0.060240,,
6,NATURE BIOTECHNOLOGY,"45,986",,41.514,0.149440,,
7,NATURE,"617,363",,41.456,1.501400,,
8,Annual Review of Immunology,"16,750",,39.327,0.045650,,
9,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"35,928",,37.806,0.112640,,
10,NATURE REVIEWS CANCER,"39,868",,37.400,0.100280,,
11,NATURE REVIEWS GENETICS,"29,388",,36.978,0.117050,,
12,NATURE MATERIALS,"64,622",,36.503,0.197870,,
13,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"126,479",,35.289,0.261130,,
14,NATURE REVIEWS IMMUNOLOGY,"28,938",,34.985,0.095100,,
15,Nature Nanotechnology,"34,387",,34.048,0.152990,,
16,SCIENCE,"557,558",,33.611,1.224190,,
17,CHEMICAL SOCIETY REVIEWS,"81,907",,33.383,0.253000,,
18,Annual Review of Astronomy and Astrophysics,"8,462",,33.346,0.025420,,
19,Nature Photonics,"23,499",,32.386,0.129610,,
20,CELL,"201,108",,32.242,0.578150,,
21,NATURE METHODS,"32,342",,32.072,0.173120,,
22,NATURE REVIEWS NEUROSCIENCE,"32,989",,31.427,0.083020,,
23,Annual Review of Biochemistry,"19,927",,30.283,0.044010,,
24,REVIEWS OF MODERN PHYSICS,"39,402",,29.604,0.123890,,
25,NATURE GENETICS,"85,481",,29.352,0.258360,,
26,PROGRESS IN MATERIALS SCIENCE,"8,475",,27.417,0.015580,,
27,NATURE MEDICINE,"62,572",,27.363,0.163220,,
28,PHYSIOLOGICAL REVIEWS,"24,528",,27.324,0.038340,,
29,PROGRESS IN POLYMER SCIENCE,"19,454",,26.932,0.031630,,
30,Nature Chemistry,"16,973",,25.325,0.094940,,
31,LANCET ONCOLOGY,"24,861",,24.690,0.101870,,
32,NATURE REVIEWS MICROBIOLOGY,"18,866",,23.574,0.062590,,
33,CANCER CELL,"27,283",,23.523,0.106990,,
34,Annual Review of Plant Biology,"16,494",,23.300,0.022460,,
35,LANCET INFECTIOUS DISEASES,"13,161",,22.433,0.048830,,
36,ACCOUNTS OF CHEMICAL RESEARCH,"53,349",,22.323,0.114660,,
37,Cell Stem Cell,"17,720",,22.268,0.102670,,
38,TRENDS IN COGNITIVE SCIENCES,"20,396",,21.965,0.045930,,
38,TRENDS IN COGNITIVE SCIENCES,"20,396",,21.965,0.045930,,
40,LANCET NEUROLOGY,"19,384",,21.896,0.068670,,
41,Annual Review of Psychology,"13,101",,21.810,0.023150,,
41,Annual Review of Psychology,"13,101",,21.810,0.023150,,
43,IMMUNITY,"37,232",,21.561,0.146600,,
44,ENDOCRINE REVIEWS,"13,143",,21.059,0.016130,,
45,ADVANCES IN PHYSICS,"5,095",,20.833,0.008300,,
46,BEHAVIORAL AND BRAIN SCIENCES,"7,562",,20.771,0.011060,,
46,BEHAVIORAL AND BRAIN SCIENCES,"7,562",,20.771,0.011060,,
48,Energy & Environmental Science,"36,159",,20.523,0.126660,,
49,Nature Physics,"21,732",,20.147,0.153780,,
50,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"22,152",,20.033,0.034870,,
51,NATURE IMMUNOLOGY,"35,403",,20.004,0.135530,,
52,NATURE CELL BIOLOGY,"35,734",,19.679,0.125560,,
53,Cancer Discovery,"4,605",,19.453,0.031510,,
54,Annual Review of Neuroscience,"13,226",,19.320,0.024280,,
55,Living Reviews in Relativity,"1,838",,19.250,0.006310,,
56,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"6,443",,19.220,0.011770,,
57,Annual Review of Pathology-Mechanisms of Disease,"3,122",,18.750,0.013340,,
58,Annual Review of Physiology,"8,693",,18.510,0.016870,,
59,JOURNAL OF CLINICAL ONCOLOGY,"133,258",,18.428,0.347400,,
60,Annual Review of Pharmacology and Toxicology,"7,561",,18.365,0.011700,,
61,ANNALS OF INTERNAL MEDICINE,"48,356",,17.810,0.106260,,
62,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,209",,17.737,0.006840,,
63,Living Reviews in Solar Physics,840,,17.636,0.006050,,
64,Cell Metabolism,"18,502",,17.565,0.079340,,
65,ADVANCED MATERIALS,"128,805",,17.493,0.300070,,
66,BMJ-British Medical Journal,"89,031",,17.445,0.169400,,
67,CLINICAL MICROBIOLOGY REVIEWS,"13,982",,17.406,0.020150,,
68,ARCHIVES OF INTERNAL MEDICINE,"38,021",,17.333,0.066880,,
69,PHARMACOLOGICAL REVIEWS,"11,630",,17.099,0.017280,,
70,ALDRICHIMICA ACTA,"1,097",,17.083,0.002310,,
71,REPORTS ON PROGRESS IN PHYSICS,"12,463",,17.062,0.036780,,
72,Advances in Anatomy Embryology and Cell Biology,424,,17.000,0.000440,,
73,Annual Review of Physical Chemistry,"7,749",,16.842,0.014120,,
74,Psychological Science in the Public Interest,685,,16.833,0.002590,,
75,GASTROENTEROLOGY,"66,614",,16.716,0.138450,,
76,Annual Review of Cell and Developmental Biology,"9,301",,16.660,0.023610,,
77,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"80,926",,16.503,0.213120,,
78,TRENDS IN ECOLOGY & EVOLUTION,"28,654",,16.196,0.053260,,
79,Advanced Energy Materials,"10,129",,16.146,0.037580,,
80,NATURE NEUROSCIENCE,"50,204",,16.095,0.155220,,
81,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"2,767",,16.091,0.004270,,
82,Science Translational Medicine,"13,031",,15.843,0.091840,,
83,EUROPEAN HEART JOURNAL SUPPLEMENTS,977,,15.800,0.001960,,
84,Annual Review of Genetics,"7,474",,15.724,0.020600,,
85,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"5,625",,15.500,0.007320,,
86,Annual Review of Biophysics,"2,329",,15.436,0.014230,,
87,Nature Reviews Neurology,"4,264",,15.358,0.024320,,
88,EUROPEAN HEART JOURNAL,"38,544",,15.203,0.125090,,
89,NEURON,"77,446",,15.054,0.223640,,
90,ADVANCED DRUG DELIVERY REVIEWS,"27,077",,15.038,0.040330,,
91,Nano Today,"4,770",,15.000,0.016270,,
92,REVIEWS OF GEOPHYSICS,"7,707",,14.800,0.011900,,
93,Annual Review of Condensed Matter Physics,"1,159",,14.786,0.010980,,
94,SURFACE SCIENCE REPORTS,"4,495",,14.765,0.004870,,
95,PSYCHOLOGICAL BULLETIN,"36,794",,14.756,0.032090,,
95,PSYCHOLOGICAL BULLETIN,"36,794",,14.756,0.032090,,
97,GUT,"34,911",,14.660,0.062260,,
98,GENOME RESEARCH,"33,977",,14.630,0.138690,,
99,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"9,777",,14.611,0.014470,,
100,Light-Science & Applications,"1,042",,14.603,0.004490,,
101,Nature Climate Change,"5,415",,14.547,0.037620,,
101,Nature Climate Change,"5,415",,14.547,0.037620,,
