"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"25559105";"DNase-Seq";"DNase-Seq";"Curr Protoc Mol Biol";2;2015;"ATAC-seq: A Method for Assaying Chromatin Accessibility Genome-Wide.";"This unit describes Assay for Transposase-Accessible Chromatin with high-throughput sequencing (ATAC-seq), a method for mapping chromatin accessibility genome-wide. This method probes DNA accessibility with hyperactive Tn5 transposase, which inserts sequencing adapters into accessible regions of chromatin. Sequencing reads can then be used to infer regions of increased accessibility, as well as to map regions of transcription-factor binding and nucleosome position. The method is a fast and sensitive alternative to DNase-seq for assaying chromatin accessibility genome-wide, or to MNase-seq for assaying nucleosome positions in accessible regions of the genome. © 2015 by John Wiley &amp; Sons, Inc."
"26210163";"DNase-Seq";"DNase-Seq";"BMC Med Genomics";0;2015;"Removing reference mapping biases using limited or no genotype data identifies allelic differences in protein binding at disease-associated loci.";"BACKGROUND: Genetic variation can alter transcriptional regulatory activity contributing to variation in complex traits and risk of disease, but identifying individual variants that affect regulatory activity has been challenging. Quantitative sequence-based experiments such as ChIP-seq and DNase-seq can detect sites of allelic imbalance where alleles contribute disproportionately to the overall signal suggesting allelic differences in regulatory activity.METHODS: We created an allelic imbalance detection pipeline, AA-ALIGNER, to remove reference mapping biases influencing allelic imbalance detection and evaluate accuracy of allelic imbalance predictions in the absence of complete genotype data. Using the sequence aligner, GSNAP, and varying amounts of genotype information to remove mapping biases we investigated the accuracy of allelic imbalance detection (binomial test) in CREB1 ChIP-seq reads from the GM12878 cell line. Additionally we thoroughly evaluated the influence of experimental and analytical parameters on imbalance detection.RESULTS: Compared to imbalances identified using complete genotypes, using imputed partial sample genotypes, AA-ALIGNER detected &gt;95 % of imbalances with &gt;90 % accuracy. AA-ALIGNER performed nearly as well using common variants when genotypes were unknown. In contrast, predicting additional heterozygous sites and imbalances using the sequence data led to &gt;50 % false positive rates. We evaluated effects of experimental data characteristics and key analytical parameter settings on imbalance detection. Overall, total base coverage and signal dispersion across the genome most affected our ability to detect imbalances, while parameters such as imbalance significance, imputation quality thresholds, and alignment mismatches had little effect. To assess the biological relevance of imbalance predictions, we used electrophoretic mobility shift assays to functionally test for predicted allelic differences in CREB1 binding in the GM12878 lymphoblast cell line. Six of nine tested variants exhibited allelic differences in binding. Two of these variants, rs2382818 and rs713875, are located within inflammatory bowel disease-associated loci.CONCLUSIONS: AA-ALIGNER accurately detects allelic imbalance in quantitative sequence data using partial genotypes or common variants filling a critical methodological gap in these analyses, as full genotypes are rarely available. Importantly, we demonstrate how experimental and analytical features impact imbalance detection providing guidance for similar future studies."
"26087618";"DNase-Seq";"DNase-Seq";"Genetika";0;2015;"[Regulatory Genomics: Integrated Experimental and Computer Approaches].";"The review describes integrated experimental and computer approaches to the investigation of the mechanisms of transcriptional regulation of the organization of eukaryotic genes and transcription regulatory regions. These include (a) an analysis of the factors affecting the affinity of TBP (TATA-binding protein) for the TATA box; (b) research on the patterns of chromatin mark distributions and their role in the regulation of gene expression; (c) a study of 3D chromatin organization; (d) an estimation of the effects of polymorphisms on gene expression via high-resolution Chip-seq and DNase-seq techniques. It was demonstrated that integrated experimental and computer approaches are very important for the current understanding of transcription regulatory mechanisms and the structural and functional organization of the regulatory regions controlling transcription."
"26079656";"DNase-Seq";"DNase-Seq";"Genomics";0;2015;"Discovering enhancers by mapping chromatin features in primary tissue.";"Enhancers work with promoters to refine the timing, location, and level of gene expression. As they perform these functions, active enhancers generate a chromatin environment that is distinct from other areas of the genome. Therefore, profiling enhancer-associated chromatin features can produce genome-wide maps of potential regulatory elements. This review focuses on current technologies used to produce maps of potential tissue-specific enhancers by profiling chromatin from primary tissue. First, cells are separated from whole organisms either by affinity purification, automated cell sorting, or microdissection. Isolating the tissue prior to analysis ensures that the molecular signature of active enhancers will not become lost in an averaged signal from unrelated cell types. After cell isolation, the molecular feature that is profiled will depend on the abundance and quality of the harvested material. The combination of tissue isolation plus genome-wide chromatin profiling has successfully identified enhancers in several pioneering studies. In the future, the regulatory apparatus of healthy and diseased tissues will be explored in this manner, as researchers use the combined techniques to gain insight into how active enhancers may influence disease progression."
"26038153";"DNase-Seq";"DNase-Seq";"Crit Rev Biochem Mol Biol";0;2015;"Protein-DNA binding in high-resolution.";"Recent advances in experimental and computational methodologies are enabling ultra-high resolution genome-wide profiles of protein-DNA binding events. For example, the ChIP-exo protocol precisely characterizes protein-DNA cross-linking patterns by combining chromatin immunoprecipitation (ChIP) with 5' → 3' exonuclease digestion. Similarly, deeply sequenced chromatin accessibility assays (e.g. DNase-seq and ATAC-seq) enable the detection of protected footprints at protein-DNA binding sites. With these techniques and others, we have the potential to characterize the individual nucleotides that interact with transcription factors, nucleosomes, RNA polymerases and other regulatory proteins in a particular cellular context. In this review, we explain the experimental assays and computational analysis methods that enable high-resolution profiling of protein-DNA binding events. We discuss the challenges and opportunities associated with such approaches."
"26025803";"DNase-Seq";"DNase-Seq";"Genome Res";0;2015;"Genome-wide specificity of DNA binding, gene regulation, and chromatin remodeling by TALE- and CRISPR/Cas9-based transcriptional activators.";"Genome engineering technologies based on the CRISPR/Cas9 and TALE systems are enabling new approaches in science and biotechnology. However, the specificity of these tools in complex genomes and the role of chromatin structure in determining DNA binding are not well understood. We analyzed the genome-wide effects of TALE- and CRISPR-based transcriptional activators in human cells using ChIP-seq to assess DNA-binding specificity and RNA-seq to measure the specificity of perturbing the transcriptome. Additionally, DNase-seq was used to assess genome-wide chromatin remodeling that occurs as a result of their action. Our results show that these transcription factors are highly specific in both DNA binding and gene regulation and are able to open targeted regions of closed chromatin independent of gene activation. Collectively, these results underscore the potential for these technologies to make precise changes to gene expression for gene and cell therapies or fundamental studies of gene function."
"25972927";"DNase-Seq";"DNase-Seq";"Epigenetics Chromatin";0;2015;"DNase I hypersensitivity analysis of the mouse brain and retina identifies region-specific regulatory elements.";"BACKGROUND: The brain, spinal cord, and neural retina comprise the central nervous system (CNS) of vertebrates. Understanding the regulatory mechanisms that underlie the enormous cell-type diversity of the CNS is a significant challenge. Whole-genome mapping of DNase I-hypersensitive sites (DHSs) has been used to identify cis-regulatory elements in many tissues. We have applied this approach to the mouse CNS, including developing and mature neural retina, whole brain, and two well-characterized brain regions, the cerebellum and the cerebral cortex.RESULTS: For the various regions and developmental stages of the CNS that we analyzed, there were approximately the same number of DHSs; however, there were many DHSs unique to each CNS region and developmental stage. Many of the DHSs are likely to mark enhancers that are specific to the specific CNS region and developmental stage. We validated the DNase I mapping approach for identification of CNS enhancers using the existing VISTA Browser database and with in vivo and in vitro electroporation of the retina. Analysis of transcription factor consensus sites within the DHSs shows distinct region-specific profiles of transcriptional regulators particular to each region. Clustering developmentally dynamic DHSs in the retina revealed enrichment of developmental stage-specific transcriptional regulators. Additionally, we found reporter gene activity in the retina driven from several previously uncharacterized regulatory elements surrounding the neurodevelopmental gene Otx2. Identification of DHSs shared between mouse and human showed region-specific differences in the evolution of cis-regulatory elements.CONCLUSIONS: Overall, our results demonstrate the potential of genome-wide DNase I mapping to cis-regulatory questions regarding the regional diversity within the CNS. These data represent an extensive catalogue of potential cis-regulatory elements within the CNS that display region and temporal specificity, as well as a set of DHSs common to CNS tissues. Further examination of evolutionary conservation of DHSs between CNS regions and different species may reveal important cis-regulatory elements in the evolution of the mammalian CNS."
"25957350";"DNase-Seq";"DNase-Seq";"Bioinformatics";0;2015;"BinDNase: a discriminatory approach for transcription factor binding prediction using DNase I hypersensitivity data.";"MOTIVATION: Transcription factors (TFs) are a class of DNA-binding proteins that have a central role in regulating gene expression. To reveal mechanisms of transcriptional regulation, a number of computational tools have been proposed for predicting TF-DNA interaction sites. Recent studies have shown that genome-wide sequencing data on open chromatin sites from a DNase I hypersensitivity experiments (DNase-seq) has a great potential to map putative binding sites of all transcription factors in a single experiment. Thus, computational methods for analysing DNase-seq to accurately map TF-DNA interaction sites are highly needed.RESULTS: Here, we introduce a novel discriminative algorithm, BinDNase, for predicting TF-DNA interaction sites using DNase-seq data. BinDNase implements an efficient method for selecting and extracting informative features from DNase I signal for each TF, either at single nucleotide resolution or for larger regions. The method is applied to 57 transcription factors in cell line K562 and 31 transcription factors in cell line HepG2 using data from the ENCODE project. First, we show that BinDNase compares favourably to other supervised and unsupervised methods developed for TF-DNA interaction prediction using DNase-seq data. We demonstrate the importance to model each TF with a separate prediction model, reflecting TF-specific DNA accessibility around the TF-DNA interaction site. We also show that a highly standardised DNase-seq data (pre)processing is a requisite for accurate TF binding predictions and that sequencing depth has on average only a moderate effect on prediction accuracy. Finally, BinDNase's binding predictions generalise to other cell types, thus making BinDNase a versatile tool for accurate TF binding prediction.AVAILABILITY AND IMPLEMENTATION: R implementation of the algorithm is available in: http://research.ics.aalto.fi/csb/software/bindnase/.CONTACT: juhani.kahara@aalto.fiSupplementary information: Supplemental data are available at Bioinformatics online."
"25916672";"DNase-Seq";"DNase-Seq";"Nat Commun";0;2015;"Transcriptional activation by the thyroid hormone receptor through ligand-dependent receptor recruitment and chromatin remodelling.";"A bimodal switch model is widely used to describe transcriptional regulation by the thyroid hormone receptor (TR). In this model, the unliganded TR forms stable, chromatin-bound complexes with transcriptional co-repressors to repress transcription. Binding of hormone dissociates co-repressors and facilitates recruitment of co-activators to activate transcription. Here we show that in addition to hormone-independent TR occupancy, ChIP-seq against endogenous TR in mouse liver tissue demonstrates considerable hormone-induced TR recruitment to chromatin associated with chromatin remodelling and activated gene transcription. Genome-wide footprinting analysis using DNase-seq provides little evidence for TR footprints both in the absence and presence of hormone, suggesting that unliganded TR engagement with repressive complexes on chromatin is, similar to activating receptor complexes, a highly dynamic process. This dynamic and ligand-dependent interaction with chromatin is likely shared by all steroid hormone receptors regardless of their capacity to repress transcription in the absence of ligand."
"25849986";"DNase-Seq";"DNase-Seq";"Nat Neurosci";0;2015;"Regulation of chromatin accessibility and Zic binding at enhancers in the developing cerebellum.";"To identify chromatin mechanisms of neuronal differentiation, we characterized chromatin accessibility and gene expression in cerebellar granule neurons (CGNs) of the developing mouse. We used DNase-seq to map accessibility of cis-regulatory elements and RNA-seq to profile transcript abundance across postnatal stages of neuronal differentiation in vivo and in culture. We observed thousands of chromatin accessibility changes as CGNs differentiated, and verified, using H3K27ac ChIP-seq, reporter gene assays and CRISPR-mediated activation, that many of these regions function as neuronal enhancers. Motif discovery in differentially accessible chromatin regions suggested a previously unknown role for the Zic family of transcription factors in CGN maturation. We confirmed the association of Zic with these elements by ChIP-seq and found, using knockdown, that Zic1 and Zic2 are required for coordinating mature neuronal gene expression patterns. Together, our data reveal chromatin dynamics at thousands of gene regulatory elements that facilitate the gene expression patterns necessary for neuronal differentiation and function."
