"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"26122179";"MALBAC";"MALBAC";"Sci Rep";0;2015;"Whole genome amplification with SurePlex results in better copy number alteration detection using sequencing data compared to the MALBAC method.";"Current whole genome amplification (WGA) methods lead to amplification bias resulting in over- and under-represented regions in the genome. Nevertheless, certain WGA methods, such as SurePlex and subsequent arrayCGH analysis, make it possible to detect copy number alterations (CNAs) at a 10 Mb resolution. A more uniform WGA combined with massive parallel sequencing (MPS), however, could allow detection at higher resolution and lower cost. Recently, MALBAC, a new WGA method, claims unparalleled performance. Here, we compared the well-established SurePlex and MALBAC WGA for their ability to detect CNAs in MPS generated data and, in addition, compared PCR-free MPS library preparation with the standard enrichment PCR library preparation. Results showed that SurePlex amplification led to more uniformity across the genome, allowing for a better CNA detection with less false positives compared to MALBAC amplified samples. An even more uniform coverage was observed in samples following a PCR-free library preparation. In general, the combination of SurePlex and MPS led to the same chromosomal profile compared to a reference arrayCGH from unamplified genomic DNA, underlining the large potential of MPS techniques in CNA detection from a limited number of DNA material."
"26091148";"MALBAC";"MALBAC";"Sci Rep";0;2015;"Quantitative assessment of single-cell whole genome amplification methods for detecting copy number variation using hippocampal neurons.";"Single-cell genomic analysis has grown rapidly in recent years and finds widespread applications in various fields of biology, including cancer biology, development, immunology, pre-implantation genetic diagnosis, and neurobiology. To date, the amplification bias, amplification uniformity and reproducibility of the three major single cell whole genome amplification methods (GenomePlex WGA4, MDA and MALBAC) have not been systematically investigated using mammalian cells. In this study, we amplified genomic DNA from individual hippocampal neurons using three single-cell DNA amplification methods, and sequenced them at shallow depth. We then systematically evaluated the GC-bias, reproducibility, and copy number variations among individual neurons. Our results showed that single-cell genome sequencing results obtained from the MALBAC and WGA4 methods are highly reproducible and have a high success rate. The MALBAC displays significant biases towards high GC content. We then attempted to correct the GC bias issue by developing a bioinformatics pipeline, which allows us to call CNVs in single cell sequencing data, and chromosome level and sub-chromosomal level CNVs among individual neurons can be detected. We also proposed a metric to determine the CNV detection limits. Overall, MALBAC and WGA4 have better performance than MDA in detecting CNVs."
"26077818";"MALBAC";"MALBAC";"Annu Rev Genomics Hum Genet";0;2015;"Single-Cell Whole-Genome Amplification and Sequencing: Methodology and Applications.";"We present a survey of single-cell whole-genome amplification (WGA) methods, including degenerate oligonucleotide-primed polymerase chain reaction (DOP-PCR), multiple displacement amplification (MDA), and multiple annealing and looping-based amplification cycles (MALBAC). The key parameters to characterize the performance of these methods are defined, including genome coverage, uniformity, reproducibility, unmappable rates, chimera rates, allele dropout rates, false positive rates for calling single-nucleotide variations, and ability to call copy-number variations. Using these parameters, we compare five commercial WGA kits by performing deep sequencing of multiple single cells. We also discuss several major applications of single-cell genomics, including studies of whole-genome de novo mutation rates, the early evolution of cancer genomes, circulating tumor cells (CTCs), meiotic recombination of germ cells, preimplantation genetic diagnosis (PGD), and preimplantation genomic screening (PGS) for in vitro-fertilized embryos. Expected final online publication date for the Annual Review of Genomics and Human Genetics Volume 16 is August 31, 2015. Please see http://www.annualreviews.org/catalog/pubdates.aspx for revised estimates."
"25953353";"MALBAC";"MALBAC";"J Genet Genomics";0;2015;"The Performance of Whole Genome Amplification Methods and Next-Generation Sequencing for Pre-Implantation Genetic Diagnosis of Chromosomal Abnormalities.";"Reliable and accurate pre-implantation genetic diagnosis (PGD) of patient's embryos by next-generation sequencing (NGS) is dependent on efficient whole genome amplification (WGA) of a representative biopsy sample. However, the performance of the current state of the art WGA methods has not been evaluated for sequencing. Using low template DNA (15 pg) and single cells, we showed that the two PCR-based WGA systems SurePlex and MALBAC are superior to the REPLI-g WGA multiple displacement amplification (MDA) system in terms of consistent and reproducible genome coverage and sequence bias across the 24 chromosomes, allowing better normalization of test to reference sequencing data. When copy number variation sequencing (CNV-Seq) was applied to single cell WGA products derived by either SurePlex or MALBAC amplification, we showed that known disease CNVs in the range of 3-15 Mb could be reliably and accurately detected at the correct genomic positions. These findings indicate that our CNV-Seq pipeline incorporating either SurePlex or MALBAC as the key initial WGA step is a powerful methodology for clinical PGD to identify euploid embryos in a patient's cohort for uterine transplantation."
"25879913";"MALBAC";"MALBAC";"Nat Commun";0;2015;"Calibrating genomic and allelic coverage bias in single-cell sequencing.";"Artifacts introduced in whole-genome amplification (WGA) make it difficult to derive accurate genomic information from single-cell genomes and require different analytical strategies from bulk genome analysis. Here, we describe statistical methods to quantitatively assess the amplification bias resulting from whole-genome amplification of single-cell genomic DNA. Analysis of single-cell DNA libraries generated by different technologies revealed universal features of the genome coverage bias predominantly generated at the amplicon level (1-10 kb). The magnitude of coverage bias can be accurately calibrated from low-pass sequencing (∼0.1 × ) to predict the depth-of-coverage yield of single-cell DNA libraries sequenced at arbitrary depths. We further provide a benchmark comparison of single-cell libraries generated by multi-strand displacement amplification (MDA) and multiple annealing and looping-based amplification cycles (MALBAC). Finally, we develop statistical models to calibrate allelic bias in single-cell whole-genome amplification and demonstrate a census-based strategy for efficient and accurate variant detection from low-input biopsy samples."
"25875279";"MALBAC";"MALBAC";"PLoS One";0;2015;"Correction: comparison of multiple displacement amplification (MDA) and multiple annealing and looping-based amplification cycles (MALBAC) in single-cell sequencing.";"[This corrects the article DOI: 10.1371/journal.pone.0114520.]."
"25822772";"MALBAC";"MALBAC";"PLoS One";0;2015;"Single cell transcriptome amplification with MALBAC.";"Recently, Multiple Annealing and Looping-Based Amplification Cycles (MALBAC) has been developed for whole genome amplification of an individual cell, relying on quasilinear instead of exponential amplification to achieve high coverage. Here we adapt MALBAC for single-cell transcriptome amplification, which gives consistently high detection efficiency, accuracy and reproducibility. With this newly developed technique, we successfully amplified and sequenced single cells from 3 germ layers from mouse embryos in the early gastrulation stage, and examined the epithelial-mesenchymal transition (EMT) program among cells in the mesoderm layer on a single-cell level."
"25136831";"MALBAC";"MALBAC";"PLoS One";6;2014;"A quantitative comparison of single-cell whole genome amplification methods.";"Single-cell sequencing is emerging as an important tool for studies of genomic heterogeneity. Whole genome amplification (WGA) is a key step in single-cell sequencing workflows and a multitude of methods have been introduced. Here, we compare three state-of-the-art methods on both bulk and single-cell samples of E. coli DNA: Multiple Displacement Amplification (MDA), Multiple Annealing and Looping Based Amplification Cycles (MALBAC), and the PicoPLEX single-cell WGA kit (NEB-WGA). We considered the effects of reaction gain on coverage uniformity, error rates and the level of background contamination. We compared the suitability of the different WGA methods for the detection of copy-number variations, for the detection of single-nucleotide polymorphisms and for de-novo genome assembly. No single method performed best across all criteria and significant differences in characteristics were observed; the choice of which amplifier to use will depend strongly on the details of the type of question being asked in any given experiment."
"25485707";"MALBAC";"MALBAC";"PLoS One";1;2014;"Comparison of multiple displacement amplification (MDA) and multiple annealing and looping-based amplification cycles (MALBAC) in single-cell sequencing.";"Single-cell sequencing promotes our understanding of the heterogeneity of cellular populations, including the haplotypes and genomic variability among different generation of cells. Whole-genome amplification is crucial to generate sufficient DNA fragments for single-cell sequencing projects. Using sequencing data from single sperms, we quantitatively compare two prevailing amplification methods that extensively applied in single-cell sequencing, multiple displacement amplification (MDA) and multiple annealing and looping-based amplification cycles (MALBAC). Our results show that MALBAC, as a combination of modified MDA and tweaked PCR, has a higher level of uniformity, specificity and reproducibility."
"25241375";"MALBAC";"MALBAC";"Fertil Steril";1;2014;"Validation of multiple annealing and looping-based amplification cycle sequencing for 24-chromosome aneuploidy screening of cleavage-stage embryos.";"OBJECTIVE: To validate multiple annealing and looping-based amplification cycle (MALBAC) sequencing for 24-chromosome aneuploidy screening of cleavage embryos and to explore the chromosomal characteristics of embryos at the cleavage stage.DESIGN: The 24-chromosome aneuploidy analyses of the blastomeres included comparative genomic hybridization (CGH), single nucleotide polymorphism (SNP), and MALBAC sequencing.SETTING: University-affiliated IVF center.PATIENT(S: Three couples who delivered babies from the same IVF cycle, which included 23 donated, frozen cleavage embryos.INTERVENTION(S: None.MAIN OUTCOME MEASURE(S: Three blastomeres were selected from each single embryo and subject to CGH, SNP, and MALBAC sequencing for 24-chromosome aneuploidy, respectively. The results of MALBAC sequencing were compared with the results of CGH and SNP. The chromosomal status and occurrence of the abnormal chromosomes were investigated. The relationship between the embryos' morphology and the euploid state was analyzed.RESULT(S: Among the 23 donated embryos, the MALBAC sequencing results of 18 (78.26%) embryos were identical to those of CGH or SNP, including 8 embryos that had identical results by all three techniques. In terms of euploidy, only 6 of these 23 embryos (26.09%) were diploid. Blastomere abnormality was observed in all autosomes and sex chromosomes. In addition, the frequency of abnormality was different for certain chromosomes.CONCLUSION(S: With sequencing at 0.04× genome depth, MALBAC sequencing has been validated as a satisfactory method for 24-chromosome aneuploidy screening. The proportion of abnormal chromosomes was high in cleavage-stage embryos, and any chromosome could be abnormal."
