"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"23593011";"MCIp";"MCIp";"PLoS Genet";13;2013;"Epigenetic upregulation of lncRNAs at 13q14.3 in leukemia is linked to the In Cis downregulation of a gene cluster that targets NF-kB.";"Non-coding RNAs are much more common than previously thought. However, for the vast majority of non-coding RNAs, the cellular function remains enigmatic. The two long non-coding RNA (lncRNA) genes DLEU1 and DLEU2 map to a critical region at chromosomal band 13q14.3 that is recurrently deleted in solid tumors and hematopoietic malignancies like chronic lymphocytic leukemia (CLL). While no point mutations have been found in the protein coding candidate genes at 13q14.3, they are deregulated in malignant cells, suggesting an epigenetic tumor suppressor mechanism. We therefore characterized the epigenetic makeup of 13q14.3 in CLL cells and found histone modifications by chromatin-immunoprecipitation (ChIP) that are associated with activated transcription and significant DNA-demethylation at the transcriptional start sites of DLEU1 and DLEU2 using 5 different semi-quantitative and quantitative methods (aPRIMES, BioCOBRA, MCIp, MassARRAY, and bisulfite sequencing). These epigenetic aberrations were correlated with transcriptional deregulation of the neighboring candidate tumor suppressor genes, suggesting a coregulation in cis of this gene cluster. We found that the 13q14.3 genes in addition to their previously known functions regulate NF-kB activity, which we could show after overexpression, siRNA-mediated knockdown, and dominant-negative mutant genes by using Western blots with previously undescribed antibodies, by a customized ELISA as well as by reporter assays. In addition, we performed an unbiased screen of 810 human miRNAs and identified the miR-15/16 family of genes at 13q14.3 as the strongest inducers of NF-kB activity. In summary, the tumor suppressor mechanism at 13q14.3 is a cluster of genes controlled by two lncRNA genes that are regulated by DNA-methylation and histone modifications and whose members all regulate NF-kB. Therefore, the tumor suppressor mechanism in 13q14.3 underlines the role both of epigenetic aberrations and of lncRNA genes in human tumorigenesis and is an example of colocalization of a functionally related gene cluster."
"23296965";"MCIp";"MCIp";"Methods Mol Biol";7;2013;"Enrichment of methylated DNA by methyl-CpG immunoprecipitation.";"Normal DNA methylation is an epigenetic modification required for proper development. Aberrant DNA methylation, in contrast, is frequently observed in many different malignancies including leukemias and lymphomas. Global DNA methylation profiling addresses the methylated sequences (methylome) of patient genomes to identify disease-specific methylation patterns. Workload in methylome analyses can be considerably reduced by methylome enrichment using proteins or antibodies with high affinity to methylated DNA. Methyl-CpG Immunoprecipitation (MCIp) employs an immobilized recombinant human methyl-CpG binding domain protein 2, MBD2, which binds methylated CpGs in double-stranded DNA. Elution with increasing salt concentrations allows the fractionated enrichment of different degrees of methylation."
"24002901";"MCIp";"MCIp";"Hepatology";4;2013;"Global alterations of DNA methylation in cholangiocarcinoma target the Wnt signaling pathway.";"The molecular mechanisms underlying the genesis of cholangiocarcinomas (CCs) are poorly understood. Epigenetic changes such as aberrant hypermethylation and subsequent atypical gene expression are characteristic features of most human cancers. In CC, data regarding global methylation changes are lacking so far. We performed a genome-wide analysis for aberrant promoter methylation in human CCs. We profiled 10 intrahepatic and 8 extrahepatic CCs in comparison to non-neoplastic biliary tissue specimens, using methyl-CpG immunoprecipitation (MCIp) combined with whole-genome CpG island arrays. DNA methylation was confirmed by quantitative mass spectrometric analysis and functional relevance of promoter hypermethylation was shown in demethylation experiments of two CC cell lines using 5-aza-2'deoxycytidine (DAC) treatment. Immunohistochemical staining of tissue microarrays (TMAs) from 223 biliary tract cancers (BTCs) was used to analyze candidate gene expression at the protein level. Differentially methylated, promoter-associated regions were nonrandomly distributed and enriched for genes involved in cancer-related pathways including Wnt, transforming growth factor beta (TGF-β), and PI3K signaling pathways. In CC cell lines, silencing of genes involved in Wnt signaling, such as SOX17, WNT3A, DKK2, SFRP1, SFRP2, and SFRP4 was reversed after DAC administration. Candidate protein SFRP2 was substantially down-regulated in neoplastic tissues of all BTC subtypes as compared to normal tissues. A significant inverse correlation of SFRP2 protein expression and pT status was found in BTC patients.</AbstractText>: The molecular mechanisms underlying the genesis of cholangiocarcinomas (CCs) are poorly understood. Epigenetic changes such as aberrant hypermethylation and subsequent atypical gene expression are characteristic features of most human cancers. In CC, data regarding global methylation changes are lacking so far. We performed a genome-wide analysis for aberrant promoter methylation in human CCs. We profiled 10 intrahepatic and 8 extrahepatic CCs in comparison to non-neoplastic biliary tissue specimens, using methyl-CpG immunoprecipitation (MCIp) combined with whole-genome CpG island arrays. DNA methylation was confirmed by quantitative mass spectrometric analysis and functional relevance of promoter hypermethylation was shown in demethylation experiments of two CC cell lines using 5-aza-2'deoxycytidine (DAC) treatment. Immunohistochemical staining of tissue microarrays (TMAs) from 223 biliary tract cancers (BTCs) was used to analyze candidate gene expression at the protein level. Differentially methylated, promoter-associated regions were nonrandomly distributed and enriched for genes involved in cancer-related pathways including Wnt, transforming growth factor beta (TGF-β), and PI3K signaling pathways. In CC cell lines, silencing of genes involved in Wnt signaling, such as SOX17, WNT3A, DKK2, SFRP1, SFRP2, and SFRP4 was reversed after DAC administration. Candidate protein SFRP2 was substantially down-regulated in neoplastic tissues of all BTC subtypes as compared to normal tissues. A significant inverse correlation of SFRP2 protein expression and pT status was found in BTC patients.CONCLUSION: We provide a comprehensive analysis to define the genome-wide methylation landscape of human CC. Several candidate genes of cancer-relevant signaling pathways were identified, and closer analysis of selected Wnt pathway genes confirmed the relevance of this pathway in CC. The presented global methylation data are the basis for future studies on epigenetic changes in cholangiocarcinogenesis."
"22930747";"MCIp";"MCIp";"FASEB J";12;2012;"Genome-wide methylation screen in low-grade breast cancer identifies novel epigenetically altered genes as potential biomarkers for tumor diagnosis.";"Aberrant DNA methylation constitutes a well-established epigenetic marker for breast cancer. Changes in methylation early in cancer development may be clinically relevant for cancer detection and prognosis-based therapeutic decisions. In the present study, a combination of methyl-CpG immunoprecipitation (MCIp) and human CpG island (CGI) arrays was applied to compare genome-wide DNA methylation profiles in 10 low-grade in situ and invasive breast cancers against 10 normal breast samples. In total, 214 CGIs were found to be hypermethylated in ≥6 of 10 tumors. Functional term enrichment analyses revealed an overrepresentation of homeobox genes and genes involved in transcription and regulation of transcription. Significant hypermethylation of 11 selected genes in tumor vs. normal tissue was validated in two independent sample sets (45 tumors and 11 controls, 43 tumors and 8 controls) using quantitative EpiTyper technology. In tumors, median methylation levels of BCAN, HOXD1, KCTD8, KLF11, NXPH1, POU4F1, SIM1, and TCF7L1 were ≥30% higher than in normal samples, representing potential biomarkers for tumor diagnosis. Using the 90th percentile of methylation levels in normal tissue as cutoff value, 62-92% of in situ samples (n=13), 72-97% of invasive samples from the first validation set (n=32), and 86-100% of invasive samples from the second validation set (n=43) were classified as hypermethylated. Hypermethylation of KLF11 and SIM1 might also be associated with increased risk of developing metastases. In summary, early methylation changes are frequent in the low-grade pathway of breast cancer and may be useful in the development of differential diagnostic and possibly also prognostic markers."
"22246884";"MCIp";"MCIp";"Muscle Nerve";6;2012;"p38γ activity is required for maintenance of slow skeletal muscle size.";"INTRODUCTION: p38γ kinase is highly enriched in skeletal muscle and is implicated in myotube formation. However, the activation status of p38γ in muscle is unclear.METHODS: p38γ activity in slow and fast adult mouse skeletal muscle tissue was examined, as was the impact of p38γ deficiency on muscle development and gene expression.RESULTS: p38γ is preferentially activated in slow muscle, but it is inactive in fast muscle types. Furthermore, the loss of p38γ in mice led to decreased muscle mass associated with a smaller myofiber diameter in slow muscle, but there was no impact on fast muscle in either mass or myofiber diameter. Finally, p38γ-deficient muscle showed selective changes in genes related to muscle growth in slow muscle fibers.CONCLUSION: This study provides evidence that p38γ is selectively activated in slow skeletal muscle and is involved in the normal growth and development of a subset of skeletal muscle."
"22989481";"MCIp";"MCIp";"J Steroid Biochem Mol Biol";5;2012;"Liganded vitamin D receptor displays anti-hypertrophic activity in the murine heart.";"Vitamin D and its analogs have been suggested to have palliative effects in the cardiovascular system. We have examined the effects of co-administration of the vitamin D receptor agonist, paricalcitol, on the hypertension, cardiac hypertrophy and interstitial fibrosis produced by chronic angiotensin II (AII) infusion. Administration of AII (800ng/kg/min) over a 14-day period resulted in increased blood pressure, myocyte hypertrophy, activation of the hypertrophic fetal gene program (atrial natriuretic peptide, B-type natriuretic peptide and alpha skeletal actin gene expression), increased expression of the pro-hypertrophic modulatory calcineurin inhibitor protein 1 (MCIP 1), and increased fibrosis with augmented procollagen 1 and 3 gene expression. In each case co-administration of paricalcitol (300ng/kg intraperitoneally every 48h) at least partially reversed the AII-dependent effect. These studies demonstrate that the liganded vitamin D receptor possesses potent anti-hypertrophic activity in this non-renin-dependent model of cardiac hypertrophy. The anti-hypertrophic activity appears to be at least partially intrinsic to the cardiac myocyte and may involve suppression of the MCIP 1 protein. This article is part of a Special Issue entitled 'Vitamin D Workshop'."
"23145152";"MCIp";"MCIp";"PLoS One";1;2012;"Bioinformatic analysis of epigenetic and microRNA mediated regulation of drought responsive genes in rice.";"Drought stress response is a complex trait regulated at multiple levels. Changes in the epigenetic and miRNA regulatory landscape can dramatically alter the outcome of a stress response. However, little is known about the scope and extent of these regulatory factors on drought related cellular processes and functions. To this end, we selected a list of 5468 drought responsive genes (DRGs) of rice identified in multiple microarray studies and mapped the DNA methylation regions found in a genome wide methylcytosine immunoprecipitation and sequencing (mCIP-Seq) study to their genic and promoter regions, identified the chromatin remodeling genes and the genes that are targets of miRNAs. We found statistically significant enrichment of DNA methylation reads and miRNA target sequences in DRGs compared to a random set of genes. About 75% of the DRGs annotated to be involved in chromatin remodeling were downregulated. We found one-third of the DRGs are targeted by two-thirds of all known/predicted miRNAs in rice which include many transcription factors targeted by more than five miRNAs. Clustering analysis of the DRGs with epigenetic and miRNA features revealed, upregulated cluster was enriched in drought tolerance mechanisms while the downregulated cluster was enriched in drought resistance mechanisms evident by their unique gene ontologies (GOs), protein-protein interactions (PPIs), specific transcription factors, protein domains and metabolic pathways. Further, we analyzed the proteome of two weeks old young rice plants treated with a global demethylating agent, 5-azacytidine (5-azaC), subjected to drought stress and identified 56 protein spots that are differentially expressed. Out of the 56 spots, 35 were differently expressed in the sample with both demethylation and drought stress treatments and 28 (50%) were part of DRGs considered in the bioinformatic analysis."
"21704414";"MCIp";"MCIp";"Radiother Oncol";8;2011;"DNA methylation changes in cells regrowing after fractioned ionizing radiation.";"BACKGROUND AND PURPOSE: Repeated exposure to ionizing radiation (IR) can result in adaptive reactions. While DNA methylation changes in adaption to repeated stress exposure are established for a variety of drugs, their role in fractioned ionizing radiation is largely unknown.MATERIAL AND METHODS: MCF7 breast cancer cells were treated 5 times a week with IR in fractions of 2 Gy, resulting in total doses of 10 and 20 Gy. Cells were harvested 48 and 72 h after the last irradiation, as well as after a recovery period of at least 14 d. To identify genes differentially methylated in irradiated versus non-irradiated cells, we used methyl-CpG immunoprecipitation (MCIp) followed by global methylation profiling on CpG island microarrays.RESULTS: MCIp profiling revealed methylation changes in several CpG islands 48 h after FIR with 10 and 20 Gy. Cells receiving a total dose of 10 Gy started regrowing after 14 d and exhibited similar radioresistance as mock-treated cells. Differential methylation of the CpG units associated with FOXC1 (p&lt;0.001) and TRAPPC9 (p&lt;0.001) could be confirmed by time-of-flight mass spectrometry (Sequenom).CONCLUSIONS: In summary, these data indicate that regrowth of MCF7 cells after 10 Gy FIR is associated with locus-specific alterations in DNA methylation."
"21954041";"MCIp";"MCIp";"Diagn Cytopathol";1;2011;"Expression of immunoreactivity of nuclear findings by p53 and cyclin a in endometrial cytology: Comparison with endometrial glandular and stromal breakdown and endometrioid adenocarcinoma grade 1.";"It is well known that &quot;condensed cluster of stromal cells (CCSC)&quot; and &quot;metaplastic clumps with irregular protrusion (MCIP)&quot; in endometrial glandular and stromal breakdown (EGBD) cases may simulate &quot;clumps of cancer cells (CCC)&quot; in endometrioid adenocarcinoma grade 1 (G1), leading to difficulty in cytological interpretation. The aim of this study was undertaken to clarify the cytological immunoreactivity of nuclear findings about CCSC and MCIP which may be recognized in EGBD cases by using p53 protein and cyclin A in liquid-based cytologic (LBC) preparations. The material consists of cytologic smears of 20 cases of EGBD and 20 cases of G1 for which histopathological diagnosis was obtained by endometrial curettage at the JA Suzuka General Hospital. The evaluation of immunoreactivity was performed by using the intensity of nuclear staining and the nuclear labeling index (N-LI). The intensity of nuclear staining was scored as negative (0), weak (1), moderate (2), or strong (3). The N-LI was scored as less than 10% (0), from 10 to 25% (1), from 26 to 50% (2), or greater than 50% (3). The final score was calculated of the addition of both partial scores. Results are as follows: As for the p53 protein immunoreactivity, CCC (2.4 ± 1.4) was a significantly higher value in comparison with CCSC (0) and MCIP (0.8 ± 0.4), respectively. As for the cyclin A immunoreactivity, CCC (2.8 ± 1.1) was a significantly higher value in comparison with CCSC (0) and MCIP (0.6 ± 0.5), respectively. CCSC and MCIP in EGBD are misunderstood as cellular atypia and structural atypia on occasion; but, as for results of the immunoreactivity scores of p53 protein and cyclin A in our study, it seemed that those biochemical characters proved that the biological activity level was low (or degenerative). The results of the current study demonstrated that the cytological immunoreactivity of nuclear findings by p53 and cyclin A appear to be more useful for the LBC assessment of endometrial lesions, especially for the discrimination of EGBD and G1."
"20711735";"MCIp";"MCIp";"Basic Res Cardiol";1;2010;"BNP controls early load-dependent regulation of SERCA through calcineurin.";"Heart failure is characterised by reduced expression of sarcoplasmic reticulum calcium-ATPase (SERCA) and increased expression of B-type natriuretic peptide (BNP). The present study was performed to investigate causality of this inverse relationship under in vivo conditions in the transversal aortic constriction mouse model (TAC). Left ventricular SERCA-mRNA expression was significantly upregulated in TAC by 32% after 6 h, but not different from sham after 24 h. Serum proANP and BNP levels were increased in TAC after 24 h (BNP +274%, p &lt; 0.01; proANP +60%, p &lt; 0.05), but only proANP levels were increased after 6 h (+182%, p &lt; 0.01). cGMP levels were only increased 24 h after TAC (+307%, p &lt; 0.01), but not 6 h after TAC. BNP infusion inhibited the increase in SERCA expression 6 h after TAC. In BNP-receptor-knockout animals (GC-A), the expression of SERCA was still significantly increased 24 h after TAC at the mRNA level by 35% (p &lt; 0.05), as well as at the protein level by 25% (p &lt; 0.05). MCIP expression as an indicator of calcineurin activity was regulated in parallel to SERCA after 6 and 24 h. MCIP-mRNA was increased by 333% 6 h after TAC, but not significantly different from sham after 24 h. In the GC-A-KO mice, MCIP-mRNA was significantly increased in TAC compared to WT after 24 h. In mice with BNP infusion, MCIP was significantly lower 6 h after TAC compared to control animals. In conclusion, mechanical load leads to an upregulation of SERCA expression. This is followed by upregulation of natriuretic peptides with subsequent suppression of SERCA upregulation. Elevated natriuretic peptides may suppress SERCA expression by inhibition of calcineurin activity via activation of GC-A."
