"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"26213102";"RRBS";"RRBS";"Epigenetics";0;2015;"Q-RRBS: a quantitative reduced representation bisulfite sequencing method for single-cell methylome analyses.";"Reduced representation bisulfite sequencing (RRBS) is a powerful method of DNA methylome profiling that can be applied to single cells. However, no previous report has described how PCR-based duplication-induced artifacts affect the accuracy of this method when measuring DNA methylation levels. For quantifying the effects of duplication-induced artifacts on methylome profiling when using ultra-trace amounts of starting material, we developed a novel method, namely quantitative RRBS (Q-RRBS), in which PCR-induced duplication is excluded through the use of unique molecular identifiers (UMIs). By performing Q-RRBS on varying amounts of starting material, we determined that duplication-induced artifacts were more severe when small quantities of the starting material were used. However, through using the UMIs, we successfully eliminated these artifacts. In addition, Q-RRBS could accurately detect allele-specific methylation in absence of allele-specific genetic variants. Our results demonstrate that Q-RRBS is an optimal strategy for DNA methylation profiling of single cells or samples containing ultra-trace amounts of cells."
"26197983";"RRBS";"RRBS";"Mol Ecol";0;2015;"Opportunities and challenges of next-generation sequencing applications in ecological epigenetics.";"Evolutionary theory posits that adaptation can result when populations harbour heritable phenotypic variation for traits that increase tolerance to local conditions. However, the actual mechanisms that underlie heritable phenotypic variation are not completely understood (Keller ). Recently, the potential role of epigenetic mechanisms in the process of adaptive evolution has been the subject of much debate (Pigliucci &amp; Finkelman ). Studies of variation in DNA methylation in particular have shown that natural populations harbour high amounts of epigenetic variation, which can be inherited across generations and can cause heritable trait variation independently of genetic variation (Kilvitis et al. ). While we have made some progress addressing the importance of epigenetics in ecology and evolution using methylation-sensitive AFLP (MS-AFLP), this approach provides relatively few anonymous and dominant markers per individual. MS-AFLP are difficult to link to functional genomic elements or phenotype and are difficult to compare directly to genetic variation, which has limited the insights drawn from studies of epigenetic variation in natural nonmodel populations (Schrey et al. ). In this issue, Platt et al. provide an example of a promising approach to address this problem by applying a reduced representation bisulphite sequencing (RRBS) approach based on next-generation sequencing methods in an ecological context."
"26192535";"RRBS";"RRBS";"Epigenomics";0;2015;"DNA methylation profiling: comparison of genome-wide sequencing methods and the Infinium Human Methylation 450 Bead Chip.";"AIMS: To compare the performance of four sequence-based and one microarray methods for DNA methylation profiling.METHODS: DNA from two cell lines were profiled by reduced representation bisulfite sequencing, methyl capture sequencing (SS-Meth Seq), NimbleGen SeqCapEpi CpGiant(Nimblegen MethSeq), methylated DNA immunoprecipitation (MeDIP) and the Human Methylation 450 Bead Chip (Meth450K).RESULTS &amp; CONCLUSION: Despite differences in genome-wide coverage, high correlation and concordance were observed between different methods. Significant overlap of differentially methylated regions was identified between sequenced based platforms. MeDIP provided the best coverage for the whole genome and gene body regions, while RRBS and Nimblegen MethSeq were superior for CpGs in CpG islands and promoters. Methylation analyses can be achieved by any of the five methods but understanding their differences may better address the research question being posed."
"26155763";"RRBS";"RRBS";"J Autism Dev Disord";0;2015;"The Adult Repetitive Behaviours Questionnaire-2 (RBQ-2A): A Self-Report Measure of Restricted and Repetitive Behaviours.";"In two studies we developed and tested a new self-report measure of restricted and repetitive behaviours (RRB) suitable for adults. In Study 1, The Repetitive Behaviours Questionnaire-2 for adults (RBQ-2A) was completed by a sample of 163 neurotypical adults. Principal components analysis revealed two components: Repetitive Motor Behaviours and Insistence on Sameness. In Study 2, the mean RBQ-2A scores of a group of adults with autism spectrum disorder (ASD; N = 29) were compared to an adult neurotypical group (N = 37). The ASD sample had significantly higher total and subscale scores. These results indicate that the RBQ-2A has utility as a self-report questionnaire measure of RRBs suitable for adults, with potential clinical application."
"26140213";"RRBS";"RRBS";"Gigascience";0;2015;"SMAP: a streamlined methylation analysis pipeline for bisulfite sequencing.";"BACKGROUND: DNA methylation has important roles in the regulation of gene expression and cellular specification. Reduced representation bisulfite sequencing (RRBS) has prevailed in methylation studies due to its cost-effectiveness and single-base resolution. The rapid accumulation of RRBS data demands well designed analytical tools.FINDINGS: To streamline the data processing of DNA methylation from multiple RRBS samples, we present a flexible pipeline named SMAP, whose features include: (i) handling of single-and/or paired-end diverse bisulfite sequencing data with reduced false-positive rates in differentially methylated regions; (ii) detection of allele-specific methylation events with improved algorithms; (iii) a built-in pipeline for detection of novel single nucleotide polymorphisms (SNPs); (iv) support of multiple user-defined restriction enzymes; (v) conduction of all methylation analyses in a single-step operation when well configured.CONCLUSIONS: Simulation and experimental data validated the high accuracy of SMAP for SNP detection and methylation identification. Most analyses required in methylation studies (such as estimation of methylation levels, differentially methylated cytosine groups, and allele-specific methylation regions) can be executed readily with SMAP. All raw data from diverse samples could be processed in parallel and 'packetized' streams. A simple user guide to the methylation applications is also provided."
"26111739";"RRBS";"RRBS";"J Autism Dev Disord";0;2015;"Does Gender Moderate Core Deficits in ASD? An Investigation into Restricted and Repetitive Behaviors in Girls and Boys with ASD.";"Due to the uneven gender ratio of autism spectrum disorders (ASD), girls are rarely studied independently from boys. Research focusing on restricted and repetitive behaviors (RRBs) indicates that above the age of six girls have fewer and/or different RRBs than boys with ASD. In this study we investigated whether girls and boys with ASD demonstrated similar rates and types of RRBs in early childhood, using discrete observational coding from a video-taped play interaction. Twenty-nine girls with ASD were matched to 29 boys based on ASD severity. While boys in our sample demonstrated a greater frequency of RRBs, this was not significant and our findings indicate that girls and boys under five are more similar than dissimilar on this core deficit. However our data also revealed a trend toward gender-differential growth trajectories-a finding worthy of further investigation in larger samples."
"26078362";"RRBS";"RRBS";"J Mol Cell Biol";0;2015;"MBRidge: an accurate and cost-effective method for profiling DNA methylome at single-base resolution.";"Organisms and cells, in response to environmental influences or during development, undergo considerable changes in DNA methylation on a genome-wide scale, which are linked to a variety of biological processes. Using MethylC-seq to decipher DNA methylome at single-base resolution is prohibitively costly. In this study, we develop a novel approach, named MBRidge, to detect the methylation levels of repertoire CpGs, by innovatively introducing C-hydroxylmethylated adapters and bisulfate treatment into the MeDIP-seq protocol and employing ridge regression in data analysis. A systematic evaluation of DNA methylome in a human ovarian cell line T29 showed that MBRidge achieved high correlation (R &gt; 0.90) with much less cost (∼10%) in comparison with MethylC-seq. We further applied MBRidge to profiling DNA methylome in T29H, an oncogenic counterpart of T29's. By comparing methylomes of T29H and T29, we identified 131790 differential methylation regions (DMRs), which are mainly enriched in carcinogenesis-related pathways. These are substantially different from 7567 DMRs that were obtained by RRBS and related with cell development or differentiation. The integrated analysis of DMRs in the promoter and expression of DMR-corresponding genes revealed that DNA methylation enforced reverse regulation of gene expression, depending on the distance from the proximal DMR to transcription starting sites in both mRNA and lncRNA. Taken together, our results demonstrate that MBRidge is an efficient and cost-effective method that can be widely applied to profiling DNA methylomes."
"26039248";"RRBS";"RRBS";"Epigenomics";0;2015;"Chromosome X genomic and epigenomic aberrations and clinical implications in breast cancer by base resolution profiling.";"AIM: Abnormal inactivation or loss of inactivated X chromosome (Xi) is implicated in women's cancer. However, the underlying mechanisms and clinical relevance are little known.METHODS: High-throughput sequencing was conducted on breast cancer cell lines for copy number, RNA expression and 5'-methylcytosine in ChrX. The results were examined in primary breast tumors.RESULTS &amp; CONCLUSION: Breast cancer cells demonstrated reduced or total loss of hemimethylation. Most cell lines lost part or one of X chromosomes. Cell lines without ChrX loss were more active in gene expression. DNA methylation was corroborated with Xi control lincRNA XIST. Similar transcriptome and DNA methylation changes were observed in primary breast cancer datasets with clinical phenotype associations. Dramatic genomic and epigenomic changes in ChrX may be used for potential diagnostic or prognostic markers in breast cancer."
"25997618";"RRBS";"RRBS";"BMC Genomics";0;2015;"The potential role of Alu Y in the development of resistance to SN38 (Irinotecan) or oxaliplatin in colorectal cancer.";"BACKGROUND: Irinotecan (SN38) and oxaliplatin are chemotherapeutic agents used in the treatment of colorectal cancer. However, the frequent development of resistance to these drugs represents a considerable challenge in the clinic. Alus as retrotransposons comprise 11% of the human genome. Genomic toxicity induced by carcinogens or drugs can reactivate Alus by altering DNA methylation. Whether or not reactivation of Alus occurs in SN38 and oxaliplatin resistance remains unknown.RESULTS: We applied reduced representation bisulfite sequencing (RRBS) to investigate the DNA methylome in SN38 or oxaliplatin resistant colorectal cancer cell line models. Moreover, we extended the RRBS analysis to tumor tissue from 14 patients with colorectal cancer who either did or did not benefit from capecitabine + oxaliplatin treatment. For the clinical samples, we applied a concept of 'DNA methylation entropy' to estimate the diversity of DNA methylation states of the identified resistance phenotype-associated methylation loci observed in the cell line models. We identified different loci being characteristic for the different resistant cell lines. Interestingly, 53% of the identified loci were Alu sequences- especially the Alu Y subfamily. Furthermore, we identified an enrichment of Alu Y sequences that likely results from increased integration of new copies of Alu Y sequence in the drug-resistant cell lines. In the clinical samples, SOX1 and other SOX gene family members were shown to display variable DNA methylation states in their gene regions. The Alu Y sequences showed remarkable variation in DNA methylation states across the clinical samples.CONCLUSION: Our findings imply a crucial role of Alu Y in colorectal cancer drug resistance. Our study underscores the complexity of colorectal cancer aggravated by mobility of Alu elements and stresses the importance of personalized strategies, using a systematic and dynamic view, for effective cancer therapy."
"25837417";"RRBS";"RRBS";"Nat Protoc";0;2015;"Profiling DNA methylome landscapes of mammalian cells with single-cell reduced-representation bisulfite sequencing.";"The heterogeneity of DNA methylation within a population of cells necessitates DNA methylome profiling at single-cell resolution. Recently, we developed a single-cell reduced-representation bisulfite sequencing (scRRBS) technique in which we modified the original RRBS method by integrating all the experimental steps before PCR amplification into a single-tube reaction. These modifications enable scRRBS to provide digitized methylation information on ∼1 million CpG sites within an individual diploid mouse or human cell at single-base resolution. Compared with the single-cell bisulfite sequencing (scBS) technique, scRRBS covers fewer CpG sites, but it provides better coverage for CpG islands (CGIs), which are likely to be the most informative elements for DNA methylation. The entire procedure takes ∼3 weeks, and it requires strong molecular biology skills."
"25827254";"RRBS";"RRBS";"Bone";0;2015;"Global transcriptional profiling using RNA sequencing and DNA methylation patterns in highly enriched mesenchymal cells from young versus elderly women.";"Age-related bone loss in humans is associated with a decrease in bone formation relative to bone resorption, although the mechanisms for this impairment in bone formation with aging are not well understood. It is known that the precursors for the bone-forming osteoblasts reside in the mesenchymal cell population in bone marrow. Thus, in an effort to identify relevant genetic pathways that are altered with aging, we examined the gene expression and DNA methylation patterns from a highly enriched bone marrow mesenchymal cell population from young (mean age, 28.7 years) versus old (mean age, 73.3 years) women. Bone marrow mononuclear cells from these women were depleted of hematopoietic lineage (lin) and endothelial cells using a combination of magnetic- and fluorescence-activated cell sorting, yielding a previously characterized mesenchymal cell population (lin-/CD34-/CD31- cells) that is capable of osteoblast differentiation. Whole transcriptome RNA sequencing (RNAseq) of freshly isolated cells (without in vitro culture) identified 279 differentially expressed genes (p &lt; 0.05, false discovery rate [q]&lt; 0.10) between the young and old subjects. Pathway analysis revealed statistically significant (all p &lt; 0.05) alterations in protein synthesis and degradation pathways, as well as mTOR, gap junction, calcium, melatonin and NFAT signaling pathways. Further, Reduced Representational Bisulphite sequencing (RRBS DNA methylation sequencing) revealed significant differences in methylation between the young and old subjects surrounding the promoters of 1528 target genes that also exhibited significant differences in gene expression by RNAseq. In summary, these studies provide novel insights into potential pathways affected by aging in a highly enriched human mesenchymal cell population analyzed without the confounding effects of in vitro culture. Specifically, our finding of alterations in several genes and pathways leading to impaired protein synthesis and turnover with aging in bone marrow mesenchymal cells points to the need for further studies examining how these changes, as well as the other alterations with aging that we identified, may contribute to the age-related impairment in osteoblast formation and/or function."
