"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"25652745";"iCLIP";"iCLIP";"BMC Genomics";2;2015;"CLIPdb: a CLIP-seq database for protein-RNA interactions.";"BACKGROUND: RNA-binding proteins (RBPs) play essential roles in gene expression regulation through their interactions with RNA transcripts, including coding, canonical non-coding and long non-coding RNAs. Large amounts of crosslinking immunoprecipitation (CLIP)-seq data (including HITS-CLIP, PAR-CLIP, and iCLIP) have been recently produced to reveal transcriptome-wide binding sites of RBPs at the single-nucleotide level.DESCRIPTION: Here, we constructed a database, CLIPdb, to describe RBP-RNA interactions based on 395 publicly available CLIP-seq data sets for 111 RBPs from four organisms: human, mouse, worm and yeast. We consistently annotated the CLIP-seq data sets and RBPs, and developed a user-friendly interface for rapid navigation of the CLIP-seq data. We applied a unified computational method to identify transcriptome-wide binding sites, making the binding sites directly comparable and the data available for integration across different CLIP-seq studies. The high-resolution binding sites of the RBPs can be visualized on the whole-genome scale using a browser. In addition, users can browse and download the identified binding sites of all profiled RBPs by querying genes of interest, including both protein coding genes and non-coding RNAs.CONCLUSION: Manually curated metadata and uniformly identified binding sites of publicly available CLIP-seq data sets will be a foundation for further integrative and comparative analyses. With maintained up-to-date data sets and improved functionality, CLIPdb ( http://clipdb.ncrnalab.org ) will be a valuable resource for improving the understanding of post-transcriptional regulatory networks."
"25590131";"iCLIP";"iCLIP";"PLoS Pathog";1;2015;"Promiscuous RNA binding ensures effective encapsidation of APOBEC3 proteins by HIV-1.";"The apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 3 (APOBEC3) proteins are cell-encoded cytidine deaminases, some of which, such as APOBEC3G (A3G) and APOBEC3F (A3F), act as potent human immunodeficiency virus type-1 (HIV-1) restriction factors. These proteins require packaging into HIV-1 particles to exert their antiviral activities, but the molecular mechanism by which this occurs is incompletely understood. The nucleocapsid (NC) region of HIV-1 Gag is required for efficient incorporation of A3G and A3F, and the interaction between A3G and NC has previously been shown to be RNA-dependent. Here, we address this issue in detail by first determining which RNAs are able to bind to A3G and A3F in HV-1 infected cells, as well as in cell-free virions, using the unbiased individual-nucleotide resolution UV cross-linking and immunoprecipitation (iCLIP) method. We show that A3G and A3F bind many different types of RNA, including HIV-1 RNA, cellular mRNAs and small non-coding RNAs such as the Y or 7SL RNAs. Interestingly, A3G/F incorporation is unaffected when the levels of packaged HIV-1 genomic RNA (gRNA) and 7SL RNA are reduced, implying that these RNAs are not essential for efficient A3G/F packaging. Confirming earlier work, HIV-1 particles formed with Gag lacking the NC domain (Gag ΔNC) fail to encapsidate A3G/F. Here, we exploit this system by demonstrating that the addition of an assortment of heterologous RNA-binding proteins and domains to Gag ΔNC efficiently restored A3G/F packaging, indicating that A3G and A3F have the ability to engage multiple RNAs to ensure viral encapsidation. We propose that the rather indiscriminate RNA binding characteristics of A3G and A3F promote functionality by enabling recruitment into a wide range of retroviral particles whose packaged RNA genomes comprise divergent sequences."
"26100017";"iCLIP";"iCLIP";"Mol Cell Biol";0;2015;"The RNA-binding protein Musashi1 is a central regulator of adhesion pathways in glioblastoma.";"The conserved RNA-binding protein Musashi1 (MSI1) has emerged as a key oncogenic factor in numerous solid tumors, including glioblastoma. However, its mechanism of action has not yet been established comprehensively. To identify its target genes comprehensively and determine the main routes by which it influences glioblastoma phenotypes, we conducted iCLIP experiments. We confirmed that MSI1 has a preference for UAG sequences contained in a particular structural context, especially in 3' -untranslated regions (UTRs). Although numerous binding sites were also identified in intronic sequences, our RNA-Seq analysis does not favor the idea that MSI1 is a major regulator of splicing in glioblastoma cells. MSI1 target mRNAs encode proteins that function in multiple pathways of cell proliferation and cell adhesion. Since these associations indicate potentially new roles for MSI1, we investigated its impact on glioblastoma cell adhesion, morphology, migration and invasion. These processes are known to underpin the spread and relapse of glioblastoma, in contrast to other tumors where metastasis is the main driver of recurrence and progression."
"26054396";"iCLIP";"iCLIP";"Genome Biol";0;2015;"Drosophila Imp iCLIP identifies an RNA assemblage coordinating F-actin formation.";"BACKGROUND: Post-transcriptional RNA regulons ensure coordinated expression of monocistronic mRNAs encoding functionally related proteins. In this study, we employ a combination of RIP-seq and short- and long-wave individual-nucleotide resolution crosslinking and immunoprecipitation (iCLIP) technologies in Drosophila cells to identify transcripts associated with cytoplasmic ribonucleoproteins (RNPs) containing the RNA-binding protein Imp.RESULTS: We find extensive binding of Imp to 3' UTRs of transcripts that are involved in F-actin formation. A common denominator of the RNA-protein interface is the presence of multiple motifs with a central UA-rich element flanked by CA-rich elements. Experiments in single cells and intact flies reveal compromised actin cytoskeletal dynamics associated with low Imp levels. The former shows reduced F-actin formation and the latter exhibits abnormal neuronal patterning. This demonstrates a physiological significance of the defined RNA regulon.CONCLUSIONS: Our data imply that Drosophila Imp RNPs may function as cytoplasmic mRNA assemblages that encode proteins which participate in actin cytoskeletal remodeling. Thus, they may facilitate coordinated protein expression in sub-cytoplasmic locations such as growth cones."
"25958398";"iCLIP";"iCLIP";"Nucleic Acids Res";0;2015;"Design and bioinformatics analysis of genome-wide CLIP experiments.";"The past decades have witnessed a surge of discoveries revealing RNA regulation as a central player in cellular processes. RNAs are regulated by RNA-binding proteins (RBPs) at all post-transcriptional stages, including splicing, transportation, stabilization and translation. Defects in the functions of these RBPs underlie a broad spectrum of human pathologies. Systematic identification of RBP functional targets is among the key biomedical research questions and provides a new direction for drug discovery. The advent of cross-linking immunoprecipitation coupled with high-throughput sequencing (genome-wide CLIP) technology has recently enabled the investigation of genome-wide RBP-RNA binding at single base-pair resolution. This technology has evolved through the development of three distinct versions: HITS-CLIP, PAR-CLIP and iCLIP. Meanwhile, numerous bioinformatics pipelines for handling the genome-wide CLIP data have also been developed. In this review, we discuss the genome-wide CLIP technology and focus on bioinformatics analysis. Specifically, we compare the strengths and weaknesses, as well as the scopes, of various bioinformatics tools. To assist readers in choosing optimal procedures for their analysis, we also review experimental design and procedures that affect bioinformatics analyses."
"25708366";"iCLIP";"iCLIP";"Cell Res";0;2015;"ADAR1 is required for differentiation and neural induction by regulating microRNA processing in a catalytically independent manner.";"Adenosine deaminases acting on RNA (ADARs) are involved in adenosine-to-inosine RNA editing and are implicated in development and diseases. Here we observed that ADAR1 deficiency in human embryonic stem cells (hESCs) significantly affected hESC differentiation and neural induction with widespread changes in mRNA and miRNA expression, including upregulation of self-renewal-related miRNAs, such as miR302s. Global editing analyses revealed that ADAR1 editing activity contributes little to the altered miRNA/mRNA expression in ADAR1-deficient hESCs upon neural induction. Genome-wide iCLIP studies identified that ADAR1 binds directly to pri-miRNAs to interfere with miRNA processing by acting as an RNA-binding protein. Importantly, aberrant expression of miRNAs and phenotypes observed in ADAR1-depleted hESCs upon neural differentiation could be reversed by an enzymatically inactive ADAR1 mutant, but not by the RNA-binding-null ADAR1 mutant. These findings reveal that ADAR1, but not its editing activity, is critical for hESC differentiation and neural induction by regulating miRNA biogenesis via direct RNA interaction."
"25599992";"iCLIP";"iCLIP";"EMBO J";0;2015;"Nuclear matrix protein Matrin3 regulates alternative splicing and forms overlapping regulatory networks with PTB.";"Matrin3 is an RNA- and DNA-binding nuclear matrix protein found to be associated with neural and muscular degenerative diseases. A number of possible functions of Matrin3 have been suggested, but no widespread role in RNA metabolism has yet been clearly demonstrated. We identified Matrin3 by its interaction with the second RRM domain of the splicing regulator PTB. Using a combination of RNAi knockdown, transcriptome profiling and iCLIP, we find that Matrin3 is a regulator of hundreds of alternative splicing events, principally acting as a splicing repressor with only a small proportion of targeted events being co-regulated by PTB. In contrast to other splicing regulators, Matrin3 binds to an extended region within repressed exons and flanking introns with no sharply defined peaks. The identification of this clear molecular function of Matrin3 should help to clarify the molecular pathology of ALS and other diseases caused by mutations of Matrin3."
"24637117";"iCLIP";"iCLIP";"Genes Dev";11;2014;"Rbfox2 controls autoregulation in RNA-binding protein networks.";"The tight regulation of splicing networks is critical for organismal development. To maintain robust splicing patterns, many splicing factors autoregulate their expression through alternative splicing-coupled nonsense-mediated decay (AS-NMD). However, as negative autoregulation results in a self-limiting window of splicing factor expression, it is unknown how variations in steady-state protein levels can arise in different physiological contexts. Here, we demonstrate that Rbfox2 cross-regulates AS-NMD events within RNA-binding proteins to alter their expression. Using individual nucleotide-resolution cross-linking immunoprecipitation coupled to high-throughput sequencing (iCLIP) and mRNA sequencing, we identified &gt;200 AS-NMD splicing events that are bound by Rbfox2 in mouse embryonic stem cells. These &quot;silent&quot; events are characterized by minimal apparent splicing changes but appreciable changes in gene expression upon Rbfox2 knockdown due to degradation of the NMD-inducing isoform. Nearly 70 of these AS-NMD events fall within genes encoding RNA-binding proteins, many of which are autoregulated. As with the coding splicing events that we found to be regulated by Rbfox2, silent splicing events are evolutionarily conserved and frequently contain the Rbfox2 consensus UGCAUG. Our findings uncover an unexpectedly broad and multilayer regulatory network controlled by Rbfox2 and offer an explanation for how autoregulatory splicing networks are tuned."
"24451213";"iCLIP";"iCLIP";"Genome Biol";7;2014;"PIPE-CLIP: a comprehensive online tool for CLIP-seq data analysis.";"CLIP-seq is widely used to study genome-wide interactions between RNA-binding proteins and RNAs. However, there are few tools available to analyze CLIP-seq data, thus creating a bottleneck to the implementation of this methodology. Here, we present PIPE-CLIP, a Galaxy framework-based comprehensive online pipeline for reliable analysis of data generated by three types of CLIP-seq protocol: HITS-CLIP, PAR-CLIP and iCLIP. PIPE-CLIP provides both data processing and statistical analysis to determine candidate cross-linking regions, which are comparable to those regions identified from the original studies or using existing computational tools. PIPE-CLIP is available at http://pipeclip.qbrc.org/."
"24398258";"iCLIP";"iCLIP";"Genome Biol";7;2014;"dCLIP: a computational approach for comparative CLIP-seq analyses.";"Although comparison of RNA-protein interaction profiles across different conditions has become increasingly important to understanding the function of RNA-binding proteins (RBPs), few computational approaches have been developed for quantitative comparison of CLIP-seq datasets. Here, we present an easy-to-use command line tool, dCLIP, for quantitative CLIP-seq comparative analysis. The two-stage method implemented in dCLIP, including a modified MA normalization method and a hidden Markov model, is shown to be able to effectively identify differential binding regions of RBPs in four CLIP-seq datasets, generated by HITS-CLIP, iCLIP and PAR-CLIP protocols. dCLIP is freely available at http://qbrc.swmed.edu/software/."
