PMID	Citations	YearPubmed	Journal	Title	Abstract
26059817	0	2015	J Cell Physiol	C-ing the Genome: A Compendium of Chromosome Conformation Capture Methods to Study Higher-Order Chromatin Organization.	Three-dimensional organization of the chromatin has important roles in transcription, replication, DNA repair, and pathologic events such as translocations. There are two fundamental ways to study higher-order chromatin organization: microscopic and molecular approaches. In this review, we briefly introduce the molecular approaches, focusing on chromosome conformation capture or&quot;3C&quot; technology and its derivatives, which can be used to probe chromatin folding at resolutions beyond that provided by microscopy techniques. We further discuss the different types of data generated by the 3C-based methods and how they can be used to answer distinct biological questions. This article is protected by copyright. All rights reserved.
26059046	0	2015	Am J Med Genet A	A de novo 1.58 Mb deletion, including MAP2K6 and mapping 1.28 Mb upstream to SOX9, identified in a patient with Pierre Robin sequence and osteopenia with multiple fractures.	Defects of long-range regulatory elements of dosage-sensitive genes represent an under-recognized mechanism underlying genetic diseases. Haploinsufficiency of SOX9, the gene essential for development of testes and differentiation of chondrocytes, results in campomelic dysplasia, a skeletal malformation syndrome often associated with sex reversal. Chromosomal rearrangements with breakpoints mapping up to 1.6 Mb up- and downstream to SOX9, and disrupting its distant cis-regulatory elements, have been described in patients with milder forms of campomelic dysplasia, Pierre Robin sequence, and sex reversal. We present an ∼1.58 Mb deletion mapping ∼1.28 Mb upstream to SOX9 that encompasses its putative long-range cis-regulatory element(s) and MAP2K6 in a patient with Pierre Robin sequence and osteopenia with multiple fractures. Low bone mass panel testing using massively parallel sequencing of 23 nuclear genes, including COL1A1 and COL1A2 was negative. Based on the previous mouse model of Map2k6, suggesting that Sox9 is likely a downstream target of the p38 MAPK pathway, and our previous chromosome conformation capture-on-chip (4C) data showing potential interactions between SOX9 promoter and MAP2K6, we hypothesize that deletion of MAP2K6 might have affected SOX9 expression and contributed to our patient's phenotype. © 2015 Wiley Periodicals, Inc.
26043745	0	2015	Ann Bot	Flow sorting of C-genome chromosomes from wild relatives of wheat Aegilops markgrafii, Ae. triuncialis and Ae. cylindrica, and their molecular organization.	BACKGROUND AND AIMS: Aegilops markgrafii (CC) and its natural hybrids Ae. triuncialis (U(t)U(t)C(t)C(t)) and Ae. cylindrica (D(c)D(c)C(c)C(c)) represent a rich reservoir of useful genes for improvement of bread wheat (Triticum aestivum), but the limited information available on their genome structure and the shortage of molecular (cyto-) genetic tools hamper the utilization of the extant genetic diversity. This study provides the complete karyotypes in the three species obtained after fluorescent in situ hybridization (FISH) with repetitive DNA probes, and evaluates the potential of flow cytometric chromosome sorting.METHODS: The flow karyotypes obtained after the analysis of 4',6-diamidino-2-phenylindole (DAPI)-stained chromosomes were characterized and the chromosome content of the peaks on the flow karyotypes was determined by FISH. Twenty-nine conserved orthologous set (COS) markers covering all seven wheat homoeologous chromosome groups were used for PCR with DNA amplified from flow-sorted chromosomes and genomic DNA.KEY RESULTS: FISH with repetitive DNA probes revealed that chromosomes 4C, 5C, 7C(t), T6U(t)S.6U(t)L-5C(t)L, 1C(c) and 5D(c) could be sorted with purities ranging from 66 to 91 %, while the remaining chromosomes could be sorted in groups of 2-5. This identified a partial wheat-C-genome homology for group 4 and 5 chromosomes. In addition, 1C chromosomes were homologous with group 1 of wheat; a small segment from group 2 indicated 1C-2C rearrangement. An extensively rearranged structure of chromosome 7C relative to wheat was also detected.CONCLUSIONS: The possibility of purifying Aegilops chromosomes provides an attractive opportunity to investigate the structure and evolution of the Aegilops C genome and to develop molecular tools to facilitate the identification of alien chromatin and support alien introgression breeding in bread wheat.
26034064	0	2015	Bioinformatics	FourCSeq: analysis of 4C sequencing data.	MOTIVATION: Circularized Chromosome Conformation Capture (4C) is a powerful technique for studying the spatial interactions of a specific genomic region called the 'viewpoint' with the rest of the genome, both in a single condition or comparing different experimental conditions or cell types. Observed ligation frequencies typically show a strong, regular dependence on genomic distance from the viewpoint, on top of which specific interaction peaks are superimposed. Here, we address the computational task to find these specific peaks and to detect changes between different biological conditions.RESULTS: We model the overall trend of decreasing interaction frequency with genomic distance by fitting a smooth monotonically decreasing function to suitably transformed count data. Based on the fit, z-scores are calculated from the residuals, and high z-scores are interpreted as peaks providing evidence for specific interactions. To compare different conditions, we normalize fragment counts between samples, and call for differential contact frequencies using the statistical method DESEQ2: adapted from RNA-Seq analysis.AVAILABILITY AND IMPLEMENTATION: A full end-to-end analysis pipeline is implemented in the R package FourCSeq available at www.bioconductor.org.CONTACT: felix.klein@embl.de or whuber@embl.deSupplementary information: Supplementary data are available at Bioinformatics online.
25922992	0	2015	Elife	A simple biophysical model emulates budding yeast chromosome condensation.	Mitotic chromosomes were one of the first cell biological structures to be described, yet their molecular architecture remains poorly understood. We have devised a simple biophysical model of a 300 kb-long nucleosome chain, the size of a budding yeast chromosome, constrained by interactions between binding sites of the chromosomal condensin complex, a key component of interphase and mitotic chromosomes. Comparisons of computational and experimental (4C) interaction maps, and other biophysical features, allow us to predict a mode of condensin action. Stochastic condensin-mediated pairwise interactions along the nucleosome chain generate native-like chromosome features and recapitulate chromosome compaction and individualization during mitotic condensation. Higher order interactions between condensin binding sites explain the data less well. Our results suggest that basic assumptions about chromatin behavior go a long way to explain chromosome architecture and are able to generate a molecular model of what the inside of a chromosome is likely to look like.
25901194	0	2015	Am J Transl Res	ADP-ribosylation factor-like 4C (ARL4C), a novel ovarian cancer metastasis suppressor, identified by integrated genomics.	Understanding the molecular mechanisms involving the initiation, progression, and metastasis of ovarian cancer is important for the prevention, detection, and treatment of ovarian cancer. In this study, two ovarian cancer cell lines, HO-8910 and its derivative HO-8910PM with highly metastatic potential, were applied to comparative genomic hybridization (CGH) analysis. We found 14 chromosome fragments with different copy numbers between the two cell lines, one (2q36.1-37.3) of which was confirmed to be one-copy loss in HO-8910PM by fluorescent in situ hybridization (FISH). Using the microarray data on gene expression profiles from these cell lines, 6 significantly expression-decreased genes located on 2q36.1-37.3 in HO-8910PM were identified. Of the 6 genes, ARL4C was identified as a novel ovarian cancer-related gene using integrated molecular and genomic analyses. ARL4C mRNA expression was validated by quantitative PCR to be markedly decreased in HO-8910PM cells, compared to that in HO-8910. Both overexpression and knockdown of ARL4C demonstrated that low ARL4C expression promotes the migration but not influences proliferation capability of ovarian cancer cells in vitro, indicating its specific role in ovarian cancer progression. Furthermore, ovarian cancer patients with medium and high expression of ARL4C mRNA had a favorable prognosis compared to those with low expression, suggesting the ARL4C could be a potential predictor for ovarian cancer prognosis.
25845242	0	2015	Mol Biol (Mosk)	[Spatial organization of house-keeping genes in interphase nuclei].	Spatial organization of the eukaryotic genome is tightly connected to its functioning. In particular, the interaction of gene promoters with remote enhancer elements in active chromatin hubs, as well as the recruitment of genes to the common transcription factories plays an important role in regulation of gene transcription. Most of works related to the analysis of spatial interaction of genome regulatory elements relies on models of tissue-specific genes. Meanwhile, it remains unclear to which extent the spatial organization of chromosomes is guided by house-keeping genes that are transcribed in most of cell types and outnumber the transcribed tissue-specific genes. To address this question, we used the 4C technique to characterize genome-wide the spatial contacts of the chicken house-keeping genes CARHSP1 and TRAP1 situated on chromosome 14. The promoters of these genes had an increased frequency of interaction with chromosome regions enriched in CpG islands and binding motifs for the ubiquitous transcription factor Sp1, both of which mark promoters of house-keeping genes, and overall with transcriptionally active regions. By contrast, the analysis of interaction of a gene poor region of chromosome 14 revealed no such preferences. The evidence for the interaction of house-keeping gene promoters were also obtained in independent cytological experiments aimed at visualization of non-methylated CpG islands in individual nuclei of human cells, which showed clustering of CpG islands in the nuclear space. Altogether, the results of our work suggest that the interaction of house-keeping genes constitutes an important factor that determines the spatial organization of interphase chromosomes.
25831887	0	2015	Mol Biol (Mosk)	[Spatial organization of interphase chromosomes and the role of chromatin fiber dynamycs in the positioning of genome elements].	Many studies are devoted to the analysis ofinterphase chromosome architecture due to the evidence of functional-dependent spatial organization of the genome. These studies are based on classical cytological methods as well as on biochemical approaches (3C, 4C, 5C, Hi-C) allowing for the detection of long-range interactions between fragments of chromatin fibers, including the genome-wide interactions. In this review, we discuss the results of these researches which make it possible to explain functional-dependent multilevel compartmentalization of the nucleous and unravel the principals of high-level chromatin organization. Special attention is paid to the enchancer-promoter interactions important for the regulation of gene expression. Accordingly, we consider the model of an active chromatin hub and the alternative model of an active chromatin compartment, which was proposed based on reconsideration of some steps of the 3C procedure.
25567984	0	2015	Nucleic Acids Res	DNA binding by FOXP3 domain-swapped dimer suggests mechanisms of long-range chromosomal interactions.	FOXP3 is a lineage-specific transcription factor that is required for regulatory T cell development and function. In this study, we determined the crystal structure of the FOXP3 forkhead domain bound to DNA. The structure reveals that FOXP3 can form a stable domain-swapped dimer to bridge DNA in the absence of cofactors, suggesting that FOXP3 may play a role in long-range gene interactions. To test this hypothesis, we used circular chromosome conformation capture coupled with high throughput sequencing (4C-seq) to analyze FOXP3-dependent genomic contacts around a known FOXP3-bound locus, Ptpn22. Our studies reveal that FOXP3 induces significant changes in the chromatin contacts between the Ptpn22 locus and other Foxp3-regulated genes, reflecting a mechanism by which FOXP3 reorganizes the genome architecture to coordinate the expression of its target genes. Our results suggest that FOXP3 mediates long-range chromatin interactions as part of its mechanisms to regulate specific gene expression in regulatory T cells.
24561615	2	2014	Nucleic Acids Res	fourSig: a method for determining chromosomal interactions in 4C-Seq data.	The ability to correlate chromosome conformation and gene expression gives a great deal of information regarding the strategies used by a cell to properly regulate gene activity. 4C-Seq is a relatively new and increasingly popular technology where the set of genomic interactions generated by a single point in the genome can be determined. 4C-Seq experiments generate large, complicated data sets and it is imperative that signal is properly distinguished from noise. Currently, there are a limited number of methods for analyzing 4C-Seq data. Here, we present a new method, fourSig, which in addition to being precise and simple to use also includes a new feature that prioritizes detected interactions. Our results demonstrate the efficacy of fourSig with previously published and novel 4C-Seq data sets and show that our significance prioritization correlates with the ability to reproducibly detect interactions among replicates.
