PMID	Citations	YearPubmed	Journal	Title	Abstract
25751625	2	2015	Nat Genet	Genome-wide association analysis of more than 120,000 individuals identifies 15 new susceptibility loci for breast cancer.	Genome-wide association studies (GWAS) and large-scale replication studies have identified common variants in 79 loci associated with breast cancer, explaining ∼14% of the familial risk of the disease. To identify new susceptibility loci, we performed a meta-analysis of 11 GWAS, comprising 15,748 breast cancer cases and 18,084 controls together with 46,785 cases and 42,892 controls from 41 studies genotyped on a 211,155-marker custom array (iCOGS). Analyses were restricted to women of European ancestry. We generated genotypes for more than 11 million SNPs by imputation using the 1000 Genomes Project reference panel, and we identified 15 new loci associated with breast cancer at P &lt; 5 × 10(-8). Combining association analysis with ChIP-seq chromatin binding data in mammary cell lines and ChIA-PET chromatin interaction data from ENCODE, we identified likely target genes in two regions: SETBP1 at 18q12.3 and RNF115 and PDZK1 at 1q21.1. One association appears to be driven by an amino acid substitution encoded in EXO1.
25563301	1	2015	BMC Genomics	Chromatin Interaction Analysis with Paired-End Tag (ChIA-PET) sequencing technology and application.	BACKGROUND: Long-range chromatin interactions play an important role in transcription regulation. Chromatin Interaction Analysis with Paired-End-Tag sequencing (ChIA-PET) is an emerging technology that has unique advantages in chromatin interaction analysis, and thus provides insight into the study of transcription regulation.RESULTS: This article introduces the experimental protocol and data analysis process of ChIA-PET, as well as discusses some applications using this technology. It also unveils the direction of future studies based on this technology.CONCLUSIONS: Overall we show that ChIA-PET is the cornerstone to explore the three-dimensional (3D) chromatin structure, and certainly will lead the forthcoming wave of 3D genomics studies.
26059817	0	2015	J Cell Physiol	C-ing the Genome: A Compendium of Chromosome Conformation Capture Methods to Study Higher-Order Chromatin Organization.	Three-dimensional organization of the chromatin has important roles in transcription, replication, DNA repair, and pathologic events such as translocations. There are two fundamental ways to study higher-order chromatin organization: microscopic and molecular approaches. In this review, we briefly introduce the molecular approaches, focusing on chromosome conformation capture or&quot;3C&quot; technology and its derivatives, which can be used to probe chromatin folding at resolutions beyond that provided by microscopy techniques. We further discuss the different types of data generated by the 3C-based methods and how they can be used to answer distinct biological questions. This article is protected by copyright. All rights reserved.
26034063	0	2015	Bioinformatics	Mango: a bias-correcting ChIA-PET analysis pipeline.	MOTIVATION: Chromatin Interaction Analysis by Paired-End Tag sequencing (ChIA-PET) is an established method for detecting genome-wide looping interactions at high resolution. Current ChIA-PET analysis software packages either fail to correct for non-specific interactions due to genomic proximity or only address a fraction of the steps required for data processing. We present Mango, a complete ChIA-PET data analysis pipeline that provides statistical confidence estimates for interactions and corrects for major sources of bias including differential peak enrichment and genomic proximity.RESULTS: Comparison to the existing software packages, ChIA-PET Tool and ChiaSig revealed that Mango interactions exhibit much better agreement with high-resolution Hi-C data. Importantly, Mango executes all steps required for processing ChIA-PET datasets, whereas ChiaSig only completes 20% of the required steps. Application of Mango to multiple available ChIA-PET datasets permitted the independent rediscovery of known trends in chromatin loops including enrichment of CTCF, RAD21, SMC3 and ZNF143 at the anchor regions of interactions and strong bias for convergent CTCF motifs.AVAILABILITY AND IMPLEMENTATION: Mango is open source and distributed through github at https://github.com/dphansti/mango.CONTACT: mpsnyder@standford.eduSupplementary information: Supplementary data are available at Bioinformatics online.
25970635	0	2015	PLoS One	High resolution mapping of enhancer-promoter interactions.	RNA Polymerase II ChIA-PET data has revealed enhancers that are active in a profiled cell type and the genes that the enhancers regulate through chromatin interactions. The most commonly used computational method for analyzing ChIA-PET data, the ChIA-PET Tool, discovers interaction anchors at a spatial resolution that is insufficient to accurately identify individual enhancers. We introduce Germ, a computational method that estimates the likelihood that any two narrowly defined genomic locations are jointly occupied by RNA Polymerase II. Germ takes a blind deconvolution approach to simultaneously estimate the likelihood of RNA Polymerase II occupation as well as a model of the arrangement of read alignments relative to locations occupied by RNA Polymerase II. Both types of information are utilized to estimate the likelihood that RNA Polymerase II jointly occupies any two genomic locations. We apply Germ to RNA Polymerase II ChIA-PET data from embryonic stem cells to identify the genomic locations that are jointly occupied along with transcription start sites. We show that these genomic locations align more closely with features of active enhancers measured by ChIP-Seq than the locations identified using the ChIA-PET Tool. We also apply Germ to RNA Polymerase II ChIA-PET data from motor neuron progenitors. Based on the Germ results, we observe that a combination of cell type specific and cell type independent regulatory interactions are utilized by cells to regulate gene expression.
25788621	0	2015	Bioinformatics	4DGenome: a comprehensive database of chromatin interactions.	MOTIVATION: The 3D structure of the genome plays a critical role in regulating gene expression. Recent progress in mapping technologies for chromatin interactions has led to a rapid increase in this kind of interaction data. This trend will continue as research in this burgeoning field intensifies.RESULTS: We describe the 4DGenome database that stores chromatin interaction data compiled through comprehensive literature curation. The database currently covers both low- and high-throughput assays, including 3C, 4C-Seq, 5C, Hi-C, ChIA-PET and Capture-C. To complement the set of interactions detected by experimental assays, we also include interactions predicted by a recently developed computational method with demonstrated high accuracy. The database currently contains ∼8 million records, covering 102 cell/tissue types in five organisms. Records in the database are described using a standardized file format, facilitating data exchange. The vast major of the interactions were assigned a confidence score. Using the web interface, users can query and download database records via a number of annotation dimensions. Query results can be visualized along with other genomics datasets via links to the UCSC genome browser. We anticipate that 4DGenome will be a valuable resource for investigating the spatial structure-and-function relationship of genomes.AVAILABILITY AND IMPLEMENTATION: 4Dgenome is freely accessible at http://4dgenome.int-med.uiowa.edu. The database and web interface are implemented in MySQL, Apache and JavaScript with all major browsers supported.CONTACT: kai-tan@uiowa.edu Supplementary Information: Supplementary Materials are available at Bioinformatics online.
25303531	13	2014	Cell	Control of cell identity genes occurs in insulated neighborhoods in mammalian chromosomes.	The pluripotent state of embryonic stem cells (ESCs) is produced by active transcription of genes that control cell identity and repression of genes encoding lineage-specifying developmental regulators. Here, we use ESC cohesin ChIA-PET data to identify the local chromosomal structures at both active and repressed genes across the genome. The results produce a map of enhancer-promoter interactions and reveal that super-enhancer-driven genes generally occur within chromosome structures that are formed by the looping of two interacting CTCF sites co-occupied by cohesin. These looped structures form insulated neighborhoods whose integrity is important for proper expression of local genes. We also find that repressed genes encoding lineage-specifying developmental regulators occur within insulated neighborhoods. These results provide insights into the relationship between transcriptional control of cell identity genes and control of local chromosome structure.
24501021	8	2014	Genome Res	Statistical confidence estimation for Hi-C data reveals regulatory chromatin contacts.	Our current understanding of how DNA is packed in the nucleus is most accurate at the fine scale of individual nucleosomes and at the large scale of chromosome territories. However, accurate modeling of DNA architecture at the intermediate scale of ∼50 kb-10 Mb is crucial for identifying functional interactions among regulatory elements and their target promoters. We describe a method, Fit-Hi-C, that assigns statistical confidence estimates to mid-range intra-chromosomal contacts by jointly modeling the random polymer looping effect and previously observed technical biases in Hi-C data sets. We demonstrate that our proposed approach computes accurate empirical null models of contact probability without any distribution assumption, corrects for binning artifacts, and provides improved statistical power relative to a previously described method. High-confidence contacts identified by Fit-Hi-C preferentially link expressed gene promoters to active enhancers identified by chromatin signatures in human embryonic stem cells (ESCs), capture 77% of RNA polymerase II-mediated enhancer-promoter interactions identified using ChIA-PET in mouse ESCs, and confirm previously validated, cell line-specific interactions in mouse cortex cells. We observe that insulators and heterochromatin regions are hubs for high-confidence contacts, while promoters and strong enhancers are involved in fewer contacts. We also observe that binding peaks of master pluripotency factors such as NANOG and POU5F1 are highly enriched in high-confidence contacts for human ESCs. Furthermore, we show that pairs of loci linked by high-confidence contacts exhibit similar replication timing in human and mouse ESCs and preferentially lie within the boundaries of topological domains for human and mouse cell lines.
25228660	4	2014	Genome Res	Genome-wide map of regulatory interactions in the human genome.	Increasing evidence suggests that interactions between regulatory genomic elements play an important role in regulating gene expression. We generated a genome-wide interaction map of regulatory elements in human cells (ENCODE tier 1 cells, K562, GM12878) using Chromatin Interaction Analysis by Paired-End Tag sequencing (ChIA-PET) experiments targeting six broadly distributed factors. Bound regions covered 80% of DNase I hypersensitive sites including 99.7% of TSS and 98% of enhancers. Correlating this map with ChIP-seq and RNA-seq data sets revealed cohesin, CTCF, and ZNF143 as key components of three-dimensional chromatin structure and revealed how the distal chromatin state affects gene transcription. Comparison of interactions between cell types revealed that enhancer-promoter interactions were highly cell-type-specific. Construction and comparison of distal and proximal regulatory networks revealed stark differences in structure and biological function. Proximal binding events are enriched at genes with housekeeping functions, while distal binding events interact with genes involved in dynamic biological processes including response to stimulus. This study reveals new mechanistic and functional insights into regulatory region organization in the nucleus.
24763502	2	2014	PLoS One	Characterization of genomic vitamin D receptor binding sites through chromatin looping and opening.	The vitamin D receptor (VDR) is a transcription factor that mediates the genomic effects of 1α,25-dihydroxyvitamin D3 (1,25(OH)2D3). Genome-wide there are several thousand binding sites and hundreds of primary 1,25(OH)2D3 target genes, but their functional relation is largely elusive. In this study, we used ChIA-PET data of the transcription factor CTCF in combination with VDR ChIP-seq data, in order to map chromatin domains containing VDR binding sites. In total, we found 1,599 such VDR containing chromatin domains and studied in THP-1 human monocytic leukemia cells four representatives of them. Our combined ChIP-seq and FAIRE-seq time course data showed that each of these four domains contained a master VDR binding site, where an increase of VDR binding pairs with 1,25(OH)2D3-promoted chromatin opening and the presence of a highly significant DR3-type sequence below the peak summit. These sites differed in their relative VDR binding but not in their kinetics, while other loci either had a weaker and delayed VDR association or could not be confirmed at all. All studied chromatin domains contained at least one primary 1,25(OH)2D3 target gene demonstrating a characteristic slope of mRNA increase, while neighboring genes responded delayed, if at all. In conclusion, the observation of ligand-inducible VDR binding and chromatin opening combined with a DR3-type sequence highlighted genome-wide 160 VDR loci that have within their chromatin domain a more than 4-fold increased likelihood to identify a primary 1,25(OH)2D3 target gene than in the vicinity of other genomic VDR binding sites.
