PMID	Citations	YearPubmed	Journal	Title	Abstract
25650959	1	2015	Genome Biol	Global mRNA selection mechanisms for translation initiation.	BACKGROUND: The selection and regulation of individual mRNAs for translation initiation from a competing pool of mRNA are poorly understood processes. The closed loop complex, comprising eIF4E, eIF4G and PABP, and its regulation by 4E-BPs are perceived to be key players. Using RIP-seq, we aimed to evaluate the role in gene regulation of the closed loop complex and 4E-BP regulation across the entire yeast transcriptome.RESULTS: We find that there are distinct populations of mRNAs with coherent properties: one mRNA pool contains many ribosomal protein mRNAs and is enriched specifically with all of the closed loop translation initiation components. This class likely represents mRNAs that rely heavily on the closed loop complex for protein synthesis. Other heavily translated mRNAs are apparently under-represented with most closed loop components except Pab1p. Combined with data showing a close correlation between Pab1p interaction and levels of translation, these data suggest that Pab1p is important for the translation of these mRNAs in a closed loop independent manner. We also identify a translational regulatory mechanism for the 4E-BPs; these appear to self-regulate by inhibiting translation initiation of their own mRNAs.CONCLUSIONS: Overall, we show that mRNA selection for translation initiation is not as uniformly regimented as previously anticipated. Components of the closed loop complex are highly relevant for many mRNAs, but some heavily translated mRNAs interact poorly with this machinery. Therefore, alternative, possibly Pab1p-dependent mechanisms likely exist to load ribosomes effectively onto mRNAs. Finally, these studies identify and characterize a complex self-regulatory circuit for the yeast 4E-BPs.
25569619	1	2015	PLoS Genet	The yeast La related protein Slf1p is a key activator of translation during the oxidative stress response.	The mechanisms by which RNA-binding proteins control the translation of subsets of mRNAs are not yet clear. Slf1p and Sro9p are atypical-La motif containing proteins which are members of a superfamily of RNA-binding proteins conserved in eukaryotes. RIP-Seq analysis of these two yeast proteins identified overlapping and distinct sets of mRNA targets, including highly translated mRNAs such as those encoding ribosomal proteins. In paralell, transcriptome analysis of slf1Δ and sro9Δ mutant strains indicated altered gene expression in similar functional classes of mRNAs following loss of each factor. The loss of SLF1 had a greater impact on the transcriptome, and in particular, revealed changes in genes involved in the oxidative stress response. slf1Δ cells are more sensitive to oxidants and RIP-Seq analysis of oxidatively stressed cells enriched Slf1p targets encoding antioxidants and other proteins required for oxidant tolerance. To quantify these effects at the protein level, we used label-free mass spectrometry to compare the proteomes of wild-type and slf1Δ strains following oxidative stress. This analysis identified several proteins which are normally induced in response to hydrogen peroxide, but where this increase is attenuated in the slf1Δ mutant. Importantly, a significant number of the mRNAs encoding these targets were also identified as Slf1p-mRNA targets. We show that Slf1p remains associated with the few translating ribosomes following hydrogen peroxide stress and that Slf1p co-immunoprecipitates ribosomes and members of the eIF4E/eIF4G/Pab1p 'closed loop' complex suggesting that Slf1p interacts with actively translated mRNAs following stress. Finally, mutational analysis of SLF1 revealed a novel ribosome interacting domain in Slf1p, independent of its RNA binding La-motif. Together, our results indicate that Slf1p mediates a translational response to oxidative stress via mRNA-specific translational control.
26162078	0	2015	PLoS One	Transcriptomic-Wide Discovery of Direct and Indirect HuR RNA Targets in Activated CD4+ T Cells.	Due to poor correlation between steady state mRNA levels and protein product, purely transcriptomic profiling methods may miss genes posttranscriptionally regulated by RNA binding proteins (RBPs) and microRNAs (miRNAs). RNA immunoprecipitation (RIP) methods developed to identify in vivo targets of RBPs have greatly elucidated those mRNAs which may be regulated via transcript stability and translation. The RBP HuR (ELAVL1) and family members are major stabilizers of mRNA. Many labs have identified HuR mRNA targets; however, many of these analyses have been performed in cell lines and oftentimes are not independent biological replicates. Little is known about how HuR target mRNAs behave in conditional knock-out models. In the present work, we performed HuR RIP-Seq and RNA-Seq to investigate HuR direct and indirect targets using a novel conditional knock-out model of HuR genetic ablation during CD4+ T activation and Th2 differentiation. Using independent biological replicates, we generated a high coverage RIP-Seq data set (&gt;160 million reads) that was analyzed using bioinformatics methods specifically designed to find direct mRNA targets in RIP-Seq data. Simultaneously, another set of independent biological replicates were sequenced by RNA-Seq (&gt;425 million reads) to identify indirect HuR targets. These direct and indirect targets were combined to determine canonical pathways in CD4+ T cell activation and differentiation for which HuR plays an important role. We show that HuR may regulate genes in multiple canonical pathways involved in T cell activation especially the CD28 family signaling pathway. These data provide insights into potential HuR-regulated genes during T cell activation and immune mechanisms.
26149387	0	2015	Mol Cell Biol	LIN28A modulates splicing and gene expression programs in breast cancer cells.	LIN28 is an evolutionarily conserved RNA-binding protein with critical functions in developmental timing and cancer. However molecular mechanisms underlying LIN28's oncogenic properties are yet to be described. RIP-Seq analysis revealed significant LIN28 binding within 843 mRNAs in breast cancer cells. Many of the LIN28 bound mRNAs are implicated in the regulation of RNA and cell metabolism. We identify heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1), a protein with multiple roles in mRNA metabolism, as a LIN28 interacting partner. Subsequently, we use a custom computational method to identify differentially spliced gene isoforms in LIN28 and hnRNP A1 siRNA-treated cells. Results reveal these proteins regulate alternative splicing and steady state mRNA expression of genes implicated in aspects of breast cancer biology. Notably, cells lacking LIN28 undergo significant isoform switching of the ENAH gene, resulting in a decrease in the expression of ENAH exon 11a isoform. Expression of ENAH isoform 11a has been shown to be elevated in breast cancers that express HER2. Intriguingly, analysis of publicly available TCGA array data reveals LIN28 expression is significantly different in HER2 compared to other breast cancer subtypes. Collectively, our data suggests that LIN28 may regulate splicing and gene expression programs that drive breast cancer subtype phenotypes.
26070955	0	2015	BMC Genomics	deGPS is a powerful tool for detecting differential expression in RNA-sequencing studies.	BACKGROUND: The advent of the NGS technologies has permitted profiling of whole-genome transcriptomes (i.e., RNA-Seq) at unprecedented speed and very low cost. RNA-Seq provides a far more precise measurement of transcript levels and their isoforms compared to other methods such as microarrays. A fundamental goal of RNA-Seq is to better identify expression changes between different biological or disease conditions. However, existing methods for detecting differential expression from RNA-Seq count data have not been comprehensively evaluated in large-scale RNA-Seq datasets. Many of them suffer from inflation of type I error and failure in controlling false discovery rate especially in the presence of abnormal high sequence read counts in RNA-Seq experiments.RESULTS: To address these challenges, we propose a powerful and robust tool, termed deGPS, for detecting differential expression in RNA-Seq data. This framework contains new normalization methods based on generalized Poisson distribution modeling sequence count data, followed by permutation-based differential expression tests. We systematically evaluated our new tool in simulated datasets from several large-scale TCGA RNA-Seq projects, unbiased benchmark data from compcodeR package, and real RNA-Seq data from the development transcriptome of Drosophila. deGPS can precisely control type I error and false discovery rate for the detection of differential expression and is robust in the presence of abnormal high sequence read counts in RNA-Seq experiments.CONCLUSIONS: Software implementing our deGPS was released within an R package with parallel computations ( https://github.com/LL-LAB-MCW/deGPS ). deGPS is a powerful and robust tool for data normalization and detecting different expression in RNA-Seq experiments. Beyond RNA-Seq, deGPS has the potential to significantly enhance future data analysis efforts from many other high-throughput platforms such as ChIP-Seq, MBD-Seq and RIP-Seq.
26054396	0	2015	Genome Biol	Drosophila Imp iCLIP identifies an RNA assemblage coordinating F-actin formation.	BACKGROUND: Post-transcriptional RNA regulons ensure coordinated expression of monocistronic mRNAs encoding functionally related proteins. In this study, we employ a combination of RIP-seq and short- and long-wave individual-nucleotide resolution crosslinking and immunoprecipitation (iCLIP) technologies in Drosophila cells to identify transcripts associated with cytoplasmic ribonucleoproteins (RNPs) containing the RNA-binding protein Imp.RESULTS: We find extensive binding of Imp to 3' UTRs of transcripts that are involved in F-actin formation. A common denominator of the RNA-protein interface is the presence of multiple motifs with a central UA-rich element flanked by CA-rich elements. Experiments in single cells and intact flies reveal compromised actin cytoskeletal dynamics associated with low Imp levels. The former shows reduced F-actin formation and the latter exhibits abnormal neuronal patterning. This demonstrates a physiological significance of the defined RNA regulon.CONCLUSIONS: Our data imply that Drosophila Imp RNPs may function as cytoplasmic mRNA assemblages that encode proteins which participate in actin cytoskeletal remodeling. Thus, they may facilitate coordinated protein expression in sub-cytoplasmic locations such as growth cones.
25848059	0	2015	Proc Natl Acad Sci U S A	Potential role for snoRNAs in PKR activation during metabolic stress.	Protein kinase RNA-activated (PKR) has long been known to be activated by viral double-stranded RNA (dsRNA) as part of the mammalian immune response. However, in mice PKR is also activated by metabolic stress in the absence of viral infection, and this requires a functional kinase domain, as well as a functional dsRNA-binding domain. The endogenous cellular RNA that potentially leads to PKR activation during metabolic stress is unknown. We investigated this question using mouse embryonic fibroblast cells expressing wild-type PKR (PKRWT) or PKR with a point mutation in each dsRNA-binding motif (PKRRM). Using this system, we identified endogenous RNA that interacts with PKR after induction of metabolic stress by palmitic acid (PA) treatment. Specifically, RIP-Seq analyses showed that the majority of enriched RNAs that interacted with WT PKR (≥twofold, false discovery rate ≤ 5%) were small nucleolar RNAs (snoRNAs). Immunoprecipitation of PKR in extracts of UV-cross-linked cells, followed by RT-qPCR, confirmed that snoRNAs were enriched in PKRWT samples after PA treatment, but not in the PKRRM samples. We also demonstrated that a subset of identified snoRNAs bind and activate PKR in vitro; the presence of a 5'-triphosphate enhanced PKR activity compared with the activity with a 5'-monophosphate, for some, but not all, snoRNAs. Finally, we demonstrated PKR activation in cells upon snoRNA transfection, supporting our hypothesis that endogenous snoRNAs can activate PKR. Our results suggest an unprecedented and unexpected model whereby snoRNAs play a role in the activation of PKR under metabolic stress.
25827894	0	2015	Methods Mol Biol	Transcriptome-wide identification of in vivo interactions between RNAs and RNA-binding proteins by RIP and PAR-CLIP assays.	Comprehensive genomic and computational studies in the era of high-throughput sequencing revealed that the major proportion of the human genome is transcribed. This novel insight confronted the scientific community with new questions concerning the expanded role of RNA, especially noncoding RNA (ncRNA), in cellular pathways. In recent years, there has been mounting evidence that ncRNAs and RNA binding proteins (RBPs) are involved in a wide range of biological processes, such as developmental transitions, cell differentiation, stress response, genome organization, and regulation of gene expression. In particular, in the chromatin field long noncoding RNAs (lncRNAs) have drawn increasing attention to their function in epigenetic regulation due to the fact that they were found to interact with multiple chromatin regulators and modifiers. Recently, techniques to study the extent of RNA-protein interactions have been developed in many research laboratories. Here we describe protocols for RNA Immunoprecipitation-Sequencing (RIP-Seq) and Photoactivatable-Ribonucleoside-Enhanced Cross-linking and Immunoprecipitation combined with deep sequencing (PAR-CLIP-Seq) to identify RNA targets of RNA-binding proteins (RBPs) on a transcriptome-wide level, discussing advantages and drawbacks.
25577386	0	2015	Methods Mol Biol	RIP-Seq data analysis to determine RNA-protein associations.	Next-generation sequencing (NGS) technologies have opened new avenues of unprecedented power for research in molecular biology and genetics. In particular, their application to the study of RNA-binding proteins (RBPs), extracted through immunoprecipitation (RIP), permits to sequence and characterize all RNAs that were found to be bound in vivo by a given RBP (RIP-Seq). On the other hand, NGS-based experiments, including RIP-Seq, produce millions of short sequence fragments that have to be processed with suitable bioinformatic tools and methods to recover and/or quantify the original sequence sample. In this chapter we provide a survey of different approaches that can be taken for the analysis of RIP-Seq data and the identification of the RNAs bound by a given RBP.
25184677	5	2014	Genes Dev	A post-translational regulatory switch on UPF1 controls targeted mRNA degradation.	Nonsense-mediated mRNA decay (NMD) controls the quality of eukaryotic gene expression and also degrades physiologic mRNAs. How NMD targets are identified is incompletely understood. A central NMD factor is the ATP-dependent RNA helicase upframeshift 1 (UPF1). Neither the distance in space between the termination codon and the poly(A) tail nor the binding of steady-state, largely hypophosphorylated UPF1 is a discriminating marker of cellular NMD targets, unlike for premature termination codon (PTC)-containing reporter mRNAs when compared with their PTC-free counterparts. Here, we map phosphorylated UPF1 (p-UPF1)-binding sites using transcriptome-wide footprinting or DNA oligonucleotide-directed mRNA cleavage to report that p-UPF1 provides the first reliable cellular NMD target marker. p-UPF1 is enriched on NMD target 3' untranslated regions (UTRs) along with suppressor with morphogenic effect on genitalia 5 (SMG5) and SMG7 but not SMG1 or SMG6. Immunoprecipitations of UPF1 variants deficient in various aspects of the NMD process in parallel with Förster resonance energy transfer (FRET) experiments reveal that ATPase/helicase-deficient UPF1 manifests high levels of RNA binding and disregulated hyperphosphorylation, whereas wild-type UPF1 releases from nonspecific RNA interactions in an ATP hydrolysis-dependent mechanism until an NMD target is identified. 3' UTR-associated UPF1 undergoes regulated phosphorylation on NMD targets, providing a binding platform for mRNA degradative activities. p-UPF1 binding to NMD target 3' UTRs is stabilized by SMG5 and SMG7. Our results help to explain why steady-state UPF1 binding is not a marker for cellular NMD substrates and how this binding is transformed to induce mRNA decay.
