PMID	Citations	YearPubmed	Journal	Title	Abstract
26184873	0	2015	Nucleic Acids Res	Detection of differentially methylated regions from whole-genome bisulfite sequencing data without replicates.	DNA methylation is an important epigenetic modification involved in many biological processes and diseases. Recent developments in whole genome bisulfite sequencing (WGBS) technology have enabled genome-wide measurements of DNA methylation at single base pair resolution. Many experiments have been conducted to compare DNA methylation profiles under different biological contexts, with the goal of identifying differentially methylated regions (DMRs). Due to the high cost of WGBS experiments, many studies are still conducted without biological replicates. Methods and tools available for analyzing such data are very limited.We develop a statistical method, DSS-single, for detecting DMRs from WGBS data without replicates. We characterize the count data using a rigorous model that accounts for the spatial correlation of methylation levels, sequence depth and biological variation. We demonstrate that using information from neighboring CG sites, biological variation can be estimated accurately even without replicates. DMR detection is then carried out via a Wald test procedure. Simulations demonstrate that DSS-single has greater sensitivity and accuracy than existing methods, and an analysis of H1 versus IMR90 cell lines suggests that it also yields the most biologically meaningful results. DSS-single is implemented in the Bioconductor package DSS.
26176536	0	2015	PLoS One	swDMR: A Sliding Window Approach to Identify Differentially Methylated Regions Based on Whole Genome Bisulfite Sequencing.	DNA methylation is a widespread epigenetic modification that plays an essential role in gene expression through transcriptional regulation and chromatin remodeling. The emergence of whole genome bisulfite sequencing (WGBS) represents an important milestone in the detection of DNA methylation. Characterization of differential methylated regions (DMRs) is fundamental as well for further functional analysis. In this study, we present swDMR (http://sourceforge.net/projects/swdmr/) for the comprehensive analysis of DMRs from whole genome methylation profiles by a sliding window approach. It is an integrated tool designed for WGBS data, which not only implements accessible statistical methods to perform hypothesis test adapted to two or more samples without replicates, but false discovery rate was also controlled by multiple test correction. Downstream analysis tools were also provided, including cluster, annotation and visualization modules. In summary, based on WGBS data, swDMR can produce abundant information of differential methylated regions. As a convenient and flexible tool, we believe swDMR will bring us closer to unveil the potential functional regions involved in epigenetic regulation.
26100871	0	2015	Proc Natl Acad Sci U S A	Genetic and epigenetic architecture of sex-biased expression in the jewel wasps Nasonia vitripennis and giraulti.	There is extraordinary diversity in sexual dimorphism (SD) among animals, but little is known about its epigenetic basis. To study the epigenetic architecture of SD in a haplodiploid system, we performed RNA-seq and whole-genome bisulfite sequencing of adult females and males from two closely related parasitoid wasps, Nasonia vitripennis and Nasonia giraulti. More than 75% of expressed genes displayed significantly sex-biased expression. As a consequence, expression profiles are more similar between species within each sex than between sexes within each species. Furthermore, extremely male- and female-biased genes are enriched for totally different functional categories: male-biased genes for key enzymes in sex-pheromone synthesis and female-biased genes for genes involved in epigenetic regulation of gene expression. Remarkably, just 70 highly expressed, extremely male-biased genes account for 10% of all transcripts in adult males. Unlike expression profiles, DNA methylomes are highly similar between sexes within species, with no consistent sex differences in methylation found. Therefore, methylation changes cannot explain the extensive level of sex-biased gene expression observed. Female-biased genes have smaller sequence divergence between species, higher conservation to other hymenopterans, and a broader expression range across development. Overall, female-biased genes have been recruited from genes with more conserved and broadly expressing &quot;house-keeping&quot; functions, whereas male-biased genes are more recently evolved and are predominately testis specific. In summary, Nasonia accomplish a striking degree of sex-biased expression without sex chromosomes or epigenetic differences in methylation. We propose that methylation provides a general signal for constitutive gene expression, whereas other sex-specific signals cause sex-biased gene expression.
26072424	0	2015	Plant Mol Biol	Accurate CpG and non-CpG cytosine methylation analysis by high-throughput locus-specific pyrosequencing in plants.	Pyrosequencing permits accurate quantification of DNA methylation of specific regions where the proportions of the C/T polymorphism induced by sodium bisulfite treatment of DNA reflects the DNA methylation level. The commercially available high-throughput locus-specific pyrosequencing instruments allow for the simultaneous analysis of 96 samples, but restrict the DNA methylation analysis to CpG dinucleotide sites, which can be limiting in many biological systems. In contrast to mammals where DNA methylation occurs nearly exclusively on CpG dinucleotides, plants genomes harbor DNA methylation also in other sequence contexts including CHG and CHH motives, which cannot be evaluated by these pyrosequencing instruments due to software limitations. Here, we present a complete pipeline for accurate CpG and non-CpG cytosine methylation analysis at single base-resolution using high-throughput locus-specific pyrosequencing. The devised approach includes the design and validation of PCR amplification on bisulfite-treated DNA and pyrosequencing assays as well as the quantification of the methylation level at every cytosine from the raw peak intensities of the Pyrograms by two newly developed Visual Basic Applications. Our method presents accurate and reproducible results as exemplified by the cytosine methylation analysis of the promoter regions of two Tomato genes (NOR and CNR) encoding transcription regulators of fruit ripening during different stages of fruit development. Our results confirmed a significant and temporally coordinated loss of DNA methylation on specific cytosines during the early stages of fruit development in both promoters as previously shown by WGBS. The manuscript describes thus the first high-throughput locus-specific DNA methylation analysis in plants using pyrosequencing.
26036609	0	2015	Epigenetics	A systematic study of normalization methods for Infinium 450K methylation data using whole-genome bisulfite sequencing data.	DNA methylation plays an important role in disease etiology. The Illumina Infinium HumanMethylation450 (450K) BeadChip is a widely used platform in large-scale epidemiologic studies. This platform can efficiently and simultaneously measure methylation levels at ∼480,000 CpG sites in the human genome in multiple study samples. Due to the intrinsic chip design of 2 types of chemistry probes, data normalization or preprocessing is a critical step to consider before data analysis. To date, numerous methods and pipelines have been developed for this purpose, and some studies have been conducted to evaluate different methods. However, validation studies have often been limited to a small number of CpG sites to reduce the variability in technical replicates. In this study, we measured methylation on a set of samples using both whole-genome bisulfite sequencing (WGBS) and 450K chips. We used WGBS data as a gold standard of true methylation states in cells to compare the performances of 8 normalization methods for 450K data on a genome-wide scale. Analyses on our dataset indicate that the most effective methods are peak-based correction (PBC) and quantile normalization plus β-mixture quantile normalization (QN.BMIQ). To our knowledge, this is the first study to systematically compare existing normalization methods for Illumina 450K data using novel WGBS data. Our results provide a benchmark reference for the analysis of DNA methylation chip data, particularly in white blood cells.
26004067	0	2015	Cell	DNA Demethylation Dynamics in the Human Prenatal Germline.	Global DNA demethylation in humans is a fundamental process that occurs in pre-implantation embryos and reversion to naive ground state pluripotent stem cells (PSCs). However, the extent of DNA methylation reprogramming in human germline cells is unknown. Here, we performed whole-genome bisulfite sequencing (WGBS) and RNA-sequencing (RNA-seq) of human prenatal germline cells from 53 to 137 days of development. We discovered that the transcriptome and methylome of human germline is distinct from both human PSCs and the inner cell mass (ICM) of human blastocysts. Using this resource to monitor the outcome of global DNA demethylation with reversion of primed PSCs to the naive ground state, we uncovered hotspots of ultralow methylation at transposons that are protected from demethylation in the germline and ICM. Taken together, the human germline serves as a valuable in vivo tool for monitoring the epigenome of cells that have emerged from a global DNA demethylation event.
25974955	0	2015	IEEE J Biomed Health Inform	Regulatory Elements in Low-Methylated Regions Predict Directional Change of Gene Expression.	Recent studies on methylomes obtained from the whole genome bisulfite sequencing (WGBS) indicate that lowmethylated regions (LMRs) are related to potential active distal regulatory regions such as enhancers in mammalian genomes. To investigate the potential effect of regulatory elements in LMRs on gene expression, we proposed penalized logistic regression models to predict the directional change of differentially expressed genes using predicted transcription factor binding sites (TFBSs) in LMRs that are distinctive between two cell types. We evaluated our models on four cell types where the WGBS and RNA-seq data were available. The average area under the ROC curve (AUC) from the 10-fold cross-validation was computed over the 6 pairs of cell types in each model. The models using TFBSs in LMRs in intergenic or genebody region are more predictive (AUC 0.71 and 0.66 respectively) compared with the one using TFBSs from promoter regions alone (AUC 0.62). When using a model that combines TFBSs in LMRs from both intergenic and genebody regions, the best prediction was obtained (AUC 0.78). Our models are capable of identifying subsets of LMRs that are significantly enriched for the ChIP-seq binding sites of the insulator protein CTCF and p300 co-activator and other transcription factors. Our framework provides further evidences of putative distal regulatory elements from LMRs located in intergenic and genebody regions.
25928765	0	2015	BMC Bioinformatics	coMET: visualisation of regional epigenome-wide association scan results and DNA co-methylation patterns.	BACKGROUND: Epigenome-wide association scans (EWAS) are an increasingly powerful and widely-used approach to assess the role of epigenetic variation in human complex traits. However, this rapidly emerging field lacks dedicated visualisation tools that can display features specific to epigenetic datasets.RESULT: We developed coMET, an R package and online tool for visualisation of EWAS results in a genomic region of interest. coMET generates a regional plot of epigenetic-phenotype association results and the estimated DNA methylation correlation between CpG sites (co-methylation), with further options to visualise genomic annotations based on ENCODE data, gene tracks, reference CpG-sites, and user-defined features. The tool can be used to display phenotype association signals and correlation patterns of microarray or sequencing-based DNA methylation data, such as Illumina Infinium 450k, WGBS, or MeDIP-seq, as well as other types of genomic data, such as gene expression profiles. The software is available as a user-friendly online tool from http://epigen.kcl.ac.uk/comet and as an R Bioconductor package. Source code, examples, and full documentation are also available from GitHub.CONCLUSION: Our new software allows visualisation of EWAS results with functional genomic annotations and with estimation of co-methylation patterns. coMET is available to a wide audience as an online tool and R package, and can be a valuable resource to interpret results in the fast growing field of epigenetics. The software is designed for epigenetic data, but can also be applied to genomic and functional genomic datasets in any species.
25788985	0	2015	Epigenetics Chromatin	Genome-wide assays that identify and quantify modified cytosines in human disease studies.	The number of different assays that has been published to study DNA methylation is extensive, complemented by recently described assays that test modifications of cytosine other than the most abundant 5-methylcytosine (5mC) variant. In this review, we describe the considerations involved in choosing how to study 5mC throughout the genome, with an emphasis on the common application of testing for epigenetic dysregulation in human disease. While microarray studies of 5mC continue to be commonly used, these lack the additional qualitative information from sequencing-based approaches that is increasingly recognized to be valuable. When we test the representation of functional elements in the human genome by several current assay types, we find that no survey approach interrogates anything more than a small minority of the nonpromoter cis-regulatory sites where DNA methylation variability is now appreciated to influence gene expression and to be associated with human disease. However, whole-genome bisulphite sequencing (WGBS) adds a substantial representation of loci at which DNA methylation changes are unlikely to be occurring with transcriptional consequences. Our assessment is that the most effective approach to DNA methylation studies in human diseases is to use targeted bisulphite sequencing of the cis-regulatory loci in a cell type of interest, using a capture-based or comparable system, and that no single design of a survey approach will be suitable for all cell types.
25777524	0	2015	Bioinformatics	WGBSSuite: simulating whole-genome bisulphite sequencing data and benchmarking differential DNA methylation analysis tools.	MOTIVATION: As the number of studies looking at differences between DNA methylation increases, there is a growing demand to develop and benchmark statistical methods to analyse these data. To date no objective approach for the comparison of these methods has been developed and as such it remains difficult to assess which analysis tool is most appropriate for a given experiment. As a result, there is an unmet need for a DNA methylation data simulator that can accurately reproduce a wide range of experimental setups, and can be routinely used to compare the performance of different statistical models.RESULTS: We have developed WGBSSuite, a flexible stochastic simulation tool that generates single-base resolution DNA methylation data genome-wide. Several simulator parameters can be derived directly from real datasets provided by the user in order to mimic real case scenarios. Thus, it is possible to choose the most appropriate statistical analysis tool for a given simulated design. To show the usefulness of our simulator, we also report a benchmark of commonly used methods for differential methylation analysis.AVAILABILITY AND IMPLEMENTATION: WGBS code and documentation are available under GNU licence at http://www.wgbssuite.org.uk/CONTACT: : owen.rackham@imperial.ac.uk or l.bottolo@imperial.ac.ukSUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.
25732828	0	2015	Cell Rep	Single-cell DNA methylome sequencing and bioinformatic inference of epigenomic cell-state dynamics.	Methods for single-cell genome and transcriptome sequencing have contributed to our understanding of cellular heterogeneity, whereas methods for single-cell epigenomics are much less established. Here, we describe a whole-genome bisulfite sequencing (WGBS) assay that enables DNA methylation mapping in very small cell populations (μWGBS) and single cells (scWGBS). Our assay is optimized for profiling many samples at low coverage, and we describe a bioinformatic method that analyzes collections of single-cell methylomes to infer cell-state dynamics. Using these technological advances, we studied epigenomic cell-state dynamics in three in vitro models of cellular differentiation and pluripotency, where we observed characteristic patterns of epigenome remodeling and cell-to-cell heterogeneity. The described method enables single-cell analysis of DNA methylation in a broad range of biological systems, including embryonic development, stem cell differentiation, and cancer. It can also be used to establish composite methylomes that account for cell-to-cell heterogeneity in complex tissue samples.
25687465	0	2015	Epigenomics	Improved tagmentation-based whole-genome bisulfite sequencing for input DNA from less than 100 mammalian cells.	AIM: To develop a whole-genome methylation sequencing method that fulfills the needs for studies using ultra-low-input DNA.MATERIALS &amp; METHODS: The tagmentation-based whole-genome bisulfite sequencing (T-WGBS) technology is modified, enabling stable library construction with complexity from minimally 0.5 ng of initial genomic DNA, which equals less than 100 mammalian cells.RESULTS: We thoroughly assessed the performance of this T-WGBS method by sequencing the methylomes of a rice strain and pre-implantation embryos of rhesus monkey and compare to traditional WGBS approach, thereby demonstrating the efficacy of this new approach.CONCLUSION: This new approach is highly attractive for the complete methylome analysis of very few cells, for example, mammalian pre-implantation embryos, or tiny human biopsy specimens.
25638564	0	2015	Mol Plant	Crop Epigenomics: Identifying, Unlocking, and Harnessing Cryptic Variation in Crop Genomes.	DNA methylation is a key chromatin modification in plant genomes that is meiotically and mitotically heritable, and at times is associated with gene expression and morphological variation. Benefiting from the increased availability of high-quality reference genome assemblies and methods to profile single-base resolution DNA methylation states, DNA methylomes for many crop species are available. These efforts are making it possible to begin answering crucial questions, including understanding the role of DNA methylation in developmental processes, its role in crop species evolution, and whether DNA methylation is dynamically altered and heritable in response to changes in the environment. These genome-wide maps provide evidence for the existence of silent epialleles in plant genomes which, once identified, can be targeted for reactivation leading to phenotypic variation.
25553811	0	2015	J Bioinform Comput Biol	AKSmooth: enhancing low-coverage bisulfite sequencing data via kernel-based smoothing.	Whole-genome bisulfite sequencing (WGBS) is an approach of growing importance. It is the only approach that provides a comprehensive picture of the genome-wide DNA methylation profile. However, obtaining a sufficient amount of genome and read coverage typically requires high sequencing costs. Bioinformatics tools can reduce this cost burden by improving the quality of sequencing data. We have developed a statistical method Ajusted Local Kernel Smoother (AKSmooth) that can accurately and efficiently reconstruct the single CpG methylation estimate across the entire methylome using low-coverage bisulfite sequencing (Bi-Seq) data. We demonstrate the AKSmooth performance on the low-coverage (~ 4 ×) DNA methylation profiles of three human colon cancer samples and matched controls. Under the best set of parameters, AKSmooth-curated data showed high concordance with the gold standard high-coverage sample (Pearson 0.90), outperforming the popular analogous method. In addition, AKSmooth showed computational efficiency with runtime benchmark over 4.5 times better than the reference tool. To summarize, AKSmooth is a simple and efficient tool that can provide an accurate human colon methylome estimation profile from low-coverage WGBS data. The proposed method is implemented in R and is available at https://github.com/Junfang/AKSmooth.
25223896	5	2014	Genes Dev	Role of Tet proteins in enhancer activity and telomere elongation.	DNA methylation at the C-5 position of cytosine (5mC) is one of the best-studied epigenetic modifications and plays important roles in diverse biological processes. Iterative oxidation of 5mC by the ten-eleven translocation (Tet) family of proteins generates 5-hydroxymethylcytosine (5hmC), 5-formylcytosine (5fC), and 5-carboxylcytosine (5caC). 5fC and 5caC are selectively recognized and excised by thymine DNA glycosylase (TDG), leading to DNA demethylation. Functional characterization of Tet proteins has been complicated by the redundancy between the three family members. Using CRISPR/Cas9 technology, we generated mouse embryonic stem cells (ESCs) deficient for all three Tet proteins (Tet triple knockout [TKO]). Whole-genome bisulfite sequencing (WGBS) analysis revealed that Tet-mediated DNA demethylation mainly occurs at distally located enhancers and fine-tunes the transcription of genes associated with these regions. Functional characterization of Tet TKO ESCs revealed a role for Tet proteins in regulating the two-cell embryo (2C)-like state under ESC culture conditions. In addition, Tet TKO ESCs exhibited increased telomere-sister chromatid exchange and elongated telomeres. Collectively, our study reveals a role for Tet proteins in not only DNA demethylation at enhancers but also regulating the 2C-like state and telomere homeostasis.
24608764	5	2014	Bioinformatics	DMAP: differential methylation analysis package for RRBS and WGBS data.	MOTIVATION: The rapid development of high-throughput sequencing technologies has enabled epigeneticists to quantify DNA methylation on a massive scale. Progressive increase in sequencing capacity present challenges in terms of processing analysis and the interpretation of the large amount of data; investigating differential methylation between genome-scale data from multiple samples highlights this challenge.RESULTS: We have developed a differential methylation analysis package (DMAP) to generate coverage-filtered reference methylomes and to identify differentially methylated regions across multiple samples from reduced representation bisulphite sequencing and whole genome bisulphite sequencing experiments. We introduce a novel fragment-based approach for investigating DNA methylation patterns for reduced representation bisulphite sequencing data. Further, DMAP provides the identity of gene and CpG features and distances to the differentially methylated regions in a format that is easily analyzed with limited bioinformatics knowledge.AVAILABILITY AND IMPLEMENTATION: The software has been implemented in C and has been written to ensure portability between different platforms. The source code and documentation is freely available (DMAP: as compressed TAR archive folder) from http://biochem.otago.ac.nz/research/databases-software/. Two test datasets are also available for download from the Web site. Test dataset 1 contains reads from chromosome 1 of a patient and a control, which is used for comparative analysis in the current article. Test dataset 2 contains reads from a part of chromosome 21 of three disease and three control samples for testing the operation of DMAP, especially for the analysis of variance. Example commands for the analyses are included.
24717538	4	2014	Epigenetics	The evidence for functional non-CpG methylation in mammalian cells.	In mammalian genomes, the methylation of cytosine residues within CpG dinucleotides is crucial to normal development and cell differentiation. However, methylation of cytosines in the contexts of CpA, CpT, and CpC (non-CpG methylation) has been reported for decades, yet remains poorly understood. In recent years, whole genome bisulphite sequencing (WGBS) has confirmed significant levels of non-CpG methylation in specific tissues and cell types. Non-CpG methylation has several properties that distinguish it from CpG methylation. Here we review the literature describing non-CpG methylation in mammalian cells, describe the important characteristics that distinguish it from CpG methylation, and discuss its functional importance.
25448294	2	2014	Methods	Combining MeDIP-seq and MRE-seq to investigate genome-wide CpG methylation.	DNA CpG methylation is a widespread epigenetic mark in high eukaryotes including mammals. DNA methylation plays key roles in diverse biological processes such as X chromosome inactivation, transposable element repression, genomic imprinting, and control of gene expression. Recent advancements in sequencing-based DNA methylation profiling methods provide an unprecedented opportunity to measure DNA methylation in a genome-wide fashion, making it possible to comprehensively investigate the role of DNA methylation. Several methods have been developed, such as Whole Genome Bisulfite Sequencing (WGBS), Reduced Representation Bisulfite Sequencing (RRBS), and enrichment-based methods including Methylation Dependent ImmunoPrecipitation followed by sequencing (MeDIP-seq), methyl-CpG binding domain (MBD) protein-enriched genome sequencing (MBD-seq), methyltransferase-directed Transfer of Activated Groups followed by sequencing (mTAG), and Methylation-sensitive Restriction Enzyme digestion followed by sequencing (MRE-seq). These methods differ by their genomic CpG coverage, resolution, quantitative accuracy, cost, and software for analyzing the data. Among these, WGBS is considered the gold standard. However, it is still a cost-prohibitive technology for a typical laboratory due to the required sequencing depth. We found that by integrating two enrichment-based methods that are complementary in nature (i.e., MeDIP-seq and MRE-seq), we can significantly increase the efficiency of whole DNA methylome profiling. By using two recently developed computational algorithms (i.e., M&amp;M and methylCRF), the combination of MeDIP-seq and MRE-seq produces genome-wide CpG methylation measurement at high coverage and high resolution, and robust predictions of differentially methylated regions. Thus, the combination of the two enrichment-based methods provides a cost-effective alternative to WGBS. In this article we describe both the experimental protocols for performing MeDIP-seq and MRE-seq, and the computational protocols for running M&amp;M and methylCRF.
25374580	1	2014	Front Genet	Methylated DNA is over-represented in whole-genome bisulfite sequencing data.	The development of whole-genome bisulfite sequencing (WGBS) has resulted in a number of exciting discoveries about the role of DNA methylation leading to a plethora of novel testable hypotheses. Methods for constructing sodium bisulfite-converted and amplified libraries have recently advanced to the point that the bottleneck for experiments that use WGBS has shifted to data analysis and interpretation. Here we present empirical evidence for an over-representation of reads from methylated DNA in WGBS. This enrichment for methylated DNA is exacerbated by higher cycles of PCR and is influenced by the type of uracil-insensitive DNA polymerase used for amplifying the sequencing library. Future efforts to computationally correct for this enrichment bias will be essential to increasing the accuracy of determining methylation levels for individual cytosines. It is especially critical for studies that seek to accurately quantify DNA methylation levels in populations that may segregate for allelic DNA methylation states.
24860595	1	2014	Front Genet	Exploring genome wide bisulfite sequencing for DNA methylation analysis in livestock: a technical assessment.	Recent advances made in &quot;omics&quot; technologies are contributing to a revolution in livestock selection and breeding practices. Epigenetic mechanisms, including DNA methylation are important determinants for the control of gene expression in mammals. DNA methylation research will help our understanding of how environmental factors contribute to phenotypic variation of complex production and health traits. High-throughput sequencing is a vital tool for the comprehensive analysis of DNA methylation, and bisulfite-based strategies coupled with DNA sequencing allows for quantitative, site-specific methylation analysis at the genome level or genome wide. Reduced representation bisulfite sequencing (RRBS) and more recently whole genome bisulfite sequencing (WGBS) have proven to be effective techniques for studying DNA methylation in both humans and mice. Here we report the development of RRBS and WGBS for use in sheep, the first application of this technology in livestock species. Important technical issues associated with these methodologies including fragment size selection and sequence depth are examined and discussed.
