PMID	Citations	YearPubmed	Journal	Title	Abstract
25713380	5	2015	Proc Natl Acad Sci U S A	Analysis of 13 cell types reveals evidence for the expression of numerous novel primate- and tissue-specific microRNAs.	Two decades after the discovery of the first animal microRNA (miRNA), the number of miRNAs in animal genomes remains a vexing question. Here, we report findings from analyzing 1,323 short RNA sequencing samples (RNA-seq) from 13 different human tissue types. Using stringent thresholding criteria, we identified 3,707 statistically significant novel mature miRNAs at a false discovery rate of ≤ 0.05 arising from 3,494 novel precursors; 91.5% of these novel miRNAs were identified independently in 10 or more of the processed samples. Analysis of these novel miRNAs revealed tissue-specific dependencies and a commensurate low Jaccard similarity index in intertissue comparisons. Of these novel miRNAs, 1,657 (45%) were identified in 43 datasets that were generated by cross-linking followed by Argonaute immunoprecipitation and sequencing (Ago CLIP-seq) and represented 3 of the 13 tissues, indicating that these miRNAs are active in the RNA interference pathway. Moreover, experimental investigation through stem-loop PCR of a random collection of newly discovered miRNAs in 12 cell lines representing 5 tissues confirmed their presence and tissue dependence. Among the newly identified miRNAs are many novel miRNA clusters, new members of known miRNA clusters, previously unreported products from uncharacterized arms of miRNA precursors, and previously unrecognized paralogues of functionally important miRNA families (e.g., miR-15/107). Examination of the sequence conservation across vertebrate and invertebrate organisms showed 56.7% of the newly discovered miRNAs to be human-specific whereas the majority (94.4%) are primate lineage-specific. Our findings suggest that the repertoire of human miRNAs is far more extensive than currently represented by public repositories and that there is a significant number of lineage- and/or tissue-specific miRNAs that are uncharacterized.
25582079	5	2015	Cell Res	MIWI and piRNA-mediated cleavage of messenger RNAs in mouse testes.	The piRNA machinery is known for its role in mediating epigenetic silencing of transposons. Recent studies suggest that this function also involves piRNA-guided cleavage of transposon-derived transcripts. As many piRNAs also appear to have the capacity to target diverse mRNAs, this raises the intriguing possibility that piRNAs may act extensively as siRNAs to degrade specific mRNAs. To directly test this hypothesis, we compared mouse PIWI (MIWI)-associated piRNAs with experimentally identified cleaved mRNA fragments from mouse testes, and observed cleavage sites that predominantly occur at position 10 from the 5' end of putative targeting piRNAs. We also noted strong biases for U and A residues at nucleotide positions 1 and 10, respectively, in both piRNAs and mRNA fragments, features that resemble the pattern of piRNA amplification by the 'ping-pong' cycle. Through mapping of MIWI-RNA interactions by CLIP-seq and gene expression profiling, we found that many potential piRNA-targeted mRNAs directly interact with MIWI and show elevated expression levels in the testes of Miwi catalytic mutant mice. Reporter-based assays further revealed the importance of base pairing between piRNAs and mRNA targets and the requirement for both the slicer activity and piRNA-loading ability of MIWI in piRNA-mediated target repression. Importantly, we demonstrated that proper turnover of certain key piRNA targets is essential for sperm formation. Together, these findings reveal the siRNA-like function of the piRNA machinery in mouse testes and its central requirement for male germ cell development and maturation.
25768906	2	2015	Cell	Hepatitis C virus RNA functionally sequesters miR-122.	Hepatitis C virus (HCV) uniquely requires the liver-specific microRNA-122 for replication, yet global effects on endogenous miRNA targets during infection are unexplored. Here, high-throughput sequencing and crosslinking immunoprecipitation (HITS-CLIP) experiments of human Argonaute (AGO) during HCV infection showed robust AGO binding on the HCV 5'UTR at known and predicted miR-122 sites. On the human transcriptome, we observed reduced AGO binding and functional mRNA de-repression of miR-122 targets during virus infection. This miR-122 &quot;sponge&quot; effect was relieved and redirected to miR-15 targets by swapping the miRNA tropism of the virus. Single-cell expression data from reporters containing miR-122 sites showed significant de-repression during HCV infection depending on expression level and site number. We describe a quantitative mathematical model of HCV-induced miR-122 sequestration and propose that such miR-122 inhibition by HCV RNA may result in global de-repression of host miR-122 targets, providing an environment fertile for the long-term oncogenic potential of HCV.
25813040	1	2015	Nucleic Acids Res	Intramolecular circularization increases efficiency of RNA sequencing and enables CLIP-Seq of nuclear RNA from human cells.	RNA sequencing (RNA-Seq) is a powerful tool for analyzing the identity of cellular RNAs but is often limited by the amount of material available for analysis. In spite of extensive efforts employing existing protocols, we observed that it was not possible to obtain useful sequencing libraries from nuclear RNA derived from cultured human cells after crosslinking and immunoprecipitation (CLIP). Here, we report a method for obtaining strand-specific small RNA libraries for RNA sequencing that requires picograms of RNA. We employ an intramolecular circularization step that increases the efficiency of library preparation and avoids the need for intermolecular ligations of adaptor sequences. Other key features include random priming for full-length cDNA synthesis and gel-free library purification. Using our method, we generated CLIP-Seq libraries from nuclear RNA that had been UV-crosslinked and immunoprecipitated with anti-Argonaute 2 (Ago2) antibody. Computational protocols were developed to enable analysis of raw sequencing data and we observe substantial differences between recognition by Ago2 of RNA species in the nucleus relative to the cytoplasm. This RNA self-circularization approach to RNA sequencing (RC-Seq) allows data to be obtained using small amounts of input RNA that cannot be sequenced by standard methods.
25710169	1	2015	PLoS Pathog	HITS-CLIP analysis uncovers a link between the Kaposi's sarcoma-associated herpesvirus ORF57 protein and host pre-mRNA metabolism.	The Kaposi's sarcoma associated herpesvirus (KSHV) is an oncogenic virus that causes Kaposi's sarcoma, primary effusion lymphoma (PEL), and some forms of multicentric Castleman's disease. The KSHV ORF57 protein is a conserved posttranscriptional regulator of gene expression that is essential for virus replication. ORF57 is multifunctional, but most of its activities are directly linked to its ability to bind RNA. We globally identified virus and host RNAs bound by ORF57 during lytic reactivation in PEL cells using high-throughput sequencing of RNA isolated by cross-linking immunoprecipitation (HITS-CLIP). As expected, ORF57-bound RNA fragments mapped throughout the KSHV genome, including the known ORF57 ligand PAN RNA. In agreement with previously published ChIP results, we observed that ORF57 bound RNAs near the oriLyt regions of the genome. Examination of the host RNA fragments revealed that a subset of the ORF57-bound RNAs was derived from transcript 5' ends. The position of these 5'-bound fragments correlated closely with the 5'-most exon-intron junction of the pre-mRNA. We selected four candidates (BTG1, EGR1, ZFP36, and TNFSF9) and analyzed their pre-mRNA and mRNA levels during lytic phase. Analysis of both steady-state and newly made RNAs revealed that these candidate ORF57-bound pre-mRNAs persisted for longer periods of time throughout infection than control RNAs, consistent with a role for ORF57 in pre-mRNA metabolism. In addition, exogenous expression of ORF57 was sufficient to increase the pre-mRNA levels and, in one case, the mRNA levels of the putative ORF57 targets. These results demonstrate that ORF57 interacts with specific host pre-mRNAs during lytic reactivation and alters their processing, likely by stabilizing pre-mRNAs. These data suggest that ORF57 is involved in modulating host gene expression in addition to KSHV gene expression during lytic reactivation.
25652745	1	2015	BMC Genomics	CLIPdb: a CLIP-seq database for protein-RNA interactions.	BACKGROUND: RNA-binding proteins (RBPs) play essential roles in gene expression regulation through their interactions with RNA transcripts, including coding, canonical non-coding and long non-coding RNAs. Large amounts of crosslinking immunoprecipitation (CLIP)-seq data (including HITS-CLIP, PAR-CLIP, and iCLIP) have been recently produced to reveal transcriptome-wide binding sites of RBPs at the single-nucleotide level.DESCRIPTION: Here, we constructed a database, CLIPdb, to describe RBP-RNA interactions based on 395 publicly available CLIP-seq data sets for 111 RBPs from four organisms: human, mouse, worm and yeast. We consistently annotated the CLIP-seq data sets and RBPs, and developed a user-friendly interface for rapid navigation of the CLIP-seq data. We applied a unified computational method to identify transcriptome-wide binding sites, making the binding sites directly comparable and the data available for integration across different CLIP-seq studies. The high-resolution binding sites of the RBPs can be visualized on the whole-genome scale using a browser. In addition, users can browse and download the identified binding sites of all profiled RBPs by querying genes of interest, including both protein coding genes and non-coding RNAs.CONCLUSION: Manually curated metadata and uniformly identified binding sites of publicly available CLIP-seq data sets will be a foundation for further integrative and comparative analyses. With maintained up-to-date data sets and improved functionality, CLIPdb ( http://clipdb.ncrnalab.org ) will be a valuable resource for improving the understanding of post-transcriptional regulatory networks.
25642422	1	2015	Front Bioeng Biotechnol	Discovery of Protein-lncRNA Interactions by Integrating Large-Scale CLIP-Seq and RNA-Seq Datasets.	Long non-coding RNAs (lncRNAs) are emerging as important regulatory molecules in developmental, physiological, and pathological processes. However, the precise mechanism and functions of most of lncRNAs remain largely unknown. Recent advances in high-throughput sequencing of immunoprecipitated RNAs after cross-linking (CLIP-Seq) provide powerful ways to identify biologically relevant protein-lncRNA interactions. In this study, by analyzing millions of RNA-binding protein (RBP) binding sites from 117 CLIP-Seq datasets generated by 50 independent studies, we identified 22,735 RBP-lncRNA regulatory relationships. We found that one single lncRNA will generally be bound and regulated by one or multiple RBPs, the combination of which may coordinately regulate gene expression. We also revealed the expression correlation of these interaction networks by mining expression profiles of over 6000 normal and tumor samples from 14 cancer types. Our combined analysis of CLIP-Seq data and genome-wide association studies data discovered hundreds of disease-related single nucleotide polymorphisms resided in the RBP binding sites of lncRNAs. Finally, we developed interactive web implementations to provide visualization, analysis, and downloading of the aforementioned large-scale datasets. Our study represented an important step in identification and analysis of RBP-lncRNA interactions and showed that these interactions may play crucial roles in cancer and genetic diseases.
25576455	1	2015	Sci China Life Sci	CLIP: viewing the RNA world from an RNA-protein interactome perspective.	The pervasive transcription of the genome creates many types of non-coding RNAs (ncRNAs). However, we know very little regarding the functions and the regulatory mechanisms of these ncRNAs. Exploring the interactions of RNA and RNA binding proteins (RBPs) is vital because it can allow us to truly understand how these ncRNAs behave in vivo. High-throughput sequencing of RNA isolated by cross-linking immunoprecipitation (HITS-CLIP or CLIP-seq) and its variants have been successfully used as systemic techniques to study RBP binding sites. In this review, we will explain the major differences between the CLIP techniques, summarize successful applications of these techniques, discuss limitations of CLIP, present some suggested solutions and project their promising future roles in studying the RNA world.
26156524	0	2015	Sci Rep	Regulation rewiring analysis reveals mutual regulation between STAT1 and miR-155-5p in tumor immunosurveillance in seven major cancers.	Transcription factors (TFs) and microRNAs (miRNAs) form a gene regulatory network (GRN) at the transcriptional and post-transcriptional level in living cells. However, this network has not been well characterized, especially in regards to the mutual regulations between TFs and miRNAs in cancers. In this study, we collected those regulations inferred by ChIP-Seq or CLIP-Seq to construct the GRN formed by TFs, miRNAs, and target genes. To increase the reliability of the proposed network and examine the regulation activity of TFs and miRNAs, we further incorporated the mRNA and miRNA expression profiles in seven cancer types using The Cancer Genome Atlas data. We observed that regulation rewiring was prevalent during tumorigenesis and found that the rewired regulatory feedback loops formed by TFs and miRNAs were highly associated with cancer. Interestingly, we identified one regulatory feedback loop between STAT1 and miR-155-5p that is consistently activated in all seven cancer types with its function to regulate tumor-related biological processes. Our results provide insights on the losing equilibrium of the regulatory feedback loop between STAT1 and miR-155-5p influencing tumorigenesis.
26121563	0	2015	RNA Biol	Passenger strand loading in overexpression experiments using microRNA mimics.	MicroRNAs (miRNAs) are important regulators of gene function and manipulation of miRNAs is a central component of basic research. Modulation of gene expression by miRNA gain-of-function can be based on different approaches including transfection with miRNA mimics; artificial, chemically modified miRNA-like small RNAs. These molecules are intended to mimic the function of a miRNA guide strand while bypassing the maturation steps of endogenous miRNAs. Due to easy accessibility through commercial providers this approach has gained popularity, and accuracy is often assumed without prior independent testing. Our in silico analysis of over-represented sequence motifs in microarray expression data and sequencing of AGO-associated small RNAs indicate, however, that miRNA mimics may be associated with considerable side-effects due to the unwanted activity of the miRNA mimic complementary strand.
