PMID	Citations	YearPubmed	Journal	Title	Abstract
26170447	0	2015	Genome Res	Dynamics and function of distal regulatory elements during neurogenesis and neuroplasticity.	Gene regulation in mammals involves a complex interplay between promoters and distal regulatory elements that function in concert to drive precise spatio-temporal gene expression programs. However, the dynamics of distal gene regulatory landscape and its function in the transcriptional reprogramming that underlies neurogenesis and neuronal activity remain largely unknown. Here, we performed a combinatorial analysis of genome-wide datasets for chromatin accessibility (FAIRE-seq) and the enhancer mark H3K27ac that reveal the highly dynamic nature of distal gene regulation during neurogenesis, which gets progressively restricted to distinct genomic regions as neurons acquire a post-mitotic, terminally differentiated state. We further find that the distal accessible and active regions serve as target sites for distinct transcription factors that function in a stage-specific manner to contribute to the transcriptional program underlying neuronal commitment and maturation. Mature neurons respond to a sustained activity of NMDA receptors by epigenetic reprogramming at a large number of distal regulatory regions as well as dramatic reorganization of super-enhancers. Such massive remodeling of distal regulatory landscape in turn results in a transcriptome that confers a transient loss of neuronal identity and gain of cellular plasticity. Furthermore, NMDA receptor activity also induces many novel pro-survival genes that function in neuroprotective pathways. Taken together, these findings reveal the dynamics of the distal regulatory landscape during neurogenesis and uncover novel regulatory elements that function in concert with epigenetic mechanisms and transcription factors to generate the transcriptome underlying neuronal development and activity.
26117541	0	2015	Nucleic Acids Res	Integrative genomic analysis in K562 chronic myelogenous leukemia cells reveals that proximal NCOR1 binding positively regulates genes that govern erythroid differentiation and Imatinib sensitivity.	To define the functions of NCOR1 we developed an integrative analysis that combined ENCODE and NCI-60 data, followed by in vitro validation. NCOR1 and H3K9me3 ChIP-Seq, FAIRE-seq and DNA CpG methylation interactions were related to gene expression using bootstrapping approaches. Most NCOR1 combinations (24/44) were associated with significantly elevated level expression of protein coding genes and only very few combinations related to gene repression. DAVID's biological process annotation revealed that elevated gene expression was uniquely associated with acetylation and ETS binding. A matrix of gene and drug interactions built on NCI-60 data identified that Imatinib significantly targeted the NCOR1 governed transcriptome. Stable knockdown of NCOR1 in K562 cells slowed growth and significantly repressed genes associated with NCOR1 cistrome, again, with the GO terms acetylation and ETS binding, and significantly dampened sensitivity to Imatinib-induced erythroid differentiation. Mining public microarray data revealed that NCOR1-targeted genes were significantly enriched in Imatinib response gene signatures in cell lines and chronic myelogenous leukemia (CML) patients. These approaches integrated cistrome, transcriptome and drug sensitivity relationships to reveal that NCOR1 function is surprisingly most associated with elevated gene expression, and that these targets, both in CML cell lines and patients, associate with sensitivity to Imatinib.
25990725	0	2015	Nucleic Acids Res	Cdt1-binding protein GRWD1 is a novel histone-binding protein that facilitates MCM loading through its influence on chromatin architecture.	Efficient pre-replication complex (pre-RC) formation on chromatin templates is crucial for the maintenance of genome integrity. However, the regulation of chromatin dynamics during this process has remained elusive. We found that a conserved protein, GRWD1 (glutamate-rich WD40 repeat containing 1), binds to two representative replication origins specifically during G1 phase in a CDC6- and Cdt1-dependent manner, and that depletion of GRWD1 reduces loading of MCM but not CDC6 and Cdt1. Furthermore, chromatin immunoprecipitation coupled with high-throughput sequencing (Seq) revealed significant genome-wide co-localization of GRWD1 with CDC6. We found that GRWD1 has histone-binding activity. To investigate the effect of GRWD1 on chromatin architecture, we used formaldehyde-assisted isolation of regulatory elements (FAIRE)-seq or FAIRE-quantitative PCR analyses, and the results suggest that GRWD1 regulates chromatin openness at specific chromatin locations. Taken together, these findings suggest that GRWD1 may be a novel histone-binding protein that regulates chromatin dynamics and MCM loading at replication origins.
25944915	0	2015	Mol Biol Evol	Identification of Lineage-Specific Cis-Regulatory Modules Associated with Variation in Transcription Factor Binding and Chromatin Activity Using Ornstein-Uhlenbeck Models.	Scoring the impact of noncoding variation on the function of cis-regulatory regions, on their chromatin state, and on the qualitative and quantitative expression levels of target genes is a fundamental problem in evolutionary genomics. A particular challenge is how to model the divergence of quantitative traits and to identify relationships between the changes across the different levels of the genome, the chromatin activity landscape, and the transcriptome. Here, we examine the use of the Ornstein-Uhlenbeck (OU) model to infer selection at the level of predicted cis-regulatory modules (CRMs), and link these with changes in transcription factor binding and chromatin activity. Using publicly available cross-species ChIP-Seq and STARR-Seq data we show how OU can be applied genome-wide to identify candidate transcription factors for which binding site and CRM turnover is correlated with changes in regulatory activity. Next, we profile open chromatin in the developing eye across three Drosophila species. We identify the recognition motifs of the chromatin remodelers, Trithorax-like and Grainyhead as mostly correlating with species-specific changes in open chromatin. In conclusion, we show in this study that CRM scores can be used as quantitative traits and that motif discovery approaches can be extended towards more complex models of divergence.
25835000	0	2015	PLoS Genet	Lipid-induced epigenomic changes in human macrophages identify a coronary artery disease-associated variant that regulates PPAP2B Expression through Altered C/EBP-beta binding.	Genome-wide association studies (GWAS) have identified over 40 loci that affect risk of coronary artery disease (CAD) and the causal mechanisms at the majority of loci are unknown. Recent studies have suggested that many causal GWAS variants influence disease through altered transcriptional regulation in disease-relevant cell types. We explored changes in transcriptional regulation during a key pathophysiological event in CAD, the environmental lipid-induced transformation of macrophages to lipid-laden foam cells. We used a combination of open chromatin mapping with formaldehyde-assisted isolation of regulatory elements (FAIRE-seq) and enhancer and transcription factor mapping using chromatin immuno-precipitation (ChIP-seq) in primary human macrophages before and after exposure to atherogenic oxidized low-density lipoprotein (oxLDL), with resultant foam cell formation. OxLDL-induced foam cell formation was associated with changes in a subset of open chromatin and active enhancer sites that strongly correlated with expression changes of nearby genes. OxLDL-regulated enhancers were enriched for several transcription factors including C/EBP-beta, which has no previously documented role in foam cell formation. OxLDL exposure up-regulated C/EBP-beta expression and increased genomic binding events, most prominently around genes involved in inflammatory response pathways. Variants at CAD-associated loci were significantly and specifically enriched in the subset of chromatin sites altered by oxLDL exposure, including rs72664324 in an oxLDL-induced enhancer at the PPAP2B locus. OxLDL increased C/EBP beta binding to this site and C/EBP beta binding and enhancer activity were stronger with the protective A allele of rs72664324. In addition, expression of the PPAP2B protein product LPP3 was present in foam cells in human atherosclerotic plaques and oxLDL exposure up-regulated LPP3 in macrophages resulting in increased degradation of pro-inflammatory mediators. Our results demonstrate a genetic mechanism contributing to CAD risk at the PPAP2B locus and highlight the value of studying epigenetic changes in disease processes involving pathogenic environmental stimuli.
25679813	0	2015	PLoS Genet	Discovery of transcription factors and regulatory regions driving in vivo tumor development by ATAC-seq and FAIRE-seq open chromatin profiling.	Genomic enhancers regulate spatio-temporal gene expression by recruiting specific combinations of transcription factors (TFs). When TFs are bound to active regulatory regions, they displace canonical nucleosomes, making these regions biochemically detectable as nucleosome-depleted regions or accessible/open chromatin. Here we ask whether open chromatin profiling can be used to identify the entire repertoire of active promoters and enhancers underlying tissue-specific gene expression during normal development and oncogenesis in vivo. To this end, we first compare two different approaches to detect open chromatin in vivo using the Drosophila eye primordium as a model system: FAIRE-seq, based on physical separation of open versus closed chromatin; and ATAC-seq, based on preferential integration of a transposon into open chromatin. We find that both methods reproducibly capture the tissue-specific chromatin activity of regulatory regions, including promoters, enhancers, and insulators. Using both techniques, we screened for regulatory regions that become ectopically active during Ras-dependent oncogenesis, and identified 3778 regions that become (over-)activated during tumor development. Next, we applied motif discovery to search for candidate transcription factors that could bind these regions and identified AP-1 and Stat92E as key regulators. We validated the importance of Stat92E in the development of the tumors by introducing a loss of function Stat92E mutant, which was sufficient to rescue the tumor phenotype. Additionally we tested if the predicted Stat92E responsive regulatory regions are genuine, using ectopic induction of JAK/STAT signaling in developing eye discs, and observed that similar chromatin changes indeed occurred. Finally, we determine that these are functionally significant regulatory changes, as nearby target genes are up- or down-regulated. In conclusion, we show that FAIRE-seq and ATAC-seq based open chromatin profiling, combined with motif discovery, is a straightforward approach to identify functional genomic regulatory regions, master regulators, and gene regulatory networks controlling complex in vivo processes.
25667505	0	2015	Anticancer Res	What do we learn from the genome-wide perspective on vitamin D3?	Vitamin D3 insufficiency is associated with a number of diseases, such as cancer and autoimmune disorders. This important medical problem leads to the question, whether an insight into the genome-wide actions of the transcription factor vitamin D receptor (VDR) and its high affinity ligand 1α,25-dihydroxyvitamin D3 (1,25(OH)2D3) can help in a more global appreciation of the physiological impact of vitamin D3. Chromatin immunoprecipitation sequencing (ChIP-seq) studies in 6 human cell culture models demonstrated 1,000 to 10,000 genomic VDR binding sites per cell type that sum-up to more than 23,000 non-overlapping loci of the receptor. After ligand stimulation VDR associates with many new binding loci, of which the most important have a higher rate of DR3-type VDR binding sequences than average sites. On the majority of latter VDR interacts directly or indirectly with genomic DNA in a presently uncharacterized fashion. Formaldehyde-assisted isolation of regulatory elements sequencing (FAIRE-seq) monitors the dynamically opening chromatin regions after 1,25(OH)2D3 stimulation. The integration of ChIP-seq and FAIRE-seq data combined with a screening for DR3-type sequences facilitates the identification of key VDR binding sites and primary 1,25(OH)2D3 target genes. Recent results of the FANTOM5 project strongly suggest a shift from in vitro cell culture experiments to primary human cells stimulated in vivo. First results suggest that both the number of genome-wide VDR binding sites and the expression of VDR target genes correlate with vitamin D status of the studied human individuals. In conclusion, a genome-wide overview provides a broader basis for addressing vitamin D's role in health and disease.
25071589	6	2014	Front Physiol	Vitamin D in inflammatory diseases.	Changes in vitamin D serum levels have been associated with inflammatory diseases, such as inflammatory bowel disease (IBD), rheumatoid arthritis, systemic lupus erythematosus, multiple sclerosis (MS), atherosclerosis, or asthma. Genome- and transcriptome-wide studies indicate that vitamin D signaling modulates many inflammatory responses on several levels. This includes (i) the regulation of the expression of genes which generate pro-inflammatory mediators, such as cyclooxygenases or 5-lipoxygenase, (ii) the interference with transcription factors, such as NF-κB, which regulate the expression of inflammatory genes and (iii) the activation of signaling cascades, such as MAP kinases which mediate inflammatory responses. Vitamin D targets various tissues and cell types, a number of which belong to the immune system, such as monocytes/macrophages, dendritic cells (DCs) as well as B- and T cells, leading to individual responses of each cell type. One hallmark of these specific vitamin D effects is the cell-type specific regulation of genes involved in the regulation of inflammatory processes and the interplay between vitamin D signaling and other signaling cascades involved in inflammation. An important task in the near future will be the elucidation of the regulatory mechanisms that are involved in the regulation of inflammatory responses by vitamin D on the molecular level by the use of techniques such as chromatin immunoprecipitation (ChIP), ChIP-seq, and FAIRE-seq.
24808867	6	2014	Front Physiol	Genome-wide (over)view on the actions of vitamin D.	For a global understanding of the physiological impact of the nuclear hormone 1α,25-dihydroxyvitamin D3 (1,25(OH)2D3) the analysis of the genome-wide locations of its high affinity receptor, the transcription factor vitamin D receptor (VDR), is essential. Chromatin immunoprecipitation sequencing (ChIP-seq) in GM10855 and GM10861 lymphoblastoid cells, undifferentiated and lipopolysaccharide-differentiated THP-1 monocytes, LS180 colorectal cancer cells and LX2 hepatic stellate cells revealed between 1000 and 13,000 VDR-specific genomic binding sites. The harmonized analysis of these ChIP-seq datasets indicates that the mechanistic basis for the action of the VDR is independent of the cell type. Formaldehyde-assisted isolation of regulatory elements sequencing (FAIRE-seq) data highlight accessible chromatin regions, which are under control of 1,25(OH)2D3. In addition, public data, such as from the ENCODE project, allow to relate the genome-wide actions of VDR and 1,25(OH)2D3 to those of other proteins within the nucleus. For example, locations of the insulator protein CTCF suggest a segregation of the human genome into chromatin domains, of which more than 1000 contain at least one VDR binding site. The integration of all these genome-wide data facilitates the identification of the most important VDR binding sites and associated primary 1,25(OH)2D3 target genes. Expression changes of these key genes can serve as biomarkers for the actions of vitamin D3 and its metabolites in different tissues and cell types of human individuals. Analysis of primary tissues obtained from vitamin D3 intervention studies using such markers indicated a large inter-individual variation for the efficiency of vitamin D3 supplementation. In conclusion, a genome-wide (over)view on the genomic locations of VDR provides a broader basis for addressing vitamin D's role in health and disease.
24994750	2	2014	Mol Cancer Res	PTEN deficiency mediates a reciprocal response to IGFI and mTOR inhibition.	Recent evidence implicates the insulin-like growth factor (IGF) pathway in development of Ewing sarcoma, a highly malignant bone and soft-tissue tumor that primarily affects children and young adults. Despite promising results from preclinical studies of therapies that target this pathway, early-phase clinical trials have shown that a significant fraction of patients do not benefit, suggesting that cellular factors determine tumor sensitivity. Using FAIRE-seq, a chromosomal deletion of the PTEN locus in a Ewing sarcoma cell line was identified. In primary tumors, PTEN deficiency was observed in a large subset of cases, although not mediated by large chromosomal deletions. PTEN loss resulted in hyperactivation of the AKT signaling pathway. PTEN rescue led to decreased proliferation, inhibition of colony formation, and increased apoptosis. Strikingly, PTEN loss decreased sensitivity to IGF1R inhibitors but increased responsiveness to temsirolimus, a potent mTOR inhibitor, as marked by induction of autophagy. These results suggest that PTEN is lost in a significant fraction of primary tumors, and this deficiency may have therapeutic consequences by concurrently attenuating responsiveness to IGF1R inhibition while increasing activity of mTOR inhibitors. The identification of PTEN status in the tumors of patients with recurrent disease could help guide the selection of therapies.</AbstractText>: Recent evidence implicates the insulin-like growth factor (IGF) pathway in development of Ewing sarcoma, a highly malignant bone and soft-tissue tumor that primarily affects children and young adults. Despite promising results from preclinical studies of therapies that target this pathway, early-phase clinical trials have shown that a significant fraction of patients do not benefit, suggesting that cellular factors determine tumor sensitivity. Using FAIRE-seq, a chromosomal deletion of the PTEN locus in a Ewing sarcoma cell line was identified. In primary tumors, PTEN deficiency was observed in a large subset of cases, although not mediated by large chromosomal deletions. PTEN loss resulted in hyperactivation of the AKT signaling pathway. PTEN rescue led to decreased proliferation, inhibition of colony formation, and increased apoptosis. Strikingly, PTEN loss decreased sensitivity to IGF1R inhibitors but increased responsiveness to temsirolimus, a potent mTOR inhibitor, as marked by induction of autophagy. These results suggest that PTEN is lost in a significant fraction of primary tumors, and this deficiency may have therapeutic consequences by concurrently attenuating responsiveness to IGF1R inhibition while increasing activity of mTOR inhibitors. The identification of PTEN status in the tumors of patients with recurrent disease could help guide the selection of therapies.IMPLICATIONS: PTEN status in Ewing sarcoma affects cellular responses to IGFI and mTOR-directed therapy, thus justifying its consideration as a biomarker in future clinical trials.
