PMID	Citations	YearPubmed	Journal	Title	Abstract
26134912	0	2015	Cold Spring Harb Protoc	Measuring Chromatin Structure in Budding Yeast.	Chromosome conformation capture (3C) has revolutionized the ways in which the conformation of chromatin and its relationship to other molecular functions can be studied. 3C-based techniques are used to determine the spatial arrangement of chromosomes in organisms ranging from bacteria to humans. In particular, they can be applied to the study of chromosome folding and organization in model organisms with small genomes and for which powerful genetic tools exist, such as budding yeast. Studies in yeast allow the mechanisms that establish or maintain chromatin structure to be analyzed at very high resolution with relatively low cost, and further our understanding of these fundamental processes in higher eukaryotes as well. Here we provide an overview of chromatin structure and introduce methods for performing 3C, with a focus on studies in budding yeast. Variations of the basic 3C approach (e.g., 3C-PCR, 5C, and Hi-C) can be used according to the scope and goals of a given experiment.
26059817	0	2015	J Cell Physiol	C-ing the Genome: A Compendium of Chromosome Conformation Capture Methods to Study Higher-Order Chromatin Organization.	Three-dimensional organization of the chromatin has important roles in transcription, replication, DNA repair, and pathologic events such as translocations. There are two fundamental ways to study higher-order chromatin organization: microscopic and molecular approaches. In this review, we briefly introduce the molecular approaches, focusing on chromosome conformation capture or&quot;3C&quot; technology and its derivatives, which can be used to probe chromatin folding at resolutions beyond that provided by microscopy techniques. We further discuss the different types of data generated by the 3C-based methods and how they can be used to answer distinct biological questions. This article is protected by copyright. All rights reserved.
26043745	0	2015	Ann Bot	Flow sorting of C-genome chromosomes from wild relatives of wheat Aegilops markgrafii, Ae. triuncialis and Ae. cylindrica, and their molecular organization.	BACKGROUND AND AIMS: Aegilops markgrafii (CC) and its natural hybrids Ae. triuncialis (U(t)U(t)C(t)C(t)) and Ae. cylindrica (D(c)D(c)C(c)C(c)) represent a rich reservoir of useful genes for improvement of bread wheat (Triticum aestivum), but the limited information available on their genome structure and the shortage of molecular (cyto-) genetic tools hamper the utilization of the extant genetic diversity. This study provides the complete karyotypes in the three species obtained after fluorescent in situ hybridization (FISH) with repetitive DNA probes, and evaluates the potential of flow cytometric chromosome sorting.METHODS: The flow karyotypes obtained after the analysis of 4',6-diamidino-2-phenylindole (DAPI)-stained chromosomes were characterized and the chromosome content of the peaks on the flow karyotypes was determined by FISH. Twenty-nine conserved orthologous set (COS) markers covering all seven wheat homoeologous chromosome groups were used for PCR with DNA amplified from flow-sorted chromosomes and genomic DNA.KEY RESULTS: FISH with repetitive DNA probes revealed that chromosomes 4C, 5C, 7C(t), T6U(t)S.6U(t)L-5C(t)L, 1C(c) and 5D(c) could be sorted with purities ranging from 66 to 91 %, while the remaining chromosomes could be sorted in groups of 2-5. This identified a partial wheat-C-genome homology for group 4 and 5 chromosomes. In addition, 1C chromosomes were homologous with group 1 of wheat; a small segment from group 2 indicated 1C-2C rearrangement. An extensively rearranged structure of chromosome 7C relative to wheat was also detected.CONCLUSIONS: The possibility of purifying Aegilops chromosomes provides an attractive opportunity to investigate the structure and evolution of the Aegilops C genome and to develop molecular tools to facilitate the identification of alien chromatin and support alien introgression breeding in bread wheat.
26034306	0	2015	Cold Spring Harb Protoc	Chromosome Conformation Capture Carbon Copy (5C) in Budding Yeast.	Chromosome conformation capture carbon copy (5C) is a high-throughput method for detecting ligation products of interest in a chromosome conformation capture (3C) library. 5C uses ligation-mediated amplification (LMA) to generate carbon copies of 3C ligation product junctions using single-stranded oligonucleotide probes. This procedure produces a 5C library of short DNA molecules which represent the interactions between the corresponding restriction fragments. The 5C library can be amplified using universal primers containing the Illumina paired-end adaptor sequences for subsequent high-throughput sequencing.
26034305	0	2015	Cold Spring Harb Protoc	Randomized ligation control for chromosome conformation capture.	In experiments using chromosome conformation capture followed by PCR (3C-PCR) or chromosome conformation capture carbon copy (5C), it is critical to control for intrinsic biases in the restriction fragments of interest and the probes or primers used for detection. Characteristics such as GC%, annealing temperature, efficiency of 3C primers or 5C probes, and length of restriction fragment can cause variations in primer or probe performance and fragment ligation efficiency. Bias can be measured empirically by production of a random control library, as described here, to be used with the 3C library of interest.
25831887	0	2015	Mol Biol (Mosk)	[Spatial organization of interphase chromosomes and the role of chromatin fiber dynamycs in the positioning of genome elements].	Many studies are devoted to the analysis ofinterphase chromosome architecture due to the evidence of functional-dependent spatial organization of the genome. These studies are based on classical cytological methods as well as on biochemical approaches (3C, 4C, 5C, Hi-C) allowing for the detection of long-range interactions between fragments of chromatin fibers, including the genome-wide interactions. In this review, we discuss the results of these researches which make it possible to explain functional-dependent multilevel compartmentalization of the nucleous and unravel the principals of high-level chromatin organization. Special attention is paid to the enchancer-promoter interactions important for the regulation of gene expression. Accordingly, we consider the model of an active chromatin hub and the alternative model of an active chromatin compartment, which was proposed based on reconsideration of some steps of the 3C procedure.
25512564	2	2014	Genes Dev	Spatial genome organization: contrasting views from chromosome conformation capture and fluorescence in situ hybridization.	Although important for gene regulation, most studies of genome organization use either fluorescence in situ hybridization (FISH) or chromosome conformation capture (3C) methods. FISH directly visualizes the spatial relationship of sequences but is usually applied to a few loci at a time. The frequency at which sequences are ligated together by formaldehyde cross-linking can be measured genome-wide by 3C methods, with higher frequencies thought to reflect shorter distances. FISH and 3C should therefore give the same views of genome organization, but this has not been tested extensively. We investigated the murine HoxD locus with 3C carbon copy (5C) and FISH in different developmental and activity states and in the presence or absence of epigenetic regulators. We identified situations in which the two data sets are concordant but found other conditions under which chromatin topographies extrapolated from 5C or FISH data are not compatible. We suggest that products captured by 3C do not always reflect spatial proximity, with ligation occurring between sequences located hundreds of nanometers apart, influenced by nuclear environment and chromatin composition. We conclude that results obtained at high resolution with either 3C methods or FISH alone must be interpreted with caution and that views about genome organization should be validated by independent methods.
24571491	1	2014	J Integr Plant Biol	Identification and fine mapping of quantitative trait loci for seed vigor in germination and seedling establishment in rice.	Seed vigor is an index of seed quality that is used to describe the rapid and uniform germination and the establishment of strong seedlings in any environmental conditions. Strong seed vigor in low-temperature germination conditions is particularly important in direct-sowing rice production systems. However, seed vigor has not been selected as an important breeding trait in traditional breeding programs due to its quantitative inherence. In this study, we identified and mapped eight quantitative trait loci (QTLs) for seed vigor by using a recombinant inbred population from a cross between rice (Oryza sativa L. ssp. indica) cultivars ZS97 and MH63. Conditional QTL analysis identified qSV-1, qSV-5b, qSV-6a, qSV-6b, and qSV-11 influenced seedling establishment and that qSV-5a, qSV-5c, and qSV-8 influenced only germination. Of these, qSV-1, qSV-5b, qSV-6a, qSV-6b, and qSV-8 were low-temperature-specific QTLs. Two major-effective QTLs, qSV-1, and qSV-5c were narrowed down to 1.13-Mbp and 400-kbp genomic regions, respectively. The results provide tightly linked DNA markers for the marker-assistant pyramiding of multiple positive alleles for increased seed vigor in both normal and low-temperature germination environments.
25151170	0	2014	Methods Mol Biol	DamID as an approach to studying long-distance chromatin interactions.	How transcription is controlled by distally located cis-regulatory elements is an active area of research in biology. As such, there have been many techniques developed to probe these long-distance chromatin interactions. Here, we focus on one such method, called DamID (van Steensel and Henikoff, Nat Biotechnol 18(4):424-428, 2000). While other methods like 3C (Dekker et al., Science 295(5558):1306-1311, 2002), 4C (Simonis et al., Nat Genet 38(11):1348-1354, 2006; Zhao et al., Nat Genet 38(11):1341-1347, 2006), and 5C (Dostie et al., Genome Res 16(10):1299-1309, 2006) are undoubtedly powerful, the DamID method can offer some advantages over these methods if the genetic locus can be easily modified. The lack of tissue fixation, the low amounts of starting material required to perform the experiment, and the relatively modest hardware requirements make DamID experiments an interesting alternative to consider when examining long-distance chromatin interactions.
24995990	0	2014	Genome Biol	Classifying leukemia types with chromatin conformation data.	BACKGROUND: Although genetic or epigenetic alterations have been shown to affect the three-dimensional organization of genomes, the utility of chromatin conformation in the classification of human disease has never been addressed.RESULTS: Here, we explore whether chromatin conformation can be used to classify human leukemia. We map the conformation of the HOXA gene cluster in a panel of cell lines with 5C chromosome conformation capture technology, and use the data to train and test a support vector machine classifier named 3D-SP. We show that 3D-SP is able to accurately distinguish leukemias expressing MLL-fusion proteins from those expressing only wild-type MLL, and that it can also classify leukemia subtypes according to MLL fusion partner, based solely on 5C data.CONCLUSIONS: Our study provides the first proof-of-principle demonstration that chromatin conformation contains the information value necessary for classification of leukemia subtypes.
