PMID	Citations	YearPubmed	Journal	Title	Abstract
26035430	1	2015	PLoS One	The Mechanism of Environmental Endocrine Disruptors (DEHP) Induces Epigenetic Transgenerational Inheritance of Cryptorchidism.	Discussion on the role of DEHP in the critical period of gonadal development in pregnant rats (F0), studied the evolution of F1-F4 generation of inter-generational inheritance of cryptorchidism and the alteration of DNA methylation levels in testis. Pregnant SD rats were randomly divided into two groups: normal control group and DEHP experimental group. From pregnancy 7d to 19d, experimental group was sustained to gavage DEHP 750mg/kg bw/day, observed the incidence of cryptorchidism in offspring and examined the pregnancy rate of female rats through mating experiments. Continuous recording the rat's weight and AGD value, after maturation (PND80) recording testis and epididymis' size and weight, detected the sperm number and quality. Subsequently, we examined the evolution morphological changes of testicular tissue for 4 generation rats by HE staining and Western Blot. Completed the MeDIP-sequencing analysis of 6 samples (F1 generation, F4 generation and Control). DEHP successfully induced cryptorchidism occurrence in offspring during pregnancy. The incidence of cryptorchidism in F1 was 30%, in F2 was 12.5%, and there was no cryptorchidism coming up in F3 and F4. Mating experiment shows conception rate 50% in F1, F2 generation was 75%, the F3 and F4 generation were 100%. HE staining showed that the seminiferous epithelium of F1 generation was atrophy and with a few spermatogenic cell, F2 generation had improved, F3 and F4 generation were tend to be normal. The DNA methyltransferase expression was up-regulated with the increase of generations by Real Time-PCR, immunohistochemistry and Western Blot. MeDIP-seq Data Analysis Results show many differentially methylated DNA sequences between F1 and F4. DEHP damage male reproductive function in rats, affect expression of DNA methyltransferase enzyme, which in turn leads to genomic imprinting methylation pattern changes and passed on to the next generation, so that the offspring of male reproductive system critical role in the development of imprinted genes imbalances, and eventually lead to producing offspring cryptorchidism. This may be an important mechanism of reproductive system damage.
26199400	0	2015	Physiol Genomics	A High Fat Diet Caused Widespread Epigenomic Differences on Hepatic Methylome in Rat.	A high fat (HF) diet is associated with progression of liver diseases. To illustrate genome-wide landscape of DNA methylation in liver of rats fed either a control or HF diet, two enrichment-based methods, namely methyl-DNA immunoprecipitation assay with high-throughput sequencing (MeDIP-seq) and methylation-sensitive restriction enzyme sequencing (MRE-seq), were performed in our study. Rats fed with the HF diet exhibited an increased body weight and liver fat accumulation compared to that of the control group when they were 12 weeks of age. Genome-wide analysis of differentially methylated regions (DMR) showed that 12494 DMRs induced by HF diet were hypomethylated and 6404 were hypermethylated. DMRs with gene annotations (Differentially methylated genes, DMG) were further analyzed to show gene-specific methylation profile. There were 88, 2680, and 95 hypomethylated DMGs identified with changes in DNA methylation in the promoter; intragenic and downstream regions, respectively, compared to fewer hypermethylated DMGs (45, 1623, and 50 in the respective regions). Some of these genes also contained an ACGT cis-acting motif whose DNA methylation status may affect gene expression. Pathway analysis showed that these DMGs were involved in critical hepatic signaling networks related to hepatic development. Therefore, HF diet had global impacts on DNA methylation profile in the liver of rats, leading to differential expression of genes in hepatic pathways that may involve in functional changes in liver development.
26148682	0	2015	BMC Genomics	Arterial endothelial methylome: differential DNA methylation in athero-susceptible disturbed flow regions in vivo.	BACKGROUND: Atherosclerosis is a heterogeneously distributed disease of arteries in which the endothelium plays an important central role. Spatial transcriptome profiling of endothelium in pre-lesional arteries has demonstrated differential phenotypes primed for athero-susceptibility at hemodynamic sites associated with disturbed blood flow. DNA methylation is a powerful epigenetic regulator of endothelial transcription recently associated with flow characteristics. We investigated differential DNA methylation in flow region-specific aortic endothelial cells in vivo in adult domestic male and female swine.RESULTS: Genome-wide DNA methylation was profiled in endothelial cells (EC) isolated from two robust locations of differing patho-susceptibility: - an athero-susceptible site located at the inner curvature of the aortic arch (AA) and an athero-protected region in the descending thoracic (DT) aorta. Complete methylated DNA immunoprecipitation sequencing (MeDIP-seq) identified over 5500 endothelial differentially methylated regions (DMRs). DMR density was significantly enriched in exons and 5'UTR sequences of annotated genes, 60 of which are linked to cardiovascular disease. The set of DMR-associated genes was enriched in transcriptional regulation, pattern specification HOX loci, oxidative stress and the ER stress adaptive pathway, all categories linked to athero-susceptible endothelium. Examination of the relationship between DMR and mRNA in HOXA genes demonstrated a significant inverse relationship between CpG island promoter methylation and gene expression. Methylation-specific PCR (MSP) confirmed differential CpG methylation of HOXA genes, the ER stress gene ATF4, inflammatory regulator microRNA-10a and ARHGAP25 that encodes a negative regulator of Rho GTPases involved in cytoskeleton remodeling. Gender-specific DMRs associated with ciliogenesis that may be linked to defects in cilia development were also identified in AA DMRs.CONCLUSIONS: An endothelial methylome analysis identifies epigenetic DMR characteristics associated with transcriptional regulation in regions of atherosusceptibility in swine aorta in vivo. The data represent the first methylome blueprint for spatio-temporal analyses of lesion susceptibility predisposing to endothelial dysfunction in complex flow environments in vivo.
26145151	0	2015	Plant Physiol	Global Analysis Reveals the Crucial Roles of DNA Methylation during Rice Seed Development.	Seed development is an important process of reproductive development and consists of embryo and endosperm development, both comprise several key processes. To determine and investigate the functions of dynamic DNA methylome during seed development, we profiled the DNA methylation genome-wide in a series of developmental stages of rice embryo and endosperm by MeDIP-seq. Results showed that embryo is hyper-methylated predominantly around non-TE genes, short DNA-TEs and short SINEs compared to endosperm, and non-TE genes have the most diverse methylation status across seed development. In addition, lowly expressed genes are significantly enriched of hyper-methylated genes, but not vice versa, confirming the crucial role of DNA methylation in suppressing gene transcription. Further analysis revealed the significantly decreased methylation at early developing stages (from 2 to 3 day after pollination), indicating a predominant role of de-methylation during early endosperm development and that genes with a consistent negative correlation between DNA methylation change and expression change maybe potentially directly regulated by DNA methylation. Interestingly, comparative analysis of the DNA methylation profiles revealed that both rice indica and japonica subspecies showed robust fluctuant profile of DNA methylation levels in embryo and endosperm across seed development, with highest methylation level at 6 DAP (2 DAP of endosperm of japonica subspecies as well), indicating a complex and fine-controlled methylation pattern is closely associated with the seed development regulation. The systemic characterization of the dynamics DNA methylome in developing rice seeds will help to study the effects and mechanism of epigenetic regulation in seed development.
26138987	0	2015	Methods Mol Biol	Nano-MeDIP-seq Methylome Analysis Using Low DNA Concentrations.	DNA methylation is an epigenetic mark that is indispensable for mammalian development and occurs at cytosine residues throughout the genome (the &quot;methylome&quot;). Approximately 70 % of all CpG dinucleotides are affected by DNA methylation, which serve to &quot;lock in&quot; chromatin states and thus transcriptional programs. The systemic and pervasive occurrence of DNA methylation throughout the genome defines cellular identity and therefore requires genome-wide assays to fully appreciate and discern differential patterns of methylation that influence aspects of phenotypic plasticity including susceptibility to common complex disease.One method that permits methylome analysis is methylated DNA immunoprecipitation (MeDIP) combined with next-generation sequencing (MeDIP-seq). MeDIP uses an antibody raised against 5-methylcytosine to capture methylated fragments of DNA, which are subsequently sequenced to envisage the methylome landscape. The advantageous cost versus coverage balance of MeDIP-seq has made it the method of choice to replace or complement array-based methods for population epigenetic studies. Here we detail nano-MeDIP-seq, which allows methylome analysis using nanogram quantities of starting material.
26101583	0	2015	Cell Biosci	Association of aberrant DNA methylation in Apc(min/+) mice with the epithelial-mesenchymal transition and Wnt/β-catenin pathways: genome-wide analysis using MeDIP-seq.	BACKGROUND: Aberrant DNA methylation at the 5-carbon on cytosine residues (5mC) in CpG dinucleotides is probably the most extensively characterized epigenetic modification in colon cancer. It has been suggested that the loss of adenomatous polyposis coli (APC) function initiates tumorigenesis and that additional genetic and epigenetic events are involved in colon cancer progression. We aimed to study the genome-wide DNA methylation profiles of intestinal tumorigenesis in Apc(min/+) mice.RESULTS: Methylated DNA immunoprecipitation (MeDIP) followed by next-generation sequencing was used to determine the global profile of DNA methylation changes in Apc(min/+) mice. DNA was extracted from adenomatous polyps from Apc(min/+) mice and from normal intestinal tissue from age-matched Apc(+/+) littermates, and the MeDIP-seq assay was performed. Ingenuity Pathway Analysis (IPA) software was used to analyze the data for gene interactions. A total of 17,265 differentially methylated regions (DMRs) displayed a ≥ 2-fold change (log2) in methylation in Apc(min/+) mice; among these DMRs, 9,078 (52.6 %) and 8,187 (47.4 %) exhibited increased and decreased methylation, respectively. Genes with altered methylation patterns were mainly mapped to networks and biological functions associated with cancer and gastrointestinal diseases. Among these networks, several canonical pathways, such as the epithelial-mesenchymal transition (EMT) and Wnt/β-catenin pathways, were significantly associated with genome-wide methylation changes in polyps from Apc(min/+) mice. The identification of certain differentially methylated molecules in the EMT and Wnt/β-catenin pathways, such as APC2 (adenomatosis polyposis coli 2), SFRP2 (secreted frizzled-related protein 2), and DKK3 (dickkopf-related protein 3), was consistent with previous publications.CONCLUSIONS: Our findings indicated that Apc(min/+) mice exhibited extensive aberrant DNA methylation that affected certain signaling pathways, such as the EMT and Wnt/β-catenin pathways. The genome-wide DNA methylation profile of Apc(min/+) mice is informative for future studies investigating epigenetic gene regulation in colon tumorigenesis and the prevention of colon cancer.
26078362	0	2015	J Mol Cell Biol	MBRidge: an accurate and cost-effective method for profiling DNA methylome at single-base resolution.	Organisms and cells, in response to environmental influences or during development, undergo considerable changes in DNA methylation on a genome-wide scale, which are linked to a variety of biological processes. Using MethylC-seq to decipher DNA methylome at single-base resolution is prohibitively costly. In this study, we develop a novel approach, named MBRidge, to detect the methylation levels of repertoire CpGs, by innovatively introducing C-hydroxylmethylated adapters and bisulfate treatment into the MeDIP-seq protocol and employing ridge regression in data analysis. A systematic evaluation of DNA methylome in a human ovarian cell line T29 showed that MBRidge achieved high correlation (R &gt; 0.90) with much less cost (∼10%) in comparison with MethylC-seq. We further applied MBRidge to profiling DNA methylome in T29H, an oncogenic counterpart of T29's. By comparing methylomes of T29H and T29, we identified 131790 differential methylation regions (DMRs), which are mainly enriched in carcinogenesis-related pathways. These are substantially different from 7567 DMRs that were obtained by RRBS and related with cell development or differentiation. The integrated analysis of DMRs in the promoter and expression of DMR-corresponding genes revealed that DNA methylation enforced reverse regulation of gene expression, depending on the distance from the proximal DMR to transcription starting sites in both mRNA and lncRNA. Taken together, our results demonstrate that MBRidge is an efficient and cost-effective method that can be widely applied to profiling DNA methylomes.
25928765	0	2015	BMC Bioinformatics	coMET: visualisation of regional epigenome-wide association scan results and DNA co-methylation patterns.	BACKGROUND: Epigenome-wide association scans (EWAS) are an increasingly powerful and widely-used approach to assess the role of epigenetic variation in human complex traits. However, this rapidly emerging field lacks dedicated visualisation tools that can display features specific to epigenetic datasets.RESULT: We developed coMET, an R package and online tool for visualisation of EWAS results in a genomic region of interest. coMET generates a regional plot of epigenetic-phenotype association results and the estimated DNA methylation correlation between CpG sites (co-methylation), with further options to visualise genomic annotations based on ENCODE data, gene tracks, reference CpG-sites, and user-defined features. The tool can be used to display phenotype association signals and correlation patterns of microarray or sequencing-based DNA methylation data, such as Illumina Infinium 450k, WGBS, or MeDIP-seq, as well as other types of genomic data, such as gene expression profiles. The software is available as a user-friendly online tool from http://epigen.kcl.ac.uk/comet and as an R Bioconductor package. Source code, examples, and full documentation are also available from GitHub.CONCLUSION: Our new software allows visualisation of EWAS results with functional genomic annotations and with estimation of co-methylation patterns. coMET is available to a wide audience as an online tool and R package, and can be a valuable resource to interpret results in the fast growing field of epigenetics. The software is designed for epigenetic data, but can also be applied to genomic and functional genomic datasets in any species.
25887533	0	2015	BMC Genomics	Genome-wide analysis of DNA methylation in photoperiod- and thermo-sensitive male sterile rice Peiai 64S.	BACKGROUND: Epigenetic modifications play important roles in the regulation of plant development. DNA methylation is an important epigenetic modification that dynamically regulates gene expression during developmental processes. However, little studies have been reported about the methylation profiles of photoperiod- and thermo-sensitive genic male sterile (PTGMS) rice during the fertility transition.RESULTS: In this study, using methylated DNA immunoprecipitation sequencing (MeDIP-seq), the global DNA methylation patterns were compared in the rice PTGMS line PA64S under two different environments (different temperatures and day lengths). The profiling of the DNA methylation under two different phenotypes (sterility and fertility) revealed that hypermethylation was observed in PA64S (sterility), and 1258 differentially methylated regions (DMRs) were found between PA64S (sterility) and PA64S (fertility). Twenty differentially methylated genes of them were further validated through bisulfite sequencing, and four of these genes were analyzed by qRT-PCR. Especially, a differentially methylated gene (LOC_Os08g38210), which encoded transcription factor BIM2, is a component of brassinosteroid signaling in rice. The hypermethylated BIM2 gene may suppress some downstream genes in brassinosteroid signaling pathway, and thus affect the male fertility in PA64S.CONCLUSIONS: The results presented here indicated that hypermethylation was observed in PA64S (sterility). Gene Ontology (GO) analysis and KEGG analysis revealed that flavone and flavonol biosynthrsis, circadian rhythm, photosynthesis and oxidative phosphorylation pathways were involved in sterility-fertility transition of PA64S.
25674022	0	2015	Biomark Cancer	Trisomy 8 Acute Myeloid Leukemia Analysis Reveals New Insights of DNA Methylome with Identification of HHEX as Potential Diagnostic Marker.	Trisomy 8 acute myeloid leukemia (AML) is the commonest numerical aberration in AML. Here we present a global analysis of trisomy 8 AML using methylated DNA immunoprecipitation-sequencing (MeDIP-seq). The study is based on three diagnostic trisomy 8 AML and their parallel relapse status in addition to nine non-trisomic AML and four normal bone marrows (NBMs). In contrast to non-trisomic DNA samples, trisomy 8 AML showed a characteristic DNA methylation distribution pattern because an increase in the frequency of the hypermethylation signals in chromosome 8 was associated with an increase in the hypomethylation signals in the rest of the chromosomes. Chromosome 8 hypermethylation signals were found mainly in the CpG island (CGI) shores and interspersed repeats. Validating the most significant differentially methylated CGI (P = 7.88 × 10(-11)) identified in trisomy 8 AML demonstrated a specific core region within the gene body of HHEX, which was significantly correlated with HHEX expression in both diagnostic and relapse trisomy 8 AMLs. Overall, the existence of extra chromosome 8 was associated with a global impact on the DNA methylation distribution with identification of HHEX gene methylation as a potential diagnostic marker for trisomy 8 AML.
