PMID	Citations	YearPubmed	Journal	Title	Abstract
26172871	0	2015	Gene	Identification and functional annotation of lncRNA genes with hypermethylation in colorectal cancer.	Colorectal cancer (CRC) is one of the leading causes of mortality worldwide. DNA methylation is an important epigenetic modification for CRC. Although currently a number of studies about DNA methylation of protein coding genes have been carried out, only a few are about the methylation of genes encoding the long noncoding RNAs (lncRNAs). In this study, we identified 761 lncRNA genes with DNA hypermethylation in CRC using a free MethylCap-seq dataset. Integration of lncRNA expression and methylation datasets showed that the expression of lncRNAs is negatively correlated with DNA methylation (p&lt;0.01). Co-methylation network was also constructed to annotate the functions of unknown lncRNAs. Our results showed that a total of 364 lncRNAs were annotated with at least one GO biological process term. The current data-mining work is likely to provide informative clues for biological researchers to further understand the role of lncRNAs in the development of CRC.
25763115	0	2015	Clin Epigenetics	Replicative senescence is associated with nuclear reorganization and with DNA methylation at specific transcription factor binding sites.	BACKGROUND: Primary cells enter replicative senescence after a limited number of cell divisions. This process needs to be considered in cell culture experiments, and it is particularly important for regenerative medicine. Replicative senescence is associated with reproducible changes in DNA methylation (DNAm) at specific sites in the genome. The mechanism that drives senescence-associated DNAm changes remains unknown - it may involve stochastic DNAm drift due to imperfect maintenance of epigenetic marks or it is directly regulated at specific sites in the genome.RESULTS: In this study, we analyzed the reorganization of nuclear architecture and DNAm changes during long-term culture of human fibroblasts and mesenchymal stromal cells (MSCs). We demonstrate that telomeres shorten and shift towards the nuclear center at later passages. In addition, DNAm profiles, either analyzed by MethylCap-seq or by 450k IlluminaBeadChip technology, revealed consistent senescence-associated hypermethylation in regions associated with H3K27me3, H3K4me3, and H3K4me1 histone marks, whereas hypomethylation was associated with chromatin containing H3K9me3 and lamina-associated domains (LADs). DNA hypermethylation was significantly enriched in the vicinity of genes that are either up- or downregulated at later passages. Furthermore, specific transcription factor binding motifs (e.g. EGR1, TFAP2A, and ETS1) were significantly enriched in differentially methylated regions and in the promoters of differentially expressed genes.CONCLUSIONS: Senescence-associated DNA hypermethylation occurs at specific sites in the genome and reflects functional changes in the course of replicative senescence. These results indicate that tightly regulated epigenetic modifications during long-term culture contribute to changes in nuclear organization and gene expression.
25682867	0	2015	Oncotarget	DNA methylome and transcriptome sequencing in human ovarian granulosa cells links age-related changes in gene expression to gene body methylation and 3'-end GC density.	Diminished ovarian function occurs early and is a primary cause for age-related decline in female fertility; however, its underlying mechanism remains unclear. This study investigated the roles that genome and epigenome structure play in age-related changes in gene expression and ovarian function, using human ovarian granulosa cells as an experimental system. DNA methylomes were compared between two groups of women with distinct age-related differences in ovarian functions, using both Methylated DNA Capture followed by Next Generation Sequencing (MethylCap-seq) and Reduced Representation Bisulfite Sequencing (RRBS); their transcriptomes were investigated using mRNA-seq. Significant, non-random changes in transcriptome and DNA methylome features are observed in human ovarian granulosa cells as women age and their ovarian functions deteriorate. The strongest correlations between methylation and the age-related changes in gene expression are not confined to the promoter region; rather, high densities of hypomethylated CpG-rich regions spanning the gene body are preferentially associated with gene down-regulation. This association is further enhanced where CpG regions are localized near the 3'-end of the gene. Such features characterize several genes crucial in age-related decline in ovarian function, most notably the AMH (Anti-Müllerian Hormone) gene. The genome-wide correlation between the density of hypomethylated intragenic and 3'-end regions and gene expression suggests previously unexplored mechanisms linking epigenome structure to age-related physiology and pathology.
24738887	3	2014	Stem Cells Dev	Stable methylation at promoters distinguishes epiblast stem cells from embryonic stem cells and the in vivo epiblasts.	Embryonic Stem Cells (ESCs) and Epiblast Stem Cells (EpiSCs) are the in vitro representatives of naïve and primed pluripotency, respectively. It is currently unclear how their epigenomes underpin the phenotypic and molecular characteristics of these distinct pluripotent states. Here, we performed a genome-wide comparison of DNA methylation between ESCs and EpiSCs by MethylCap-Seq. We observe that promoters are preferential targets for methylation in EpiSC compared to ESCs, in particular high CpG island promoters. This is in line with upregulation of the de novo methyltransferases Dnmt3a1 and Dnmt3b in EpiSC, and downregulation of the demethylases Tet1 and Tet2. Remarkably, the observed DNA methylation signature is specific to EpiSCs and differs from that of their in vivo counterpart, the postimplantation epiblast. Using a subset of promoters that are differentially methylated, we show that DNA methylation is established within a few days during in vitro outgrowth of the epiblast, and also occurs when ESCs are converted to EpiSCs in vitro. Once established, this methylation is stable, as ES-like cells obtained by in vitro reversion of EpiSCs display an epigenetic memory that only extensive passaging and sub-cloning are able to almost completely erase.
25276247	1	2014	Clin Epigenetics	High-frequency aberrantly methylated targets in pancreatic adenocarcinoma identified via global DNA methylation analysis using methylCap-seq.	BACKGROUND: Extensive reprogramming and dysregulation of DNA methylation is an important characteristic of pancreatic cancer (PC). Our study aimed to characterize the genomic methylation patterns in various genomic contexts of PC. The methyl capture sequencing (methylCap-seq) method was used to map differently methylated regions (DMRs) in pooled samples from ten PC tissues and ten adjacent non-tumor (PN) tissues. A selection of DMRs was validated in an independent set of PC and PN samples using methylation-specific PCR (MSP), bisulfite sequencing PCR (BSP), and methylation sensitive restriction enzyme-based qPCR (MSRE-qPCR). The mRNA and expressed sequence tag (EST) expression of the corresponding genes was investigated using RT-qPCR.RESULTS: A total of 1,131 PC-specific and 727 PN-specific hypermethylated DMRs were identified in association with CpG islands (CGIs), including gene-associated CGIs and orphan CGIs; 2,955 PC-specific and 2,386 PN-specific hypermethylated DMRs were associated with gene promoters, including promoters containing or lacking CGIs. Moreover, 1,744 PC-specific and 1,488 PN-specific hypermethylated DMRs were found to be associated with CGIs or CGI shores. These results suggested that aberrant hypermethylation in PC typically occurs in regions surrounding the transcription start site (TSS). The BSP, MSP, MSRE-qPCR, and RT-qPCR data indicated that the aberrant DNA methylation in PC tissue and in PC cell lines was associated with gene (or corresponding EST) expression.CONCLUSIONS: Our study characterized the genome-wide DNA methylation patterns in PC and identified DMRs that were distributed among various genomic contexts that might influence the expression of corresponding genes or transcripts to promote PC. These DMRs might serve as diagnostic biomarkers or therapeutic targets for PC.
25237057	0	2014	Nucleic Acids Res	SNP-guided identification of monoallelic DNA-methylation events from enrichment-based sequencing data.	Monoallelic gene expression is typically initiated early in the development of an organism. Dysregulation of monoallelic gene expression has already been linked to several non-Mendelian inherited genetic disorders. In humans, DNA-methylation is deemed to be an important regulator of monoallelic gene expression, but only few examples are known. One important reason is that current, cost-affordable truly genome-wide methods to assess DNA-methylation are based on sequencing post-enrichment. Here, we present a new methodology based on classical population genetic theory, i.e. the Hardy-Weinberg theorem, that combines methylomic data from MethylCap-seq with associated SNP profiles to identify monoallelically methylated loci. Applied on 334 MethylCap-seq samples of very diverse origin, this resulted in the identification of 80 genomic regions featured by monoallelic DNA-methylation. Of these 80 loci, 49 are located in genic regions of which 25 have already been linked to imprinting. Further analysis revealed statistically significant enrichment of these loci in promoter regions, further establishing the relevance and usefulness of the method. Additional validation was done using both 14 whole-genome bisulfite sequencing data sets and 16 mRNA-seq data sets. Importantly, the developed approach can be easily applied to other enrichment-based sequencing technologies, like the ChIP-seq-based identification of monoallelic histone modifications.
25178460	0	2014	Bioinformatics	PrEMeR-CG: inferring nucleotide level DNA methylation values from MethylCap-seq data.	MOTIVATION: DNA methylation is an epigenetic change occurring in genomic CpG sequences that contribute to the regulation of gene transcription both in normal and malignant cells. Next-generation sequencing has been used to characterize DNA methylation status at the genome scale, but suffers from high sequencing cost in the case of whole-genome bisulfite sequencing, or from reduced resolution (inability to precisely define which of the CpGs are methylated) with capture-based techniques.RESULTS: Here we present a computational method that computes nucleotide-resolution methylation values from capture-based data by incorporating fragment length profiles into a model of methylation analysis. We demonstrate that it compares favorably with nucleotide-resolution bisulfite sequencing and has better predictive power with respect to a reference than window-based methods, often used for enrichment data. The described method was used to produce the methylation data used in tandem with gene expression to produce a novel and clinically significant gene signature in acute myeloid leukemia. In addition, we introduce a complementary statistical method that uses this nucleotide-resolution methylation data for detection of differentially methylated features.
25859288	0	2014	Clin Epigenetics	Genome-wide methylation profiling of the different stages of hepatitis B virus-related hepatocellular carcinoma development in plasma cell-free DNA reveals potential biomarkers for early detection and high-risk monitoring of hepatocellular carcinoma.	BACKGROUND: An important model of hepatocellular carcinoma (HCC) that has been described in southeast Asia includes the transition from chronic hepatitis B infection (CHB) to liver cirrhosis (LC) and, finally, to HCC. The genome-wide methylation profiling of plasma cell-free DNA (cfDNA) has not previously been used to assess HCC development. Using MethylCap-seq, we analyzed the genome-wide cfDNA methylation profiles by separately pooling healthy control (HC), CHB, LC and HCC samples and independently validating the library data for the tissue DNA and cfDNA by MSP, qMSP and Multiplex-BSP-seq.RESULTS: The dynamic features of cfDNA methylation coincided with the natural course of HCC development. Data mining revealed the presence of 240, 272 and 286 differentially methylated genes (DMGs) corresponding to the early, middle and late stages of HCC progression, respectively. The validation of the DNA and cfDNA results in independent tissues identified three DMGs, including ZNF300, SLC22A20 and SHISA7, with the potential for distinguishing between CHB and LC as well as between LC and HCC. The area under the curve (AUC) ranged from 0.65 to 0.80, and the odds ratio (OR) values ranged from 5.18 to 14.2.CONCLUSIONS: Our data revealed highly dynamic cfDNA methylation profiles in support of HBV-related HCC development. We have identified a panel of DMGs that are predictive for the early, middle and late stages of HCC development, and these are potential markers for the early detection of HCC as well as the screening of high-risk populations.
23922811	6	2013	PLoS One	Differential programming of B cells in AID deficient mice.	The Aicda locus encodes the activation induced cytidine deaminase (AID) and is highly expressed in germinal center (GC) B cells to initiate somatic hypermutation (SHM) and class switch recombination (CSR) of immunoglobulin (Ig) genes. Besides these Ig specific activities in B cells, AID has been implicated in active DNA demethylation in non-B cell systems. We here determined a potential role of AID as an epigenetic eraser and transcriptional regulator in B cells. RNA-Seq on different B cell subsets revealed that Aicda(-/-) B cells are developmentally affected. However as shown by RNA-Seq, MethylCap-Seq, and SNP analysis these transcriptome alterations may not relate to AID, but alternatively to a CBA mouse strain derived region around the targeted Aicda locus. These unexpected confounding parameters provide alternative, AID-independent interpretations on genotype-phenotype correlations previously reported in numerous studies on AID using the Aicda(-/-) mouse strain.
24130073	5	2013	Clin Cancer Res	The effect of VEGF-targeted therapy on biomarker expression in sequential tissue from patients with metastatic clear cell renal cancer.	PURPOSE: To investigate how biologically relevant markers change in response to antiangiogenic therapy in metastatic clear cell renal cancer (mRCC) and correlate these changes with outcome.EXPERIMENTAL DESIGN: The study used sequential tumor tissue and functional imaging (taken at baseline and 12-16 weeks) obtained from three similar phase II studies. All three studies investigated the role of VEGF tyrosine kinase inhibitors (TKI) before planned nephrectomy in untreated mRCC (n = 85). The effect of targeted therapy on ten biomarkers was measured from sequential tissue. Comparative genomic hybridization (CGH) array and DNA methylation profiling (MethylCap-seq) was performed in matched frozen pairs. Biomarker expression was correlated with early progression (progression as best response) and delayed progression (between 12-16 weeks).RESULTS: VEGF TKI treatment caused a significant reduction in vessel density (CD31), phospho-S6K expression, PDL-1 expression, and FOXP3 expression (P &lt; 0.05 for each). It also caused a significant increase in cytoplasmic FGF-2, MET receptor expression in vessels, Fuhrman tumor grade, and Ki-67 (P &lt; 0.05 for each). Higher levels of Ki-67 and CD31 were associated with delayed progression (P &lt; 0.05). Multiple samples (n = 5) from the same tumor showed marked heterogeneity of tumor grade, which increased significantly with treatment. Array CGH showed extensive intrapatient variability, which did not occur in DNA methylation analysis.CONCLUSION: TKI treatment is associated with dynamic changes in relevant biomarkers, despite significant heterogeneity in chromosomal and protein, but not epigenetic expression. Changes to Ki-67 expression and tumor grade indicate that treatment is associated with an increase in the aggressive phenotype of the tumor.
