ID,Method,Method,Search Term,Category,Keywords,Reference(s)
1,Chromatin immunoprecipitation sequencing (ChIP-Seq),ChIP-Seq,ChIP-Seq,protein-DNA interaction,binding sites; transcription factors (TF),"Johnson, David S., et al. ""Genome-wide mapping of in vivo protein-DNA interactions."" Science 316.5830 (2007): 1497-1502."
2,reChIP-seq,reChIP-seq,reChIP-seq,protein-DNA interaction,,"Furlan-Magaril, Mayra, H_ctor RincÜn-Arano, and F_lix Recillas-Targa. ""Sequential chromatin immunoprecipitation protocol: ChIP-reChIP."" DNA-Protein Interactions. Humana Press, 2009. 253-266."
3,Competition-ChIP,Competition-ChIP,Competition-ChIP,protein-DNA interaction,TF Binding dynamics,"Lickwar, Colin R., et al. ""Genome-wide protein-DNA binding dynamics suggest a molecular clutch for transcription factor function."" Nature 484.7393 (2012): 251-255."
4,Spec-seq,Spec-seq,Spec-seq,protein-DNA interaction,,"Stormo, Gary D., Zheng Zuo, and Yiming Kenny Chang. ""Spec-seq: determining protein_DNA-binding specificity by sequencing."" Briefings in functional genomics (2014): elu043."
5,DNase I hypersensitive sites sequencing (DNase-Seq),DNase-Seq,DNase-Seq,protein-DNA interaction,regulatory regions,"Boyle, Alan P., et al. ""High-resolution mapping and characterization of open chromatin across the genome."" Cell 132.2 (2008): 311-322."
6,Assay for transposase-accessible chromatin sequencing (ATAC-Seq),ATAC-Seq,ATAC-Seq,protein-DNA interaction,,"Buenrostro, Jason D., et al. ""ATAC_seq: A Method for Assaying Chromatin Accessibility Genome_Wide."" Current Protocols in Molecular Biology (2015): 21-29."
7,Formaldehyde-assisted isolation of regulatory elements (FAIRE-Seq),FAIRE-Seq,FAIRE-Seq,protein-DNA interaction,Regulatory regions,"Giresi, Paul G., et al. ""FAIRE (Formaldehyde-Assisted Isolation of Regulatory Elements) isolates active regulatory elements from human chromatin."" Genome research 17.6 (2007): 877-885."
8,Microccocal nuclease sequencing (MNase-seq),MNase-seq,MNase-seq,protein-DNA interaction,,"Barski, Artem, et al. ""High-resolution profiling of histone methylations in the human genome."" Cell 129.4 (2007): 823-837."
9,MNase-assisted isolation of nucleosomes sequencing (MAINE-Seq),MAINE-Seq,MAINE-Seq,protein-DNA interaction,,"Ponts, Nadia, et al. ""Nucleosome landscape and control of transcription in the human malaria parasite."" Genome research 20.2 (2010): 228-238."
10,Sono-Seq,Sono-Seq,Sono-Seq,protein-DNA interaction,,"Auerbach, Raymond K., et al. ""Mapping accessible chromatin regions using Sono-Seq."" Proceedings of the National Academy of Sciences 106.35 (2009): 14926-14931."
11,Nucleosome occupancy and methylome sequencing (NOMe-seq),NOMe-seq,NOMe-seq,protein-DNA interaction,,"Kelly, Theresa K., et al. ""Genome-wide mapping of nucleosome positioning and DNA methylation within individual DNA molecules."" Genome research 22.12 (2012): 2497-2506."
12,Chromosome conformation capture (3C),3C,3C AND chromosome,chromatin interaction,structure; cross-linking; restriction,"Dekker, Job, et al. ""Capturing chromosome conformation."" science 295.5558 (2002): 1306-1311."
13,Circularized chromosome conformation capture (4C),4C,(4C AND chromosome),chromatin interaction,,"Zhao, Zhihu, et al. ""Circular chromosome conformation capture (4C) uncovers extensive networks of epigenetically regulated intra-and interchromosomal interactions."" Nature genetics 38.11 (2006): 1341-1347."
14,Chromosome conformation capture _on-chip (4C),4C_on-Chip,(4C AND on-chip),chromatin interaction,,"Simonis, Marieke, et al. ""Nuclear organization of active and inactive chromatin domains uncovered by chromosome conformation capture_on-chip (4C)."" Nature genetics 38.11 (2006): 1348-1354."
15,Chromosome conformation capture carbon copy (5C),5C,(5C AND Chromosome),chromatin interaction,,"Dostie, Jos_e, et al. ""Chromosome Conformation Capture Carbon Copy (5C): a massively parallel solution for mapping interactions between genomic elements."" Genome research 16.10 (2006): 1299-1309."
16,Chromatin immunoprecipitation loop assay (ChIP-loop assay),ChIP-loop,ChIP-loop,chromatin interaction,protein binding; chromosomal interactions,"Horike, Shin-ichi, et al. ""Loss of silent-chromatin looping and impaired imprinting of DLX5 in Rett syndrome."" Nature genetics 37.1 (2004): 31-40."
