"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"25969563";"Infinium";"Infinium";"J Infect Dis";1;2015;"HIV-1 Infection Accelerates Age According to the Epigenetic Clock.";"BACKGROUND:  Infection with human immunodeficiency virus type 1 (HIV) is associated with clinical symptoms of accelerated aging, as evidenced by the increased incidence and diversity of age-related illnesses at relatively young ages and supporting findings of organ and cellular pathologic analyses. But it has been difficult to detect an accelerated aging effect at a molecular level.METHODS:  Here, we used an epigenetic biomarker of aging based on host DNA methylation levels to study accelerated aging effects due to HIV infection. DNA from brain and blood tissue was assayed via the Illumina Infinium Methylation 450 K platform.RESULTS:  Using 6 novel DNA methylation data sets, we show that HIV infection leads to an increase in epigenetic age both in brain tissue (7.4 years) and blood (5.2 years). While the observed accelerated aging effects in blood may reflect changes in blood cell composition (notably exhausted cytotoxic T cells), it is less clear what explains the observed accelerated aging effects in brain tissue.CONCLUSIONS:  Overall, our results demonstrate that the epigenetic clock is a useful biomarker for detecting accelerated aging effects due to HIV infection. This tool can be used to accurately determine the extent of age acceleration in individual tissues and cells."
"25805566";"Infinium";"Infinium";"Med Oncol";1;2015;"Cell signaling events differentiate ER-negative subtypes from ER-positive breast cancer.";"Currently available markers routinely used in clinical practice are of limited value to patients with estrogen receptor-negative (ER(-)) breast cancer [basal-like and HER2neu-positive (HER(+))], an aggressive subtype. Our aim was to uncover molecular pathways and signaling networks exposed by differentially methylated genes informative of the biology of ER(-) breast cancer (BC) subtypes versus ER-positive (ER(+)). Whole-genome methylation array analysis was carried out using the Illumina Infinium HumanMethylation27 BeadChip on 14 primary BC: five ER(+), four triple-negative (TNBC), and five ER(-)HER2(+). Degree of methylation was calculated as a β-value (ranging from 0 to 1), and M-values [log (β/(1 - β)] were used for significance tests. To identify methylated genes associated with ER(-) subtypes (TNBC and ER(-)HER2(+)) and distinct from ER(+), a weighted algorithm, developed to increase statistical rigor, called out genes in which methylation changed dramatically between ER(+) and ER(-) subtypes. Differentially methylated gene lists examined using Ingenuity Pathway Analysis called out canonical pathways and networks with clues to biological distinctiveness as well as relatedness between ER(-) subtypes as compared to ER(+) BC. The study highlights the interplay of ER(-) subtype-specific genes and their signaling pathways as potential putative fingerprints in refining classification of BC subtypes and as potential biological markers designed to hit multiple targets."
"25763109";"Infinium";"Infinium";"Genome Med";1;2015;"Comparative methylome analysis identifies new tumour subtypes and biomarkers for transformation of nephrogenic rests into Wilms tumour.";"BACKGROUND: Wilms tumours (WTs) are characterised by several hallmarks that suggest epimutations such as aberrant DNA methylation are involved in tumour progression: loss of imprinting at 11p15, lack of recurrent mutations and formation of nephrogenic rests (NRs), which are lesions of retained undifferentiated embryonic tissue that can give rise to WTs.METHODS: To identify such epimutations, we performed a comprehensive methylome analysis on 20 matched trios of micro-dissected WTs, NRs and surrounding normal kidneys (NKs) using Illumina Infinium HumanMethylation450 Bead Chips and functionally validated findings using RNA sequencing.RESULTS: Comparison of NRs with NK revealed prominent tissue biomarkers: 629 differentially methylated regions, of which 55% were hypermethylated and enriched for domains that are bivalent in embryonic stem cells and for genes expressed during development (P = 2.49 × 10(-5)). Comparison of WTs with NRs revealed two WT subgroups; group-2 WTs and NRs were epigenetically indistinguishable whereas group-1 WTs showed an increase in methylation variability, hypomethylation of renal development genes, hypermethylation and relative loss of expression of cell adhesion genes and known and potential new WT tumour suppressor genes (CASP8, H19, MIR195, RB1 and TSPAN32) and was strongly associated with bilateral disease (P = 0.032). Comparison of WTs and NRs to embryonic kidney highlighted the significance of polycomb target methylation in Wilms tumourigenesis.CONCLUSIONS: Methylation levels vary during cancer evolution. We have described biomarkers related to WT evolution from its precursor NRs which may be useful to differentiate between these tissues for patients with bilateral disease."
"25738424";"Infinium";"Infinium";"JAMA Psychiatry";1;2015;"Circuit- and Diagnosis-Specific DNA Methylation Changes at γ-Aminobutyric Acid-Related Genes in Postmortem Human Hippocampus in Schizophrenia and Bipolar Disorder.";"IMPORTANCE: Dysfunction related to γ-aminobutyric acid (GABA)-ergic neurotransmission in the pathophysiology of major psychosis has been well established by the work of multiple groups across several decades, including the widely replicated downregulation of GAD1. Prior gene expression and network analyses within the human hippocampus implicate a broader network of genes, termed the GAD1 regulatory network, in regulation of GAD1 expression. Several genes within this GAD1 regulatory network show diagnosis- and sector-specific expression changes within the circuitry of the hippocampus, influencing abnormal GAD1 expression in schizophrenia and bipolar disorder.OBJECTIVE: To investigate the hypothesis that aberrant DNA methylation contributes to circuit- and diagnosis-specific abnormal expression of GAD1 regulatory network genes in psychotic illness.DESIGN, SETTING, AND PARTICIPANTS: This epigenetic association study targeting GAD1 regulatory network genes was conducted between July 1, 2012, and June 30, 2014. Postmortem human hippocampus tissue samples were obtained from 8 patients with schizophrenia, 8 patients with bipolar disorder, and 8 healthy control participants matched for age, sex, postmortem interval, and other potential confounds from the Harvard Brain Tissue Resource Center, McLean Hospital, Belmont, Massachusetts. We extracted DNA from laser-microdissected stratum oriens tissue of cornu ammonis 2/3 (CA2/3) and CA1 postmortem human hippocampus, bisulfite modified it, and assessed it with the Infinium HumanMethylation450 BeadChip (Illumina, Inc). The subset of CpG loci associated with GAD1 regulatory network genes was analyzed in R version 3.1.0 software (R Foundation) using the minfi package. Findings were validated using bisulfite pyrosequencing.MAIN OUTCOMES AND MEASURES: Methylation levels at 1308 GAD1 regulatory network-associated CpG loci were assessed both as individual sites to identify differentially methylated positions and by sharing information among colocalized probes to identify differentially methylated regions.RESULTS: A total of 146 differentially methylated positions with a false detection rate lower than 0.05 were identified across all 6 groups (2 circuit locations in each of 3 diagnostic categories), and 54 differentially methylated regions with P &lt; .01 were identified in single-group comparisons. Methylation changes were enriched in MSX1, CCND2, and DAXX at specific loci within the hippocampus of patients with schizophrenia and bipolar disorder.CONCLUSIONS AND RELEVANCE: This work demonstrates diagnosis- and circuit-specific DNA methylation changes at a subset of GAD1 regulatory network genes in the human hippocampus in schizophrenia and bipolar disorder. These genes participate in chromatin regulation and cell cycle control, supporting the concept that the established GABAergic dysfunction in these disorders is related to disruption of GABAergic interneuron physiology at specific circuit locations within the human hippocampus."
"25688259";"Infinium";"Infinium";"Front Genet";1;2015;"Genetics of kidney disease and related cardiometabolic phenotypes in Zuni Indians: the Zuni Kidney Project.";"The objective of this study is to identify genetic factors associated with chronic kidney disease (CKD) and related cardiometabolic phenotypes among participants of the Genetics of Kidney Disease in Zuni Indians study. The study was conducted as a community-based participatory research project in the Zuni Indians, a small endogamous tribe in rural New Mexico. We recruited 998 members from 28 extended multigenerational families, ascertained through probands with CKD who had at least one sibling with CKD. We used the Illumina Infinium Human1M-Duo version 3.0 BeadChips to type 1.1 million single nucleotide polymorphisms (SNPs). Prevalence estimates for CKD, hyperuricemia, diabetes, and hypertension were 24%, 30%, 17% and 34%, respectively. We found a significant (p &lt; 1.58 × 10(-7)) association for a SNP in a novel gene for serum creatinine (PTPLAD2). We replicated significant associations for genes with serum uric acid (SLC2A9), triglyceride levels (APOA1, BUD13, ZNF259), and total cholesterol (PVRL2). We found novel suggestive associations (p &lt; 1.58 × 10(-6)) for SNPs in genes with systolic (OLFML2B), and diastolic blood pressure (NFIA). We identified a series of genes associated with CKD and related cardiometabolic phenotypes among Zuni Indians, a population with a high prevalence of kidney disease. Illuminating genetic variations that modulate the risk for these disorders may ultimately provide a basis for novel preventive strategies and therapeutic interventions."
"25675376";"Infinium";"Infinium";"PLoS One";1;2015;"High-density genetic linkage map construction and QTL mapping of grain shape and size in the wheat population Yanda1817 × Beinong6.";"High-density genetic linkage maps are necessary for precisely mapping quantitative trait loci (QTLs) controlling grain shape and size in wheat. By applying the Infinium iSelect 9K SNP assay, we have constructed a high-density genetic linkage map with 269 F 8 recombinant inbred lines (RILs) developed between a Chinese cornerstone wheat breeding parental line Yanda1817 and a high-yielding line Beinong6. The map contains 2431 SNPs and 128 SSR &amp; EST-SSR markers in a total coverage of 3213.2 cM with an average interval of 1.26 cM per marker. Eighty-eight QTLs for thousand-grain weight (TGW), grain length (GL), grain width (GW) and grain thickness (GT) were detected in nine ecological environments (Beijing, Shijiazhuang and Kaifeng) during five years between 2010-2014 by inclusive composite interval mapping (ICIM) (LOD ≥ 2.5). Among which, 17 QTLs for TGW were mapped on chromosomes 1A, 1B, 2A, 2B, 3A, 3B, 3D, 4A, 4D, 5A, 5B and 6B with phenotypic variations ranging from 2.62% to 12.08%. Four stable QTLs for TGW could be detected in five and seven environments, respectively. Thirty-two QTLs for GL were mapped on chromosomes 1B, 1D, 2A, 2B, 2D, 3B, 3D, 4A, 4B, 4D, 5A, 5B, 6B, 7A and 7B, with phenotypic variations ranging from 2.62% to 44.39%. QGl.cau-2A.2 can be detected in all the environments with the largest phenotypic variations, indicating that it is a major and stable QTL. For GW, 12 QTLs were identified with phenotypic variations range from 3.69% to 12.30%. We found 27 QTLs for GT with phenotypic variations ranged from 2.55% to 36.42%. In particular, QTL QGt.cau-5A.1 with phenotypic variations of 6.82-23.59% was detected in all the nine environments. Moreover, pleiotropic effects were detected for several QTL loci responsible for grain shape and size that could serve as target regions for fine mapping and marker assisted selection in wheat breeding programs."
"25627243";"Infinium";"Infinium";"DNA Res";1;2015;"Genome-wide association mapping of salinity tolerance in rice (Oryza sativa).";"Salinity tolerance in rice is highly desirable to sustain production in areas rendered saline due to various reasons. It is a complex quantitative trait having different components, which can be dissected effectively by genome-wide association study (GWAS). Here, we implemented GWAS to identify loci controlling salinity tolerance in rice. A custom-designed array based on 6,000 single nucleotide polymorphisms (SNPs) in as many stress-responsive genes, distributed at an average physical interval of &lt;100 kb on 12 rice chromosomes, was used to genotype 220 rice accessions using Infinium high-throughput assay. Genetic association was analysed with 12 different traits recorded on these accessions under field conditions at reproductive stage. We identified 20 SNPs (loci) significantly associated with Na(+)/K(+) ratio, and 44 SNPs with other traits observed under stress condition. The loci identified for various salinity indices through GWAS explained 5-18% of the phenotypic variance. The region harbouring Saltol, a major quantitative trait loci (QTLs) on chromosome 1 in rice, which is known to control salinity tolerance at seedling stage, was detected as a major association with Na(+)/K(+) ratio measured at reproductive stage in our study. In addition to Saltol, we also found GWAS peaks representing new QTLs on chromosomes 4, 6 and 7. The current association mapping panel contained mostly indica accessions that can serve as source of novel salt tolerance genes and alleles. The gene-based SNP array used in this study was found cost-effective and efficient in unveiling genomic regions/candidate genes regulating salinity stress tolerance in rice."
"25609748";"Infinium";"Infinium";"G3 (Bethesda)";1;2015;"A genome-wide association study of resistance to stripe rust (Puccinia striiformis f. sp. tritici) in a worldwide collection of hexaploid spring wheat (Triticum aestivum L.).";"New races of Puccinia striiformis f. sp. tritici (Pst), the causal pathogen of wheat stripe rust, show high virulence to previously deployed resistance genes and are responsible for large yield losses worldwide. To identify new sources of resistance we performed a genome-wide association study (GWAS) using a worldwide collection of 1000 spring wheat accessions. Adult plants were evaluated under field conditions in six environments in the western United States, and seedlings were tested with four Pst races. A single-nucleotide polymorphism (SNP) Infinium 9K-assay provided 4585 SNPs suitable for GWAS. High correlations among environments and high heritabilities were observed for stripe rust infection type and severity. Greater levels of Pst resistance were observed in a subpopulation from Southern Asia than in other groups. GWAS identified 97 loci that were significant for at least three environments, including 10 with an experiment-wise adjusted Bonferroni probability &lt; 0.10. These 10 quantitative trait loci (QTL) explained 15% of the phenotypic variation in infection type, a percentage that increased to 45% when all QTL were considered. Three of these 10 QTL were mapped far from previously identified Pst resistance genes and QTL, and likely represent new resistance loci. The other seven QTL mapped close to known resistance genes and allelism tests will be required to test their relationships. In summary, this study provides an integrated view of stripe rust resistance resources in spring wheat and identifies new resistance loci that will be useful to diversify the current set of resistance genes deployed to control this devastating disease."
"26199674";"Infinium";"Infinium";"Clin Epigenetics";0;2015;"Identifying CpG sites associated with eczema via random forest screening of epigenome-scale DNA methylation.";"BACKGROUND: The prevalence of eczema is increasing in industrialized nations. Limited evidence has shown the association of DNA methylation (DNA-M) with eczema. We explored this association at the epigenome-scale to better understand the role of DNA-M. Data from the first generation (F1) of the Isle of Wight (IoW) birth cohort participants and the second generation (F2) were examined in our study. Epigenome-scale DNA methylation of F1 at age 18 years and F2 in cord blood was measured using the Illumina Infinium HumanMethylation450 Beadchip. A total of 307,357 cytosine-phosphate-guanine sites (CpGs) in the F1 generation were screened via recursive random forest (RF) for their potential association with eczema at age 18. Functional enrichment and pathway analysis of resulting genes were carried out using DAVID gene functional classification tool. Log-linear models were performed in F1 to corroborate the identified CpGs. Findings in F1 were further replicated in F2.RESULTS: The recursive RF yielded 140 CpGs, 88 of which showed statistically significant associations with eczema at age 18, corroborated by log-linear models after controlling for false discovery rate (FDR) of 0.05. These CpGs were enriched among many biological pathways, including pathways related to creating transcriptional variety and pathways mechanistically linked to eczema such as cadherins, cell adhesion, gap junctions, tight junctions, melanogenesis, and apoptosis. In the F2 generation, about half of the 83 CpGs identified in F1 showed the same direction of association with eczema risk as in F1, of which two CpGs were significantly associated with eczema risk, cg04850479 of the PROZ gene (risk ratio (RR) = 15.1 in F1, 95 % confidence interval (CI) 1.71, 79.5; RR = 6.82 in F2, 95 % CI 1.52, 30.62) and cg01427769 of the NEU1 gene (RR = 0.13 in F1, 95 % CI 0.03, 0.46; RR = 0.09 in F2, 95 % CI 0.03, 0.36).CONCLUSIONS: Via epigenome-scaled analyses using recursive RF followed by log-linear models, we identified 88 CpGs associated with eczema in F1, of which 41 were replicated in F2. Several identified CpGs are located within genes in biological pathways relating to skin barrier integrity, which is central to the pathogenesis of eczema. Novel genes associated with eczema risk were identified (e.g., the PROZ and NEU1 genes)."
"26192535";"Infinium";"Infinium";"Epigenomics";0;2015;"DNA methylation profiling: comparison of genome-wide sequencing methods and the Infinium Human Methylation 450 Bead Chip.";"AIMS: To compare the performance of four sequence-based and one microarray methods for DNA methylation profiling.METHODS: DNA from two cell lines were profiled by reduced representation bisulfite sequencing, methyl capture sequencing (SS-Meth Seq), NimbleGen SeqCapEpi CpGiant(Nimblegen MethSeq), methylated DNA immunoprecipitation (MeDIP) and the Human Methylation 450 Bead Chip (Meth450K).RESULTS &amp; CONCLUSION: Despite differences in genome-wide coverage, high correlation and concordance were observed between different methods. Significant overlap of differentially methylated regions was identified between sequenced based platforms. MeDIP provided the best coverage for the whole genome and gene body regions, while RRBS and Nimblegen MethSeq were superior for CpGs in CpG islands and promoters. Methylation analyses can be achieved by any of the five methods but understanding their differences may better address the research question being posed."
