"PMID";"Method";"Search_Term";"Journal";"Citations";"YearPubmed";"Title";"Abstract"
"25887659";"3C";"(3C AND chromosome)";"BMC Genomics";1;2015;"Identifying multi-locus chromatin contacts in human cells using tethered multiple 3C.";"BACKGROUND: Several recently developed experimental methods, each an extension of the chromatin conformation capture (3C) assay, have enabled the genome-wide profiling of chromatin contacts between pairs of genomic loci in 3D. Especially in complex eukaryotes, data generated by these methods, coupled with other genome-wide datasets, demonstrated that non-random chromatin folding correlates strongly with cellular processes such as gene expression and DNA replication.RESULTS: We describe a genome architecture assay, tethered multiple 3C (TM3C), that maps genome-wide chromatin contacts via a simple protocol of restriction enzyme digestion and religation of fragments upon agarose gel beads followed by paired-end sequencing. In addition to identifying contacts between pairs of loci, TM3C enables identification of contacts among more than two loci simultaneously. We use TM3C to assay the genome architectures of two human cell lines: KBM7, a near-haploid chronic leukemia cell line, and NHEK, a normal diploid human epidermal keratinocyte cell line. We confirm that the contact frequency maps produced by TM3C exhibit features characteristic of existing genome architecture datasets, including the expected scaling of contact probabilities with genomic distance, megabase scale chromosomal compartments and sub-megabase scale topological domains. We also confirm that TM3C captures several known cell type-specific contacts, ploidy shifts and translocations, such as Philadelphia chromosome formation (Ph+) in KBM7. We confirm a subset of the triple contacts involving the IGF2-H19 imprinting control region (ICR) using PCR analysis for KBM7 cells. Our genome-wide analysis of pairwise and triple contacts demonstrates their preference for linking open chromatin regions to each other and for linking regions with higher numbers of DNase hypersensitive sites (DHSs) to each other. For near-haploid KBM7 cells, we infer whole genome 3D models that exhibit clustering of small chromosomes with each other and large chromosomes with each other, consistent with previous studies of the genome architectures of other human cell lines.CONCLUSION: TM3C is a simple protocol for ascertaining genome architecture and can be used to identify simultaneous contacts among three or four loci. Application of TM3C to a near-haploid human cell line revealed large-scale features of chromosomal organization and multi-way chromatin contacts that preferentially link regions of open chromatin."
"26150425";"3C";"(3C AND chromosome)";"Nucleic Acids Res";0;2015;"Structural heterogeneity and functional diversity of topologically associating domains in mammalian genomes.";"Recent chromosome conformation capture (3C) derived techniques have revealed that topologically associating domain (TAD) is a pervasive element in chromatin three-dimensional (3D) organization. However, there is currently no parameter to quantitatively measure the structural characteristics of TADs, thus obscuring our understanding on the structural and functional differences among TADs. Based on our finding that there exist intrinsic chromatin interaction patterns in TADs, we define a theoretical parameter, called aggregation preference (AP), to characterize TAD structures by capturing the interaction aggregation degree. Applying this defined parameter to 11 Hi-C data sets generated by both traditional and in situ Hi-C experimental pipelines, our analyses reveal that heterogeneous structures exist among TADs, and this structural heterogeneity is significantly correlated to DNA sequences, epigenomic signals and gene expressions. Although TADs can be stable in genomic positions across cell lines, structural comparisons show that a considerable number of stable TADs undergo significantly structural rearrangements during cell changes. Moreover, the structural change of TAD is tightly associated with its transcription remodeling. Altogether, the theoretical parameter defined in this work provides a quantitative method to link structural characteristics and biological functions of TADs, and this linkage implies that chromatin interaction pattern has the potential to mark transcription activity in TADs."
"26134912";"3C";"(3C AND chromosome)";"Cold Spring Harb Protoc";0;2015;"Measuring Chromatin Structure in Budding Yeast.";"Chromosome conformation capture (3C) has revolutionized the ways in which the conformation of chromatin and its relationship to other molecular functions can be studied. 3C-based techniques are used to determine the spatial arrangement of chromosomes in organisms ranging from bacteria to humans. In particular, they can be applied to the study of chromosome folding and organization in model organisms with small genomes and for which powerful genetic tools exist, such as budding yeast. Studies in yeast allow the mechanisms that establish or maintain chromatin structure to be analyzed at very high resolution with relatively low cost, and further our understanding of these fundamental processes in higher eukaryotes as well. Here we provide an overview of chromatin structure and introduce methods for performing 3C, with a focus on studies in budding yeast. Variations of the basic 3C approach (e.g., 3C-PCR, 5C, and Hi-C) can be used according to the scope and goals of a given experiment."
"26134906";"3C";"(3C AND chromosome)";"Cold Spring Harb Protoc";0;2015;"Hi-C in Budding Yeast.";"Hi-C enables simultaneous detection of interaction frequencies between all possible pairs of restriction fragments in the genome. The Hi-C method is based on chromosome conformation capture (3C), which uses formaldehyde cross-linking to fix chromatin regions that interact in three-dimensional space, irrespective of their genomic locations. In the Hi-C protocol described here, cross-linked chromatin is digested with HindIII and the ends are filled in with a nucleotide mix containing biotinylated dCTP. These fragments are ligated together, and the resulting chimeric molecules are purified and sheared to reduce length. Finally, biotinylated ligation junctions are pulled down with streptavidin-coated beads, linked to high-throughput sequencing adaptors, and amplified via polymerase chain reaction (PCR). The resolution of the Hi-C data set will depend on the depth of sequencing and choice of restriction enzyme. When sufficient sequence reads are obtained, information on chromatin interactions and chromosome conformation can be derived at single restriction fragment resolution for complete genomes."
"26107949";"3C";"(3C AND chromosome)";"PLoS One";0;2015;"Whole Exome Sequencing Reveals Novel PHEX Splice Site Mutations in Patients with Hypophosphatemic Rickets.";"OBJECTIVE: Hypophosphatemic rickets (HR) is a heterogeneous genetic phosphate wasting disorder. The disease is most commonly caused by mutations in the PHEX gene located on the X-chromosome or by mutations in CLCN5, DMP1, ENPP1, FGF23, and SLC34A3. The aims of this study were to perform molecular diagnostics for four patients with HR of Indian origin (two independent families) and to describe their clinical features.METHODS: We performed whole exome sequencing (WES) for the affected mother of two boys who also displayed the typical features of HR, including bone malformations and phosphate wasting. B-lymphoblast cell lines were established by EBV transformation and subsequent RT-PCR to investigate an uncommon splice site variant found by WES. An in silico analysis was done to obtain accurate nucleotide frequency occurrences of consensus splice positions other than the canonical sites of all human exons. Additionally, we applied direct Sanger sequencing for all exons and exon/intron boundaries of the PHEX gene for an affected girl from an independent second Indian family.RESULTS: WES revealed a novel PHEX splice acceptor mutation in intron 9 (c.1080-3C&gt;A) in a family with 3 affected individuals with HR. The effect on splicing of this mutation was further investigated by RT-PCR using RNA obtained from a patient's EBV-transformed lymphoblast cell line. RT-PCR revealed an aberrant splice transcript skipping exons 10-14 which was not observed in control samples, confirming the diagnosis of X-linked dominant hypophosphatemia (XLH). The in silico analysis of all human splice sites adjacent to all 327,293 exons across 81,814 transcripts among 20,345 human genes revealed that cytosine is, with 64.3%, the most frequent nucleobase at the minus 3 splice acceptor position, followed by thymidine with 28.7%, adenine with 6.3%, and guanine with 0.8%. We generated frequency tables and pictograms for the extended donor and acceptor splice consensus regions by analyzing all human exons. Direct Sanger sequencing of all PHEX exons in a sporadic case with HR from the Indian subcontinent revealed an additional novel PHEX mutation (c.1211_1215delACAAAinsTTTACAT, p.Asp404Valfs*5, de novo) located in exon 11.CONCLUSIONS: Mutation analyses revealed two novel mutations and helped to confirm the clinical diagnoses of XLH in two families from India. WES helped to analyze all genes implicated in the underlying disease complex. Mutations at splice positions other than the canonical key sites need further functional investigation to support the assertion of pathogenicity."
"26096785";"3C";"(3C AND chromosome)";"FEBS Lett";0;2015;"Chromosome domain architecture and dynamic organization of the fission yeast genome.";"Advanced techniques including the chromosome conformation capture (3C) methodology and its derivatives are complementing microscopy approaches to study genome organization, and are revealing new details of three-dimensional (3D) genome architecture at increasing resolution. The fission yeast Schizosaccharomyces pombe (S. pombe) comprises a small genome featuring organizational elements of more complex eukaryotic systems, including conserved heterochromatin assembly machinery. Here we review key insights into genome organization revealed in this model system through a variety of techniques. We discuss the predominant role of Rabl-like configuration for interphase chromosome organization and the dynamic changes that occur during mitosis and meiosis. High resolution Hi-C studies have also revealed the presence of locally crumpled chromatin regions called &quot;globules&quot; along chromosome arms, and implicated a critical role for pericentromeric heterochromatin in imposing fundamental constraints on the genome to maintain chromosome territoriality and stability. These findings have shed new light on the connections between genome organization and function. It is likely that insights gained from the S. pombe system will also broadly apply to higher eukaryotes."
"26081144";"3C";"(3C AND chromosome)";"Mol Neurobiol";0;2015;"Kisspeptin Induces Dynamic Chromatin Modifications to Control GnRH Gene Expression.";"In vitro studies have demonstrated an increase in GnRH gene expression associated with an elevated secretory response to kisspeptin administration, suggesting that kisspeptin mediates GnRH expression at both the secretory and pretranslational levels. However, the kisspeptin-mediated intracellular mechanisms associated with the dynamic chromatin modifications modulating GnRH gene expression are unclear. The studies in this manuscript describe specific histone modifications on the enhancer and promoter of the mouse GnRH (mGnRH) gene induced by kisspeptin in GnRH neuronal cell lines (GT1-7 cells). ChIP assays followed by quantitative real-time PCR (qPCR) demonstrate that 15 and 45 min of 10(-9) M kisspeptin significantly increased histone 3 acetylation (H3Ac) at the kisspeptin response element (KsRE) contained between -3446 and -2806 bp of the mGnRH enhancer (GnRHen) in GT1-7 cells, while no changes were observed in the downstream neuron-specific element (NSE). Moreover, kisspeptin specifically induced acetylation of H3AcK14 and K27 and trimethylation of H3 lysine 4 at the KsRE (markers of active chromatin) and no changes in dimethylation of H3K9 (a marker associated with gene repression). Occupancy of RNA Pol II (RNAPII) and a differential carboxyl-terminal domain (CTD) phosphorylation pattern was observed. An interaction between the NSE and the KsRE via a chromatin loop in the mGnRH gene by kisspeptin was detected by the chromosome conformation capture assay (3C). In conclusion, these results demonstrate that kisspeptin induces histone acetylation/methylation and consequently enhances the formation of a chromatin loop in the mGnRH gene which results in known increase in kisspeptin-dependent mGnRH expression."
"26059817";"3C";"(3C AND chromosome)";"J Cell Physiol";0;2015;"C-ing the Genome: A Compendium of Chromosome Conformation Capture Methods to Study Higher-Order Chromatin Organization.";"Three-dimensional organization of the chromatin has important roles in transcription, replication, DNA repair, and pathologic events such as translocations. There are two fundamental ways to study higher-order chromatin organization: microscopic and molecular approaches. In this review, we briefly introduce the molecular approaches, focusing on chromosome conformation capture or&quot;3C&quot; technology and its derivatives, which can be used to probe chromatin folding at resolutions beyond that provided by microscopy techniques. We further discuss the different types of data generated by the 3C-based methods and how they can be used to answer distinct biological questions. This article is protected by copyright. All rights reserved."
"26034306";"3C";"(3C AND chromosome)";"Cold Spring Harb Protoc";0;2015;"Chromosome Conformation Capture Carbon Copy (5C) in Budding Yeast.";"Chromosome conformation capture carbon copy (5C) is a high-throughput method for detecting ligation products of interest in a chromosome conformation capture (3C) library. 5C uses ligation-mediated amplification (LMA) to generate carbon copies of 3C ligation product junctions using single-stranded oligonucleotide probes. This procedure produces a 5C library of short DNA molecules which represent the interactions between the corresponding restriction fragments. The 5C library can be amplified using universal primers containing the Illumina paired-end adaptor sequences for subsequent high-throughput sequencing."
"26034305";"3C";"(3C AND chromosome)";"Cold Spring Harb Protoc";0;2015;"Randomized ligation control for chromosome conformation capture.";"In experiments using chromosome conformation capture followed by PCR (3C-PCR) or chromosome conformation capture carbon copy (5C), it is critical to control for intrinsic biases in the restriction fragments of interest and the probes or primers used for detection. Characteristics such as GC%, annealing temperature, efficiency of 3C primers or 5C probes, and length of restriction fragment can cause variations in primer or probe performance and fragment ligation efficiency. Bias can be measured empirically by production of a random control library, as described here, to be used with the 3C library of interest."
